DBMS_urnform,DBMS_common_name,snapshot_month,repo_state,github_repo_id,github_repo_link,open_source_license,open_source_license_state,manu_labeled_flag,match_state
3store,3store,202401,BLANK_REPO_ID,,-,Y,ELIGIBLE,Y_auto,X_Single
3store,3store,202402,BLANK_REPO_ID,,-,Y,ELIGIBLE,Y_auto,X_Single
3store,3store,202403,BLANK_REPO_ID,,-,Y,ELIGIBLE,Y_auto,X_Single
3store,3store,202404,BLANK_REPO_ID,,-,Y,ELIGIBLE,Y_auto,X_Single
3store,3store,202405,BLANK_REPO_ID,,-,Y,ELIGIBLE,Y_auto,X_Single
3store,3store,202406,BLANK_REPO_ID,,-,Y,ELIGIBLE,Y_auto,X_Single
3store,3store,202407,BLANK_REPO_ID,,-,Y,ELIGIBLE,Y_auto,X_Single
3store,3store,202408,BLANK_REPO_ID,,-,Y,ELIGIBLE,Y_auto,X_Single
3store,3store,202409,BLANK_REPO_ID,,-,Y,ELIGIBLE,Y_auto,X_Single
3store,3store,202410,BLANK_REPO_ID,,-,Y,ELIGIBLE,Y_auto,X_Single
4store,4store,202401,VALID_NUMERIC_REPO_ID,248094,4store/4store,Y,ELIGIBLE,Y_auto,Normal
4store,4store,202402,VALID_NUMERIC_REPO_ID,248094,4store/4store,Y,ELIGIBLE,Y_auto,Normal
4store,4store,202403,VALID_NUMERIC_REPO_ID,248094,4store/4store,Y,ELIGIBLE,Y_auto,Normal
4store,4store,202404,VALID_NUMERIC_REPO_ID,248094,4store/4store,Y,ELIGIBLE,Y_auto,Normal
4store,4store,202405,VALID_NUMERIC_REPO_ID,248094,4store/4store,Y,ELIGIBLE,Y_auto,Normal
4store,4store,202406,VALID_NUMERIC_REPO_ID,248094,4store/4store,Y,ELIGIBLE,Y_auto,Normal
4store,4store,202407,VALID_NUMERIC_REPO_ID,248094,4store/4store,Y,ELIGIBLE,Y_auto,Normal
4store,4store,202408,VALID_NUMERIC_REPO_ID,248094,4store/4store,Y,ELIGIBLE,Y_auto,Normal
4store,4store,202409,VALID_NUMERIC_REPO_ID,248094,4store/4store,Y,ELIGIBLE,Y_auto,Normal
4store,4store,202410,VALID_NUMERIC_REPO_ID,248094,4store/4store,Y,ELIGIBLE,Y_auto,Normal
abhot,abhot,202401,BLANK_REPO_ID,,quqiangsheng/abhot,Y,ELIGIBLE,Y_auto,X_Single
abhot,abhot,202402,BLANK_REPO_ID,,quqiangsheng/abhot,Y,ELIGIBLE,Y_auto,X_Single
abhot,abhot,202403,BLANK_REPO_ID,,quqiangsheng/abhot,Y,ELIGIBLE,Y_auto,X_Single
abhot,abhot,202404,BLANK_REPO_ID,,quqiangsheng/abhot,Y,ELIGIBLE,Y_auto,X_Single
