DBMS_urnform,DBMS_common_name,endpoint_classification,january_repo_state,january_repo_id,january_repo_link,october_repo_state,october_repo_id,october_repo_link,january_open_source_license,october_open_source_license,eligibility_classification,reason,reason_evidence,monthly_repo_id_trajectory,monthly_state_trajectory,monthly_id_change_count,activity_january_repo_id,activity_october_repo_id,activity_ratio,activity_order_of_magnitude_review
averagedb,AverageDB,ROW_ADDED_BY_202410,MISSING,,,VALID_NUMERIC_REPO_ID,811062736,joswayski/averagedatabase,,Y,UNRESOLVED_ELIGIBILITY_CHANGE,UNRESOLVED_REASON,"Structural change is observed, but the available snapshot fields do not prove a specific correction, migration, fork, or eligibility cause.",MISSING -> MISSING -> MISSING -> MISSING -> MISSING -> MISSING -> MISSING -> 811062736 -> 811062736 -> 811062736,MISSING -> MISSING -> MISSING -> MISSING -> MISSING -> MISSING -> MISSING -> VALID_NUMERIC_REPO_ID -> VALID_NUMERIC_REPO_ID -> VALID_NUMERIC_REPO_ID,1,,,,False
babudb,BabuDB,ROW_ADDED_BY_202410,MISSING,,,VALID_NUMERIC_REPO_ID,20433978,xtreemfs/babudb,,Y,UNRESOLVED_ELIGIBILITY_CHANGE,UNRESOLVED_REASON,"Structural change is observed, but the available snapshot fields do not prove a specific correction, migration, fork, or eligibility cause.",MISSING -> MISSING -> MISSING -> MISSING -> 20433978 -> 20433978 -> 20433978 -> 20433978 -> 20433978 -> 20433978,MISSING -> MISSING -> MISSING -> MISSING -> VALID_NUMERIC_REPO_ID -> VALID_NUMERIC_REPO_ID -> VALID_NUMERIC_REPO_ID -> VALID_NUMERIC_REPO_ID -> VALID_NUMERIC_REPO_ID -> VALID_NUMERIC_REPO_ID,1,,,,False
camadb,CamaDB,ROW_ADDED_BY_202410,MISSING,,,VALID_NUMERIC_REPO_ID,411979983,elmarti/camadb,,Y,UNRESOLVED_ELIGIBILITY_CHANGE,UNRESOLVED_REASON,"Structural change is observed, but the available snapshot fields do not prove a specific correction, migration, fork, or eligibility cause.",MISSING -> MISSING -> MISSING -> MISSING -> 411979983 -> 411979983 -> 411979983 -> 411979983 -> 411979983 -> 411979983,MISSING -> MISSING -> MISSING -> MISSING -> VALID_NUMERIC_REPO_ID -> VALID_NUMERIC_REPO_ID -> VALID_NUMERIC_REPO_ID -> VALID_NUMERIC_REPO_ID -> VALID_NUMERIC_REPO_ID -> VALID_NUMERIC_REPO_ID,1,,31,,False
ceresdb,CeresDB,ROW_REMOVED_BY_202410,VALID_NUMERIC_REPO_ID,496505424,CeresDB/ceresdb,MISSING,,,Y,,UNRESOLVED_ELIGIBILITY_CHANGE,UNRESOLVED_REASON,"Structural change is observed, but the available snapshot fields do not prove a specific correction, migration, fork, or eligibility cause.",496505424 -> MISSING -> MISSING -> MISSING -> MISSING -> MISSING -> MISSING -> MISSING -> MISSING -> MISSING,VALID_NUMERIC_REPO_ID -> MISSING -> MISSING -> MISSING -> MISSING -> MISSING -> MISSING -> MISSING -> MISSING -> MISSING,1,184,,,False
chdb,chDB,ROW_ADDED_BY_202410,MISSING,,,VALID_NUMERIC_REPO_ID,606433492,chdb-io/chdb,,Y,UNRESOLVED_ELIGIBILITY_CHANGE,BLANK_COMPLETION,Monthly endpoint states show a blank repository annotation followed by a valid numeric repository annotation.,MISSING -> BLANK_REPO_ID -> 606433492 -> 606433492 -> 606433492 -> 606433492 -> 606433492 -> 606433492 -> 606433492 -> 606433492,MISSING -> BLANK_REPO_ID -> VALID_NUMERIC_REPO_ID -> VALID_NUMERIC_REPO_ID -> VALID_NUMERIC_REPO_ID -> VALID_NUMERIC_REPO_ID -> VALID_NUMERIC_REPO_ID -> VALID_NUMERIC_REPO_ID -> VALID_NUMERIC_REPO_ID -> VALID_NUMERIC_REPO_ID,2,,85,,False
chromem-go,chromem-go,ROW_ADDED_BY_202410,MISSING,,,VALID_NUMERIC_REPO_ID,735283134,philippgille/chromem-go,,Y,UNRESOLVED_ELIGIBILITY_CHANGE,UNRESOLVED_REASON,"Structural change is observed, but the available snapshot fields do not prove a specific correction, migration, fork, or eligibility cause.",MISSING -> MISSING -> MISSING -> 735283134 -> 735283134 -> 735283134 -> 735283134 -> 735283134 -> 735283134 -> 735283134,MISSING -> MISSING -> MISSING -> VALID_NUMERIC_REPO_ID -> VALID_NUMERIC_REPO_ID -> VALID_NUMERIC_REPO_ID -> VALID_NUMERIC_REPO_ID -> VALID_NUMERIC_REPO_ID -> VALID_NUMERIC_REPO_ID -> VALID_NUMERIC_REPO_ID,1,,,,False
chromodb,ChromoDB,ROW_ADDED_BY_202410,MISSING,,,VALID_NUMERIC_REPO_ID,747399975,chromodb/chromodb,,Y,UNRESOLVED_ELIGIBILITY_CHANGE,UNRESOLVED_REASON,"Structural change is observed, but the available snapshot fields do not prove a specific correction, migration, fork, or eligibility cause.",MISSING -> MISSING -> MISSING -> MISSING -> MISSING -> MISSING -> MISSING -> 747399975 -> 747399975 -> 747399975,MISSING -> MISSING -> MISSING -> MISSING -> MISSING -> MISSING -> MISSING -> VALID_NUMERIC_REPO_ID -> VALID_NUMERIC_REPO_ID -> VALID_NUMERIC_REPO_ID,1,,,,False
datalevin,Datalevin,ROW_ADDED_BY_202410,MISSING,,,VALID_NUMERIC_REPO_ID,270858421,juji-io/datalevin,,Y,UNRESOLVED_ELIGIBILITY_CHANGE,UNRESOLVED_REASON,"Structural change is observed, but the available snapshot fields do not prove a specific correction, migration, fork, or eligibility cause.",MISSING -> 270858421 -> 270858421 -> 270858421 -> 270858421 -> 270858421 -> 270858421 -> 270858421 -> 270858421 -> 270858421,MISSING -> VALID_NUMERIC_REPO_ID -> VALID_NUMERIC_REPO_ID -> VALID_NUMERIC_REPO_ID -> VALID_NUMERIC_REPO_ID -> VALID_NUMERIC_REPO_ID -> VALID_NUMERIC_REPO_ID -> VALID_NUMERIC_REPO_ID -> VALID_NUMERIC_REPO_ID -> VALID_NUMERIC_REPO_ID,1,,275,,False
defradb,DefraDB,ROW_ADDED_BY_202410,MISSING,,,VALID_NUMERIC_REPO_ID,192631273,sourcenetwork/defradb,,Y,UNRESOLVED_ELIGIBILITY_CHANGE,UNRESOLVED_REASON,"Structural change is observed, but the available snapshot fields do not prove a specific correction, migration, fork, or eligibility cause.",MISSING -> 192631273 -> 192631273 -> 192631273 -> 192631273 -> 192631273 -> 192631273 -> 192631273 -> 192631273 -> 192631273,MISSING -> VALID_NUMERIC_REPO_ID -> VALID_NUMERIC_REPO_ID -> VALID_NUMERIC_REPO_ID -> VALID_NUMERIC_REPO_ID -> VALID_NUMERIC_REPO_ID -> VALID_NUMERIC_REPO_ID -> VALID_NUMERIC_REPO_ID -> VALID_NUMERIC_REPO_ID -> VALID_NUMERIC_REPO_ID,1,,,,False
dicedb,DiceDB,ROW_ADDED_BY_202410,MISSING,,,VALID_NUMERIC_REPO_ID,531220682,dicedb/dice,,Y,UNRESOLVED_ELIGIBILITY_CHANGE,UNRESOLVED_REASON,"Structural change is observed, but the available snapshot fields do not prove a specific correction, migration, fork, or eligibility cause.",MISSING -> MISSING -> MISSING -> MISSING -> MISSING -> MISSING -> MISSING -> MISSING -> MISSING -> 531220682,MISSING -> MISSING -> MISSING -> MISSING -> MISSING -> MISSING -> MISSING -> MISSING -> MISSING -> VALID_NUMERIC_REPO_ID,1,,,,False
