snapshot_month,source_repository,local_clone,source_branch,source_head,source_commit,blob_sha,file_path,file_sha256,row_count,column_count,column_set_sha256,dbms_key_nonnull_count,dbms_key_unique_count,dbms_key_duplicate_count,valid_numeric_repo_id_count,blank_repo_id_count,placeholder_or_invalid_repo_id_count,open_source_eligible_count,open_source_ineligible_count,open_source_unknown_count,jan_to_oct_same_valid_repo_id_count,jan_to_oct_same_blank_repo_id_count,jan_to_oct_blank_to_valid_repo_id_count,jan_to_oct_valid_to_different_valid_id_count,jan_to_oct_valid_to_blank_count,jan_to_oct_row_added_count,jan_to_oct_row_removed_count,jan_to_oct_open_source_eligibility_change_count
202401,git@github.com:birdflyi/od_label_issue_gen.git,D:\github_repo\od_label_issue_gen,main,5f0d306c3263a699feb1039c5835a522dcf6de76,20a4783243f3f31f94e9d0462e80aad6cdf11b3a,ac27c109c8ac2cfc547f38849c59412b5f19ecef,data/database_repo_label_dataframe/dbfeatfusion_records_202401_automerged_manulabeled_with_repoid.csv,a8146008e42c4f885b7c7a989f2d44d9efcfc61aeea912a41d34d5e6e6df91ce,649,21,377900c68efb115691fdeb33bcfaaf5411b13e8a2628fec008c3323b938ca92c,649,649,0,580,69,0,630,10,9,,,,,,,,
202402,git@github.com:birdflyi/od_label_issue_gen.git,D:\github_repo\od_label_issue_gen,main,5f0d306c3263a699feb1039c5835a522dcf6de76,06e2d954dbb79e165f69e766b2aef9d8af4c2805,4ca257b62eda393afa2922e57c80b3eb60d5d963,data/database_repo_label_dataframe/dbfeatfusion_records_202402_automerged_manulabeled_with_repoid.csv,ae0790a924ccaeef04445bc6204bb28b2eb7bd14a25e211d011e5d459b2a0946,654,21,fcfd2ed4c51c97fdec06a1bb9d779c3bad69fce72b00c6e3b095b3585f0b5bd0,654,654,0,582,72,0,635,10,9,,,,,,,,
202403,git@github.com:birdflyi/od_label_issue_gen.git,D:\github_repo\od_label_issue_gen,main,5f0d306c3263a699feb1039c5835a522dcf6de76,f5e8435db6b2a6ea8c76f58bd13aee9305a679e7,b17ebb564aae0593f3cb64ea59d050e09ec0542f,data/database_repo_label_dataframe/dbfeatfusion_records_202403_automerged_manulabeled_with_repoid.csv,d17d7c4f5b556a426b592a2087649c32ec68c7d1f1aa9a3148a321a5bf76ebc0,658,21,bd52c68b9a221827c9c6f040ee6ab8a53ddd1b9e7afcf9ffc64ee5ae0a9053d4,658,658,0,586,72,0,639,10,9,,,,,,,,
202404,git@github.com:birdflyi/od_label_issue_gen.git,D:\github_repo\od_label_issue_gen,main,5f0d306c3263a699feb1039c5835a522dcf6de76,dfbc6f5fa57ce1efead3676975d27c8d4ea754bd,00e73e70c3aeba94ecb3a65473a2e66948692661,data/database_repo_label_dataframe/dbfeatfusion_records_202404_automerged_manulabeled_with_repoid.csv,1fb254b61bd58b45cd9db0f6a25dc0cb35cc26dc7c39f6c5c34f8aeffe450b2c,668,21,cafc831963c235fdfd447d141166f394c26af98867d9ad179c28fab969cb7f10,668,668,0,596,72,0,649,10,9,,,,,,,,
202405,git@github.com:birdflyi/od_label_issue_gen.git,D:\github_repo\od_label_issue_gen,main,5f0d306c3263a699feb1039c5835a522dcf6de76,c856d02ba459375b2f33c0a6a0ef1b414ead7dec,fe6756d5d85ec80ba1bab40fb54ea2ac5e876a43,data/database_repo_label_dataframe/dbfeatfusion_records_202405_automerged_manulabeled_with_repoid.csv,710a051e7d166484bd10e7e6767fbeb59b8a76d1f95e1dadfd1619b83c0a4090,677,21,198a7d8cbc8f91db3e34f92d8488097573ae2d8123cb4d8bcf04ca04639c8ec6,677,677,0,603,74,0,659,10,8,,,,,,,,
202406,git@github.com:birdflyi/od_label_issue_gen.git,D:\github_repo\od_label_issue_gen,main,5f0d306c3263a699feb1039c5835a522dcf6de76,678d3397ac2269fa1bc7c41638ef6960ced305b2,fb48a5e88c6b9eea490ff8a216269caaf4c5a6e7,data/database_repo_label_dataframe/dbfeatfusion_records_202406_automerged_manulabeled_with_repoid.csv,aa3ccfde95e1827ab134540532eaa8bff2f4e1b4bce4f5466ae2550df23a215b,682,21,d668a19c87d13363fb5eb8bfdbed66de081662e009130faa713fc174c5f88e68,682,682,0,608,74,0,664,10,8,,,,,,,,
202407,git@github.com:birdflyi/od_label_issue_gen.git,D:\github_repo\od_label_issue_gen,main,5f0d306c3263a699feb1039c5835a522dcf6de76,bf36094b3504618b26bb83f0910956348807fd25,d0a762d1bc4144363f44284c4fab048be59f91c4,data/database_repo_label_dataframe/dbfeatfusion_records_202407_automerged_manulabeled_with_repoid.csv,ee27489c898e90fa279524187c684b61562e7be25b6460274f0c2ab07da21066,683,21,7047376388279a640f166981e470c7ea3c15d82276acdd0ec174cc1ae52a7f0d,683,683,0,609,74,0,665,10,8,,,,,,,,
202408,git@github.com:birdflyi/od_label_issue_gen.git,D:\github_repo\od_label_issue_gen,main,5f0d306c3263a699feb1039c5835a522dcf6de76,01505a329a9d3cbcb4e379b666cd84cdb10e9150,fc49f4b37523d74585e7fa02f0686d66c5ad3792,data/database_repo_label_dataframe/dbfeatfusion_records_202408_automerged_manulabeled_with_repoid.csv,d43c0c884111878213e3dae6ab539cf68d2366518ea9e78d4fbcf4d37cea905e,685,21,78f7e88f6232182ab7f021af82dd14f6912e288dea60458ecc433ffe0482e6db,685,685,0,611,74,0,667,10,8,,,,,,,,
202409,git@github.com:birdflyi/od_label_issue_gen.git,D:\github_repo\od_label_issue_gen,main,5f0d306c3263a699feb1039c5835a522dcf6de76,688c9e1f14772c4e10284d0e9e3557ecdbcc8610,d6199175e08d418d49f57f04cf9894c4f8086b39,data/database_repo_label_dataframe/dbfeatfusion_records_202409_automerged_manulabeled_with_repoid.csv,191bcc8384113abf23a1b7034025ed8730b0546f589691d2a304a5e7fdb89df7,685,21,241543dbd9d2e12df60dc7e7cd576510c22233c9bd8e7de1b6a458c4326d7959,685,685,0,611,74,0,667,10,8,,,,,,,,
202410,git@github.com:birdflyi/od_label_issue_gen.git,D:\github_repo\od_label_issue_gen,main,5f0d306c3263a699feb1039c5835a522dcf6de76,834836201850f3b1c4b7a01f7cc8d8c2be5f53ad,0fde579523ec017b61c93f06c2d9eb94cd7832a2,data/database_repo_label_dataframe/dbfeatfusion_records_202410_automerged_manulabeled_with_repoid.csv,aecf9c168b93f84de5dbc83ba4b5dc1a4ed1a1dc419eae1fe0904eba96b83342,690,21,444892f574f3de694b64b35334f5ce112855a20541e5d4434118157e45fb4f9f,690,690,0,616,74,0,671,11,8,576,69,0,2,0,43,2,2
