DBMS_urnform,DBMS_common_name,github_repo_link,local_numeric_repo_id,first_local_occurrence_commit,first_local_occurrence_path,other_historical_artifact_occurrences,same_link_id_pair_elsewhere,in_301,in_294,source_evidence_present,expanded_target_present,activity_repo_name,activity_repo_name_used,activity_repo_created_at,secondary_artifact_mismatch,category_effect,provenance_status
abhot,abhot,quqiangsheng/abhot,95753144,5e84373acb3a38b24168d82d75d7a54d81f0e002,data/github_osdb_data/dbfeatfusion_records_202410_automerged_manulabeled_with_repoid.csv,No matching activity materialization; no 202411/202412 upstream match,NO,NO,NO,NO,NO,,,,NO,NO_FROZEN_294_EFFECT,SINGLE_FROZEN_MATERIALIZATION_ONLY
acedb,AceDB,richarddurbin/acedb,71249290,5e84373acb3a38b24168d82d75d7a54d81f0e002,data/github_osdb_data/dbfeatfusion_records_202410_automerged_manulabeled_with_repoid.csv,No matching activity materialization; no 202411/202412 upstream match,NO,NO,NO,NO,NO,,,,NO,NO_FROZEN_294_EFFECT,SINGLE_FROZEN_MATERIALIZATION_ONLY
akumuli,Akumuli,akumuli/Akumuli,16326644,5e84373acb3a38b24168d82d75d7a54d81f0e002,data/github_osdb_data/dbfeatfusion_records_202410_automerged_manulabeled_with_repoid.csv,"data/github_osdb_data/repo_activity_statistics/repo_i_pr_rec_cnt.csv (same numeric ID, matching repo_name_used and repo_created_at); no 202411/202412 upstream match",NO,NO,NO,NO,NO,akumuli/Akumuli,akumuli/Akumuli,2014-01-28T21:31:20Z,NO,NO_FROZEN_294_EFFECT,MULTI_ARTIFACT_CONSISTENT_ORIGIN_UNKNOWN
aodbm,AODBM,DanielWaterworth/AODBM,1467491,5e84373acb3a38b24168d82d75d7a54d81f0e002,data/github_osdb_data/dbfeatfusion_records_202410_automerged_manulabeled_with_repoid.csv,No matching activity materialization; no 202411/202412 upstream match,NO,NO,NO,NO,NO,,,,NO,NO_FROZEN_294_EFFECT,SINGLE_FROZEN_MATERIALIZATION_ONLY
atlas,Atlas,Netflix/atlas,22631422,5e84373acb3a38b24168d82d75d7a54d81f0e002,data/github_osdb_data/dbfeatfusion_records_202410_automerged_manulabeled_with_repoid.csv,"data/github_osdb_data/repo_activity_statistics/repo_i_pr_rec_cnt.csv (same numeric ID, matching repo_name_used and repo_created_at); no 202411/202412 upstream match",NO,YES,NO,NO,NO,Netflix/atlas,Netflix/atlas,2014-08-05T05:23:04Z,NO,CANDIDATE_ONLY_NO_FROZEN_EVIDENCE; NO_CURRENT_P0_EFFECT,MULTI_ARTIFACT_CONSISTENT_ORIGIN_UNKNOWN
bayesdb,BayesDB,probcomp/bayeslite,25949241,5e84373acb3a38b24168d82d75d7a54d81f0e002,data/github_osdb_data/dbfeatfusion_records_202410_automerged_manulabeled_with_repoid.csv,No matching activity materialization; no 202411/202412 upstream match,NO,NO,NO,NO,NO,,,,NO,NO_FROZEN_294_EFFECT,SINGLE_FROZEN_MATERIALIZATION_ONLY
chaozzdb,chaozzDB,chaozznl/chaozzDB,181762826,5e84373acb3a38b24168d82d75d7a54d81f0e002,data/github_osdb_data/dbfeatfusion_records_202410_automerged_manulabeled_with_repoid.csv,No matching activity materialization; no 202411/202412 upstream match,NO,NO,NO,NO,NO,,,,NO,NO_FROZEN_294_EFFECT,SINGLE_FROZEN_MATERIALIZATION_ONLY
chronix,Chronix,ChronixDB/chronix.server,43548435,5e84373acb3a38b24168d82d75d7a54d81f0e002,data/github_osdb_data/dbfeatfusion_records_202410_automerged_manulabeled_with_repoid.csv,No matching activity materialization; no 202411/202412 upstream match,NO,NO,NO,NO,NO,,,,NO,NO_FROZEN_294_EFFECT,SINGLE_FROZEN_MATERIALIZATION_ONLY
dalmatinerdb,DalmatinerDB,dalmatinerdb/dalmatinerdb,20814855,5e84373acb3a38b24168d82d75d7a54d81f0e002,data/github_osdb_data/dbfeatfusion_records_202410_automerged_manulabeled_with_repoid.csv,No matching activity materialization; no 202411/202412 upstream match,NO,NO,NO,NO,NO,,,,NO,NO_FROZEN_294_EFFECT,SINGLE_FROZEN_MATERIALIZATION_ONLY
datahike,Datahike,replikativ/datahike,116407410,5e84373acb3a38b24168d82d75d7a54d81f0e002,data/github_osdb_data/dbfeatfusion_records_202410_automerged_manulabeled_with_repoid.csv,"data/github_osdb_data/repo_activity_statistics/repo_i_pr_rec_cnt.csv (same numeric ID, matching repo_name_used and repo_created_at); no 202411/202412 upstream match",NO,YES,NO,NO,NO,replikativ/datahike,replikativ/datahike,2018-01-05T16:57:28Z,NO,CANDIDATE_ONLY_NO_FROZEN_EVIDENCE; NO_CURRENT_P0_EFFECT,MULTI_ARTIFACT_CONSISTENT_ORIGIN_UNKNOWN
