DBMS_urnform,DBMS_common_name,upstream_repo_id,local_repo_id,repo_id_change_class,repo_link,repo_created_at,upstream_License_info,local_License_info,upstream_open_source_license,local_open_source_license,first_later_upstream_matching_month,provenance_class,provenance_evidence,in_frozen_301_candidates,in_frozen_294_seeds,source_evidence_present,scientific_role,human_review_required
3store,3store,,-,BLANK_TO_PLACEHOLDER,-,-,GPL v2,GPL v2,Y,Y,NOT_APPLICABLE,REPRESENTATION_ONLY,Blank-to-'-' conversion is not an admitted numeric identity; exact conversion event is not recorded.,NO,NO,NO,NON_SEED_METADATA,YES
4store,4store,248094,248094,UNCHANGED,4store/4store,2009-07-10T16:15:43Z,GPL v3,GPL v3,Y,Y,202411,TRACEABLE_MATERIALIZATION_WITH_PARTIAL_FIELD_ORIGIN,repo_created_at was added in 720cb95a and copied into activity materialization; source/API execution record is absent.,NO,NO,NO,NON_SEED_METADATA,YES
abhot,abhot,,95753144,BLANK_TO_VALID_NUMERIC_REPO_ID,quqiangsheng/abhot,2017-06-29T07:57:34Z,Apache v2,Apache v2,Y,Y,NO_MATCH_IN_202411_202412,UNRESOLVED_PROVENANCE,"Numeric ID was already in local initial materialization 009bd98a; no source snapshot, API response, manual record, or later upstream confirmation was found.",NO,NO,NO,NON_SEED_METADATA,YES
accumulo,Apache Accumulo,2524488,2524488,UNCHANGED,apache/accumulo,2011-10-06T07:00:09Z,Apache v2,Apache v2,Y,Y,202411,TRACEABLE_MATERIALIZATION_WITH_PARTIAL_FIELD_ORIGIN,repo_created_at was added in 720cb95a and copied into activity materialization; source/API execution record is absent.,YES,YES,YES,SEED,YES
acebase,AceBase,137869753,137869753,UNCHANGED,appy-one/acebase,2018-06-19T09:28:07Z,MIT,MIT,Y,Y,202411,TRACEABLE_MATERIALIZATION_WITH_PARTIAL_FIELD_ORIGIN,repo_created_at was added in 720cb95a and copied into activity materialization; source/API execution record is absent.,YES,YES,YES,SEED,YES
acedb,AceDB,,71249290,BLANK_TO_VALID_NUMERIC_REPO_ID,richarddurbin/acedb,2016-10-18T13:08:07Z,"GPL v2,LGPL v2","GPL v2,LGPL v2",Y,Y,NO_MATCH_IN_202411_202412,UNRESOLVED_PROVENANCE,"Numeric ID was already in local initial materialization 009bd98a; no source snapshot, API response, manual record, or later upstream confirmation was found.",NO,NO,NO,NON_SEED_METADATA,YES
actordb,ActorDB,16109206,16109206,UNCHANGED,biokoda/actordb,2014-01-21T16:41:23Z,Mozilla Public License 2.0,Mozilla Public License 2.0,Y,Y,202411,TRACEABLE_MATERIALIZATION_WITH_PARTIAL_FIELD_ORIGIN,repo_created_at was added in 720cb95a and copied into activity materialization; source/API execution record is absent.,NO,NO,NO,NON_SEED_METADATA,YES
adabas,Adabas,34215181,34215181,UNCHANGED,jrmarino/AdaBase,2015-04-19T16:50:09Z,,ISC License,N,N,202411,UNRESOLVED_PROVENANCE,License_info changed while open_source_license stayed unchanged; no per-row source or execution record was found.,NO,NO,NO,NON_SEED_METADATA,YES
aerospike,Aerospike,124315604,124315604,UNCHANGED,aerospike/aerospike-server,2018-03-08T00:59:46Z,AGPL v3 and AGPL Licenses; open sourced in June 2014; commercial Enterprise Edition available,AGPL v3 and AGPL Licenses; open sourced in June 2014; commercial Enterprise Edition available,Y,Y,202411,TRACEABLE_MATERIALIZATION_WITH_PARTIAL_FIELD_ORIGIN,repo_created_at was added in 720cb95a and copied into activity materialization; source/API execution record is absent.,YES,YES,YES,SEED,YES
agatedb,AgateDB,184227406,184227406,UNCHANGED,tikv/agatedb,2019-04-30T08:54:17Z,Apache v2,Apache v2,Y,Y,202411,TRACEABLE_MATERIALIZATION_WITH_PARTIAL_FIELD_ORIGIN,repo_created_at was added in 720cb95a and copied into activity materialization; source/API execution record is absent.,YES,YES,YES,SEED,YES
agedb,AGEDB,276293034,276293034,UNCHANGED,apache/age,2020-07-01T06:15:47Z,Apache v2,Apache v2,Y,Y,202411,TRACEABLE_MATERIALIZATION_WITH_PARTIAL_FIELD_ORIGIN,repo_created_at was added in 720cb95a and copied into activity materialization; source/API execution record is absent.,YES,YES,YES,SEED,YES
agensgraph,AgensGraph,57401138,57401138,UNCHANGED,bitnine-oss/agensgraph,2016-04-29T17:19:07Z,Apache v2,Apache v2,Y,Y,202411,TRACEABLE_MATERIALIZATION_WITH_PARTIAL_FIELD_ORIGIN,repo_created_at was added in 720cb95a and copied into activity materialization; source/API execution record is absent.,YES,YES,YES,SEED,YES
akdb,AKDB,463071559,463071559,UNCHANGED,minovakovi/akdb,2022-02-24T08:44:20Z,,,Y,Y,202411,TRACEABLE_MATERIALIZATION_WITH_PARTIAL_FIELD_ORIGIN,repo_created_at was added in 720cb95a and copied into activity materialization; source/API execution record is absent.,NO,NO,NO,NON_SEED_METADATA,YES
akumuli,Akumuli,,16326644,BLANK_TO_VALID_NUMERIC_REPO_ID,akumuli/Akumuli,2014-01-28T21:31:20Z,Apache v2,Apache v2,Y,Y,NO_MATCH_IN_202411_202412,UNRESOLVED_PROVENANCE,"Numeric ID was already in local initial materialization 009bd98a; no source snapshot, API response, manual record, or later upstream confirmation was found.",NO,NO,NO,NON_SEED_METADATA,YES
akutan,Akutan,179586596,179586596,UNCHANGED,eBay/akutan,2019-04-04T22:32:19Z,Apache v2,Apache v2,Y,Y,202411,TRACEABLE_MATERIALIZATION_WITH_PARTIAL_FIELD_ORIGIN,repo_created_at was added in 720cb95a and copied into activity materialization; source/API execution record is absent.,NO,NO,NO,NON_SEED_METADATA,YES
alasql,AlaSQL,25780780,25780780,UNCHANGED,AlaSQL/alasql,2014-10-26T16:30:37Z,MIT,MIT,Y,Y,202411,TRACEABLE_MATERIALIZATION_WITH_PARTIAL_FIELD_ORIGIN,repo_created_at was added in 720cb95a and copied into activity materialization; source/API execution record is absent.,YES,YES,YES,SEED,YES
alchemydb,AlchemyDB,858418,858418,UNCHANGED,JakSprats/Alchemy-Database,2010-08-24T05:32:36Z,AGPL v3,AGPL v3,Y,Y,202411,TRACEABLE_MATERIALIZATION_WITH_PARTIAL_FIELD_ORIGIN,repo_created_at was added in 720cb95a and copied into activity materialization; source/API execution record is absent.,NO,NO,NO,NON_SEED_METADATA,YES
alenka,Alenka,3927863,3927863,UNCHANGED,antonmks/Alenka,2012-04-04T11:01:00Z,Apache v2,Apache v2,Y,Y,202411,TRACEABLE_MATERIALIZATION_WITH_PARTIAL_FIELD_ORIGIN,repo_created_at was added in 720cb95a and copied into activity materialization; source/API execution record is absent.,NO,NO,NO,NON_SEED_METADATA,YES
altibase,Altibase,623337117,623337117,UNCHANGED,ALTIBASE/altibase,2023-04-04T07:06:53Z,Open source edition discontinued with March 2023,Open source edition discontinued with March 2023,N,N,202411,TRACEABLE_MATERIALIZATION_WITH_PARTIAL_FIELD_ORIGIN,repo_created_at was added in 720cb95a and copied into activity materialization; source/API execution record is absent.,NO,NO,NO,NON_SEED_METADATA,YES
angstromdb,AngstromDB,12991321,12991321,UNCHANGED,Amaury/AngstromDB,2013-09-21T07:27:53Z,Apache v2,Apache v2,Y,Y,202411,TRACEABLE_MATERIALIZATION_WITH_PARTIAL_FIELD_ORIGIN,repo_created_at was added in 720cb95a and copied into activity materialization; source/API execution record is absent.,NO,NO,NO,NON_SEED_METADATA,YES
annadb,AnnaDB,522606931,522606931,UNCHANGED,Anna-Team/AnnaDB,2022-08-08T15:31:49Z,Apache v2,Apache v2,Y,Y,202411,TRACEABLE_MATERIALIZATION_WITH_PARTIAL_FIELD_ORIGIN,repo_created_at was added in 720cb95a and copied into activity materialization; source/API execution record is absent.,NO,NO,NO,NON_SEED_METADATA,YES
anndb,AnnDB,242383787,242383787,UNCHANGED,marekgalovic/anndb,2020-02-22T17:37:56Z,Apache v2,Apache v2,Y,Y,202411,TRACEABLE_MATERIALIZATION_WITH_PARTIAL_FIELD_ORIGIN,repo_created_at was added in 720cb95a and copied into activity materialization; source/API execution record is absent.,NO,NO,NO,NON_SEED_METADATA,YES
antdb,AntDB,107504377,107504377,UNCHANGED,ADBSQL/AntDB,,Apache v2,Apache v2,Y#dbdbio>|<dbengines#N,Y#dbdbio>|<dbengines#N,202411,NO_DIFFERENCE,No compared common-field difference.,NO,NO,NO,NON_SEED_METADATA,NO
antidote,Antidote,17826843,17826843,UNCHANGED,AntidoteDB/antidote,2014-03-17T12:15:01Z,Apache v2,Apache v2,Y,Y,202411,TRACEABLE_MATERIALIZATION_WITH_PARTIAL_FIELD_ORIGIN,repo_created_at was added in 720cb95a and copied into activity materialization; source/API execution record is absent.,NO,NO,NO,NON_SEED_METADATA,YES
aodbm,AODBM,,1467491,BLANK_TO_VALID_NUMERIC_REPO_ID,DanielWaterworth/AODBM,2011-03-11T10:07:37Z,LGPL v3,LGPL v3,Y,Y,NO_MATCH_IN_202411_202412,UNRESOLVED_PROVENANCE,"Numeric ID was already in local initial materialization 009bd98a; no source snapshot, API response, manual record, or later upstream confirmation was found.",NO,NO,NO,NON_SEED_METADATA,YES
apache-flink,Apache Flink,20587599,20587599,UNCHANGED,apache/flink,2014-06-07T07:00:10Z,,Apache License 2.0,Y,Y,202411,UNRESOLVED_PROVENANCE,License_info changed while open_source_license stayed unchanged; no per-row source or execution record was found.,YES,YES,YES,SEED,YES
apache-sedona,Apache Sedona,34533675,34533675,UNCHANGED,apache/sedona,2015-04-24T18:01:29Z,Apache Version 2.0,Apache Version 2.0,Y,Y,202411,TRACEABLE_MATERIALIZATION_WITH_PARTIAL_FIELD_ORIGIN,repo_created_at was added in 720cb95a and copied into activity materialization; source/API execution record is absent.,YES,YES,YES,SEED,YES
arakoon,Arakoon,3019304,3019304,UNCHANGED,Incubaid/arakoon,2011-12-20T12:25:30Z,Apache v2,Apache v2,Y,Y,202411,TRACEABLE_MATERIALIZATION_WITH_PARTIAL_FIELD_ORIGIN,repo_created_at was added in 720cb95a and copied into activity materialization; source/API execution record is absent.,NO,NO,NO,NON_SEED_METADATA,YES
arangodb,ArangoDB,2649214,2649214,UNCHANGED,arangodb/arangodb,2011-10-26T06:42:00Z,Apache v2; Commercial license (Enterprise) available,Apache v2; Commercial license (Enterprise) available,Y,Y,202411,TRACEABLE_MATERIALIZATION_WITH_PARTIAL_FIELD_ORIGIN,repo_created_at was added in 720cb95a and copied into activity materialization; source/API execution record is absent.,YES,YES,YES,SEED,YES
arcadedb,ArcadeDB,396867188,396867188,UNCHANGED,ArcadeData/arcadedb,2021-08-16T16:01:29Z,Apache v2.0,Apache v2.0,Y,Y,202411,TRACEABLE_MATERIALIZATION_WITH_PARTIAL_FIELD_ORIGIN,repo_created_at was added in 720cb95a and copied into activity materialization; source/API execution record is absent.,YES,YES,YES,SEED,YES
arcticdb,ArcticDB,564689243,564689243,UNCHANGED,man-group/ArcticDB,2022-11-11T09:09:46Z,Business Source License,Business Source License,Y,Y,202411,TRACEABLE_MATERIALIZATION_WITH_PARTIAL_FIELD_ORIGIN,repo_created_at was added in 720cb95a and copied into activity materialization; source/API execution record is absent.,NO,NO,NO,NON_SEED_METADATA,YES
ardb,Ardb,9048279,9048279,UNCHANGED,yinqiwen/ardb,2013-03-27T06:49:40Z,BSD,BSD,Y,Y,202411,TRACEABLE_MATERIALIZATION_WITH_PARTIAL_FIELD_ORIGIN,repo_created_at was added in 720cb95a and copied into activity materialization; source/API execution record is absent.,NO,NO,NO,NON_SEED_METADATA,YES
aresdb,AresDB,149626591,149626591,UNCHANGED,uber/aresdb,2018-09-20T14:56:46Z,Apache v2,Apache v2,Y,Y,202411,TRACEABLE_MATERIALIZATION_WITH_PARTIAL_FIELD_ORIGIN,repo_created_at was added in 720cb95a and copied into activity materialization; source/API execution record is absent.,NO,NO,NO,NON_SEED_METADATA,YES
