atomic_forensic_id,semantic_claim_id,subclaim_id,manuscript_version,section,location,exact_text,composite_class,numeric_relation_subject,numerator_or_components,denominator_or_total,implied_relation,exact_recomputed_value,display_transform,displayed_value,arithmetic_closure,population_or_universe,population_closure,authority_files,authority_keys_or_rows,authority_coherence,old_vs_qa_status,unit_semantics,reconciliation_relevance,manual_review_required,notes
A001,WIREDTIGER_SELF_RATIO,ratio,OLD,RQ1,lines 434;440,"WiredTiger 的自引率为 84.08%（100,190 条引用中 84,239 条为自引）。",RATIO_WITH_COUNTS,self-reference ratio,84239,100190,84239/100190,0.8407924942609042818644575307,ROUND_2_PERCENT,84.08%,PASS,historical relation-row universe,FAIL,data/github_osdb_data/analysis_results/issue_referencing_metrics/df_issue_referencing_metrics.csv;docs/freeze/ch5_refq_repository_identity_correction_c2_relation_diff_v1.csv,total_ref_count;relation_rows_v1;relation_rows_v2,HISTORICAL_ONLY,BOTH_DISPLAY_EQUAL_DIFFERENT_SUPPORT,relation-row count,OLD_REPLACE_WITH_CURRENT_PROFILE,YES,100190 is historical relation-row support and not current Reference-record support.
A002,WIREDTIGER_SELF_RATIO,ratio,QA,RQ1,line 434,"WiredTiger 的自引率为 84.08%（15,332 条引用中 12,891 条为自引）。",RATIO_WITH_COUNTS,self-reference ratio,12891,15332,12891/15332,0.8407905035220453952517610227,ROUND_2_PERCENT,84.08%,PASS,current P0-v3 project Reference profile,PASS,outputs/reference_quotient_p0_corrected_v3/rq1_project_reference_profiles.csv,project_id=2944302;wiredtiger/wiredtiger;self_reference_ratio,SINGLE_FROZEN_AUTHORITY,BOTH_DISPLAY_EQUAL_DIFFERENT_SUPPORT,Reference record count,KEEP_QA_CURRENT_VALUES,NO,Current row is the sole authority.
A003,WIREDTIGER_SELF_RATIO,partition,QA,RQ1,line 434,"12,891 self + 19 external-project + 1,096 non-project + 1,326 unresolved = 15,332.",TOTAL_WITH_PARTITION,profile component partition,12891;19;1096;1326,15332,12891+19+1096+1326=15332,15332,INTEGER_FORMAT,15332,PASS,current P0-v3 project Reference profile,PASS,outputs/reference_quotient_p0_corrected_v3/rq1_project_reference_profiles.csv,project_id=2944302;component fields,SINGLE_FROZEN_AUTHORITY,OLD_STALE_QA_CORRECT,Reference record partition,KEEP_QA_CURRENT_VALUES,NO,Exact row-sum closure.
A004,L8_EVIDENCE_FLOW,scan_admission,QA,methods,lines 101-103;114;175,"3,748,078 scanned input records, 120 out-of-seed, and 3,747,958 admitted records.",PIPELINE_FLOW,source-admission flow,3748078;120,3747958,3748078-120=3747958,3747958,INTEGER_FORMAT,3747958,PASS,current S1 source-admission universe,PASS,supplemental/reference_quotient_v2/outputs_p0v3/S1_evidence_universe/evidence_universe_flow.csv,reference_records_before_source_admission;out_of_seed_source_observation_reference_records;admitted_source_observation_reference_records,MULTIPLE_FROZEN_AUTHORITIES_SAME_UNIVERSE,OLD_STALE_QA_CORRECT,Reference record count,KEEP_CURRENT_SCIENCE_USE_FROZEN_WORDING,NO,Exact current admission closure.
A005,L8_EVIDENCE_FLOW,target_partition,QA,methods,lines 101-103;114;175,"1,586,047 project-mappable + 1,686,729 non-project + 475,182 unresolved = 3,747,958.",TOTAL_WITH_PARTITION,target classification partition,1586047;1686729;475182,3747958,1586047+1686729+475182=3747958,3747958,INTEGER_FORMAT,3747958,PASS,current S1 target classification universe,PASS,supplemental/reference_quotient_v2/outputs_p0v3/S1_evidence_universe/evidence_universe_flow.csv,target_project_mappable_records;target_non_project_records;target_unresolved_records;admitted_source_observation_reference_records,MULTIPLE_FROZEN_AUTHORITIES_SAME_UNIVERSE,OLD_STALE_QA_CORRECT,Reference record count,KEEP_CURRENT_SCIENCE_USE_FROZEN_WORDING,NO,Target ambiguous count is zero and is not an omitted component.
A006,L8_EVIDENCE_FLOW,weight_partition,QA,RQ2,lines 487;493-496;739,"1,447,073 self-loop evidence weight + 138,974 cross-project evidence weight = 1,586,047.",TOTAL_WITH_PARTITION,eligible evidence-weight partition,1447073;138974,1586047,1447073+138974=1586047,1586047,INTEGER_FORMAT,1586047,PASS,current P0-v3 quotient universe,PASS,outputs/reference_quotient_p0_corrected_v3/quotient_construction_audit.json,refq_weight_including_self_loops;self_loop_evidence_weight;refq_cross_project_weight,MULTIPLE_FROZEN_AUTHORITIES_SAME_UNIVERSE,OLD_STALE_QA_CORRECT,unit-weight Reference-record evidence,KEEP_CURRENT_SCIENCE_USE_FROZEN_WORDING,NO,Weight is not an edge count.
A007,REFQN_EDGE_PARTITION,full_directed_edges,OLD,RQ2,line 534,"289 self-loop edges + 9,605 cross-project directed edges = 9,894 directed edges.",TOTAL_WITH_PARTITION,directed edge partition,289;9605,9894,289+9605=9894,9894,INTEGER_FORMAT,9894,PASS,historical RefQ directed graph,FAIL,outputs/reference_quotient_p0_frozen/quotient_construction_audit.json,refq_self_loops;refq_directed_cross_project_edges;refq_directed_edges_including_self_loops,HISTORICAL_ONLY,OLD_STALE_QA_CORRECT,EDGE_COUNT,OLD_REPLACE_WITH_CURRENT_GRAPH,YES,Historical relation universe.
A008,REFQN_EDGE_PARTITION,full_directed_edges,QA,RQ2,line 487,"289 self-loop edges + 9,595 cross-project directed edges = 9,884 directed edges.",TOTAL_WITH_PARTITION,directed edge partition,289;9595,9884,289+9595=9884,9884,INTEGER_FORMAT,9884,PASS,current P0-v3 directed graph,PASS,outputs/reference_quotient_p0_corrected_v3/quotient_construction_audit.json,refq_self_loops;refq_directed_cross_project_edges;refq_directed_edges_including_self_loops,SINGLE_FROZEN_AUTHORITY,OLD_STALE_QA_CORRECT,EDGE_COUNT,KEEP_QA_CURRENT_VALUES,NO,Exact current edge-count closure.
A009,REFQN_WEIGHT_PARTITION,total_weight,OLD,RQ2,line 534,"1,447,073 self-loop weight + 139,044 cross-project weight = 1,586,117 total weight.",TOTAL_WITH_PARTITION,eligible evidence-weight partition,1447073;139044,1586117,1447073+139044=1586117,1586117,INTEGER_FORMAT,1586117,PASS,historical RefQ weight universe,FAIL,outputs/reference_quotient_p0_frozen/quotient_construction_audit.json,refq_weight_including_self_loops;refq_self_loop_weight;refq_cross_project_weight,HISTORICAL_ONLY,OLD_STALE_QA_CORRECT,AGGREGATED_EDGE_WEIGHT,OLD_REPLACE_WITH_CURRENT_WEIGHT,YES,Historical weight total is closed but stale.
A010,REFQN_WEIGHT_PARTITION,total_weight,QA,RQ2,line 487,"1,447,073 self-loop weight + 138,974 cross-project weight = 1,586,047 total weight.",TOTAL_WITH_PARTITION,eligible evidence-weight partition,1447073;138974,1586047,1447073+138974=1586047,1586047,INTEGER_FORMAT,1586047,PASS,current P0-v3 RefQ weight universe,PASS,outputs/reference_quotient_p0_corrected_v3/quotient_construction_audit.json,refq_weight_including_self_loops;refq_self_loop_weight;refq_cross_project_weight,SINGLE_FROZEN_AUTHORITY,OLD_STALE_QA_CORRECT,AGGREGATED_EDGE_WEIGHT,KEEP_QA_CURRENT_VALUES,NO,Exact current weight closure.
