record_type,relative_path,sha256,bytes,csv_row_count,value
FILE,analysis_seed_manifest_294.csv,dbf33e612c19976b406a3e5b19dfb781faf5e8a36afbbf13582dbe609ffa53e2,77126,294,
FILE,candidate_seed_observation_audit.csv,e27f3a81e34cf5ac88a89858a85e03d989a5d64897aea8de1e5751788b712a44,79836,301,
FILE,manifest.json,7c1f6da8ccc1df67ac6a5cdf94e477ceab034b0d82dfa278a3c4e4fca90462d2,95076,,
FILE,membership_audit.json,4455a6af6d022b3208db9198373a948b31a041e75a1ec85338898c9ca0b4259f,1579,,
FILE,quotient_construction_audit.json,b54e21be796bb513b8108e2c4043290393503ead743eedacaef85f0b789ee6b0,990,,
FILE,reference_quotient_cross_project_edges.csv,a73b410753d66ea5d2e7378bc496095e0617432f3463819050159417a3a101bd,392762,9595,
FILE,reference_quotient_edges.csv,65974328f6db459b7f4ae34d2afd9a93cc81ab2fe3411b635f493740bfbbd6a1,404998,9884,
FILE,reference_quotient_node_registry.csv,0e6095341d207ff3c096d759cdd86be172241668b5f8f0f68be460063397571a,293129,6506,
FILE,refq_provenance_sample.csv,860bfd2aa1670606302b0e4417f3c2a2d49e05df0c866bc90deafe75f6bf3877,20417,100,
FILE,rq1_descriptive_statistics.csv,52b936e07e0c2bb4bb9ec605d46c06d62ffb954f9e2aa776ce1afd4c230b6846,1418,8,
FILE,rq1_event_type_distribution.csv,90d72fde449e5b193fabc1930c9ca1de6e6f10de2a89c1f3c0a741cf3d40edee,392,8,
FILE,rq1_project_age_cross_sectional_association.csv,e816875a7bd3eaab002ac317eb4e852c7a9eaa37907828e7e9f11e9933098484,404,4,
FILE,rq1_project_reference_profiles.csv,da5a1ff86bbe95e9655060c8be51f0a57a0a621fac7425c94089aecadadd8813,51757,294,
FILE,rq1_referenced_entity_distribution.csv,483581ef070895ba4d222f6c285f6ffb35b84defc6252f0f026926ac7f0c5b04,819,19,
FILE,rq1_referencing_entity_distribution.csv,c8730d77f637b95b0a7527b65030c87dcda4cf12da2e50f8fa2bdc7538a2c2fa,364,8,
FILE,rq2a_source_role_metrics.csv,895d67b236afacd936f16c593f8cd32457ad27770d53f24ff1593b15ce2c84bc,22467,294,
FILE,rq2a_source_role_top50.csv,7bc346136fd591b2556d1bfc891048f2163b7a9aa8769bfab1f6cf878a175b78,4830,50,
FILE,rq2b_target_category_type_breakdown.csv,c7cdc5f264e24d3619c17350d777b33f15a8e76c127f35cfcd4ce4f12dcb0ee0,3078,35,
FILE,rq2b_target_concentration.json,1deed3aa5492d92ac4ce2f0d93ee7aa5e6897be10ccf528cb9b0c1f81f58a9b6,215,,
FILE,rq2b_target_role_metrics.csv,1348f0aadc8a53d9122f95de0000129a2ebafa7ada778df9d3f63a8def166e24,703965,6322,
FILE,rq2b_target_role_top50.csv,fe140d55eabbc0b573a5272a1b86e22670a4fb66f4eb4703788b65c4b20bfd4b,5859,50,
FILE,rq2c_algorithmic_communities.csv,6a0cdae75fb0e430542d49d448cdba41b2fd2fc853d03106e32650c08358e474,106241,6367,
FILE,rq2c_structural_brokerage_candidates.csv,723a5608f6b837585aed8354720ffa0074b4f0e5ec5628aaa1b6966dd2bb0f6e,197701,6367,
FILE,rq2c_structural_brokerage_top50.csv,198be0915086ed495fe2daf56daf67fc5671ad341d7b7e57b5e64be966ae9d6c,3216,50,
FILE,rq2c_undirected_view_edges.csv,3ae36a7e6d357d250052288f9ca62dac865ab3590dd02189b19ba957113db254,227205,9547,
FILE,rq2c_undirected_view_lcc_edges.csv,67f71f3feb399425546c5ae8dc12b07c47f94a50578324e0abb8d14379ebadc3,225181,9462,
FILE,rq2c_undirected_view_summary.json,489cc280b1f8d835032de7e06b9ed2acd85e97fab799476cfcbdffc844017446,836,,
FILE,rq3_kruskal_fdr_effect_sizes.csv,d7f914e845140f09239979590fecda8f801905c2b180f999534a0136ca51b02e,4911,22,
FILE,rq3_seed_role_aware_features.csv,3f4c3ca2ca9ee33765f669bafbfdff11e4c12bbe01ed35e750bac74212d9cb82,83163,294,
FILE,rq3_subdomain_descriptive_comparison.csv,89a7330959bca41b011a349f424b67dad5106e8d6fa6801664532d402d632277,18976,185,
FILE,seed_observability_audit.json,e4db9864d998e4099fc43e03f9acb82691dbeefd7ce3a5f6b6f5990866f172de,515,,
SUMMARY,file_count,,,,31
SUMMARY,total_bytes,,,,3029426
SUMMARY,manifest_sha256,,,,7c1f6da8ccc1df67ac6a5cdf94e477ceab034b0d82dfa278a3c4e4fca90462d2
SUMMARY,attempt_status,,,,REJECTED_RUNTIME_MISMATCH
SUMMARY,p0_run_number,,,,1
SUMMARY,blocker_commit,,,,b9c6d6616dffb2cd368eba30382bf786c1f8db83
SUMMARY,python,,,,3.9.13
SUMMARY,pandas,,,,1.5.3
SUMMARY,numpy,,,,1.24.2
SUMMARY,scipy,,,,1.9.1
SUMMARY,networkx,,,,3.2.1
SUMMARY,gh_core,,,,2.3.0.0
