table_id,display_order,display_label,frozen_count,exact_share,display_share,cumulative_share_before,cumulative_share_after,individual_share_ge_5pct,selection_reason,underlying_frozen_rows,aggregation_check,authority,status
Table 4.1,1,IssueComment,1816696,0.484716210800654650,48.47%,0.000000000000000000,0.484716210800654650,YES,MATERIAL_CATEGORY,IssueComment,NOT_APPLICABLE,outputs/reference_quotient_p0_corrected_v3/rq1_referencing_entity_distribution.csv,PASS
Table 4.1,2,Push,1165990,0.311100071025342333,31.11%,0.484716210800654650,0.795816281825996983,YES,MATERIAL_CATEGORY,Push,NOT_APPLICABLE,outputs/reference_quotient_p0_corrected_v3/rq1_referencing_entity_distribution.csv,PASS
Table 4.1,3,PullRequest,335530,0.089523415150329860,8.95%,0.795816281825996983,0.885339696976326843,YES,MATERIAL_CATEGORY,PullRequest,NOT_APPLICABLE,outputs/reference_quotient_p0_corrected_v3/rq1_referencing_entity_distribution.csv,PASS
Table 4.1,4,Issue,168876,0.045058135656802984,4.51%,0.885339696976326843,0.930397832633129827,NO,CUMULATIVE_COVERAGE,Issue,NOT_APPLICABLE,outputs/reference_quotient_p0_corrected_v3/rq1_referencing_entity_distribution.csv,PASS
Table 4.1,5,Release,96690,0.025798047897014854,2.58%,0.930397832633129827,0.956195880530144681,NO,CUMULATIVE_COVERAGE,Release,NOT_APPLICABLE,outputs/reference_quotient_p0_corrected_v3/rq1_referencing_entity_distribution.csv,PASS
Table 4.1,6,其他已导出类型,164176,0.043804119469855319,4.38%,0.956195880530144681,1.000000000000000000,NO,DISPLAY_ONLY_OTHER,PullRequestReview=72597;PullRequestReviewComment=52761;CommitComment=38818,164176=72597+52761+38818,outputs/reference_quotient_p0_corrected_v3/rq1_referencing_entity_distribution.csv,PASS
Table 4.1,7,合计,3747958,1.000000000000000000,100.00%,0.000000000000000000,1.000000000000000000,NO,TOTAL,all eight frozen source rows,3747958 exact denominator,outputs/reference_quotient_p0_corrected_v3/rq1_referencing_entity_distribution.csv,PASS
Table 4.2,1,GitHub_Service_External_Links,1629327,0.434723921666144605,43.47%,0.000000000000000000,0.434723921666144605,YES,MATERIAL_CATEGORY,GitHub_Service_External_Links,NOT_APPLICABLE,outputs/reference_quotient_p0_corrected_v3/rq1_referenced_entity_distribution.csv,PASS
Table 4.2,2,PullRequest,671986,0.179293898170683876,17.93%,0.434723921666144605,0.614017819836828481,YES,MATERIAL_CATEGORY,PullRequest,NOT_APPLICABLE,outputs/reference_quotient_p0_corrected_v3/rq1_referenced_entity_distribution.csv,PASS
Table 4.2,3,Actor,475651,0.126909373050605156,12.69%,0.614017819836828481,0.740927192887433637,YES,MATERIAL_CATEGORY,Actor,NOT_APPLICABLE,outputs/reference_quotient_p0_corrected_v3/rq1_referenced_entity_distribution.csv,PASS
Table 4.2,4,Issue,281648,0.075147053408816214,7.51%,0.740927192887433637,0.816074246296249851,YES,MATERIAL_CATEGORY,Issue,NOT_APPLICABLE,outputs/reference_quotient_p0_corrected_v3/rq1_referenced_entity_distribution.csv,PASS
Table 4.2,5,Commit,255009,0.068039449748369646,6.80%,0.816074246296249851,0.884113696044619497,YES,MATERIAL_CATEGORY,Commit,NOT_APPLICABLE,outputs/reference_quotient_p0_corrected_v3/rq1_referenced_entity_distribution.csv,PASS
Table 4.2,6,GitHub_Files_FileChanges,193391,0.051599030725531076,5.16%,0.884113696044619497,0.935712726770150573,YES,MATERIALITY_GUARD_AND_COVERAGE,GitHub_Files_FileChanges,NOT_APPLICABLE,outputs/reference_quotient_p0_corrected_v3/rq1_referenced_entity_distribution.csv,PASS
Table 4.2,7,Repo,74468,0.019868952640344422,1.99%,0.935712726770150573,0.955581679410494995,NO,CUMULATIVE_COVERAGE,Repo,NOT_APPLICABLE,outputs/reference_quotient_p0_corrected_v3/rq1_referenced_entity_distribution.csv,PASS
Table 4.2,8,其他已导出类型,166478,0.044418320589505005,4.44%,0.955581679410494995,1.000000000000000000,NO,DISPLAY_ONLY_OTHER,"GitHub_GenSer_Other_Links=62641;GitHub_Other_Service=32788;Branch_Tag_GHDir=24102;IssueComment=13355;SHA=13126;PullRequestReview=8076;Gollum=5779;PullRequestReviewComment=3775;Release=1950;Branch=581;Tag=300;CommitComment=5",166478=62641+32788+24102+13355+13126+8076+5779+3775+1950+581+300+5,outputs/reference_quotient_p0_corrected_v3/rq1_referenced_entity_distribution.csv,PASS
Table 4.2,9,合计,3747958,1.000000000000000000,100.00%,0.000000000000000000,1.000000000000000000,NO,TOTAL,all nineteen frozen source rows,3747958 exact denominator,outputs/reference_quotient_p0_corrected_v3/rq1_referenced_entity_distribution.csv,PASS
