stage,path,bytes,sha256,receipt_status,implementation_commit
S1_evidence_universe,edge_class_counts.csv,184,a023d557fd43971ebc27304993f33a4043a5760a1f61c98fdbbeda4c8e3e4c08,PASS,e13eaf2b3bff040639e6256ea98aa1fa5bb0ef1f
S1_evidence_universe,event_type_x_quotient_eligibility.csv,1749,b000c44ad4e8a385a9d1d47574e9092e74b34536138f5aa287bd191f1142b098,PASS,e13eaf2b3bff040639e6256ea98aa1fa5bb0ef1f
S1_evidence_universe,event_type_x_target_membership_status.csv,2440,0732e5e330a9e7853a71f51b89223987ffca1486b2aa086f6877e7838128b934,PASS,e13eaf2b3bff040639e6256ea98aa1fa5bb0ef1f
S1_evidence_universe,evidence_universe_flow.csv,866,92e813ffcd189abea9320489b39e52d0baca8855eec7cb8ec3c8e3c285693366,PASS,e13eaf2b3bff040639e6256ea98aa1fa5bb0ef1f
S1_evidence_universe,source_entity_type_x_quotient_eligibility.csv,1675,9ec667ab33606f88ade507d22b6780f2812074051bcce8bb3c456ff794f51912,PASS,e13eaf2b3bff040639e6256ea98aa1fa5bb0ef1f
S1_evidence_universe,source_entity_type_x_target_membership_status.csv,2325,19026f37fb68681cdd7eaa5082c5bc11a4370bd5f673278daf72e402659b15bd,PASS,e13eaf2b3bff040639e6256ea98aa1fa5bb0ef1f
S1_evidence_universe,stage_receipt.json,139236,d9dca75183c125137baf546c99ccac240529d8938471ea3d97ae41789683c60a,PASS,e13eaf2b3bff040639e6256ea98aa1fa5bb0ef1f
S1_evidence_universe,target_entity_type_x_quotient_eligibility.csv,3138,74ca96eb3b6e3ab7eaf150f153c05fbfa570bbf6941dac47a35bb62cad83cc15,PASS,e13eaf2b3bff040639e6256ea98aa1fa5bb0ef1f
S1_evidence_universe,target_entity_type_x_target_membership_status.csv,3050,a161549a51e883acfa2acd14289cbc4f50e37e89612aba1ca9423e9281bd00cf,PASS,e13eaf2b3bff040639e6256ea98aa1fa5bb0ef1f
S2_weight_sensitivity,edge_weight_sensitivity.csv,1347,fb0166c2fa2e9e05cc99c5b8b0a26b2a11b0adad41473177ddf8612fa4a70a5a,PASS,de9f03a1efb76f3abd2b7b6239f7748f40498d90
S2_weight_sensitivity,stage_receipt.json,2963,142f1060e177c9f8b7624f8f22db77cf502297719c923e09b344f9be3a1eba34,PASS,de9f03a1efb76f3abd2b7b6239f7748f40498d90
S2_weight_sensitivity,threshold_10_undirected_edges.csv,34062,71c0975f8cdec8ff77f6dd02ed7a5cf29b6a2ee1b1c8f7e6161e9b1eea9db565,PASS,de9f03a1efb76f3abd2b7b6239f7748f40498d90
S2_weight_sensitivity,threshold_1_undirected_edges.csv,217657,30514267865f5baa3a50df6a3058e0b1ea5bddf83ef72b9884b302a156e06fc9,PASS,de9f03a1efb76f3abd2b7b6239f7748f40498d90
S2_weight_sensitivity,threshold_2_undirected_edges.csv,110655,d105d96dad6e98bd4463595499838ba386bbf3d005f1845b6d9f4e93e2dc8bc7,PASS,de9f03a1efb76f3abd2b7b6239f7748f40498d90
S2_weight_sensitivity,threshold_5_undirected_edges.csv,53825,514baffc1bafe744ce2700fcde43ef1fc6e5d1ca2e0877af6d83b9bcb2592d43,PASS,de9f03a1efb76f3abd2b7b6239f7748f40498d90
S3_observation_sensitivity,canonical_seed_centered_observed_communities.csv,99873,1ac9efb674a4680c41ac3477fc916ce537f1eaa972de6db913ab69b900276bc1,PASS,de9f03a1efb76f3abd2b7b6239f7748f40498d90
S3_observation_sensitivity,canonical_seed_centered_observed_lcc_edges.csv,215718,5d85dc3fc479ef06f4337957debba05db326210b1e97f9b56f24d226e9c53916,PASS,de9f03a1efb76f3abd2b7b6239f7748f40498d90
S3_observation_sensitivity,canonical_seed_centered_observed_undirected_edges.csv,217657,30514267865f5baa3a50df6a3058e0b1ea5bddf83ef72b9884b302a156e06fc9,PASS,de9f03a1efb76f3abd2b7b6239f7748f40498d90
S3_observation_sensitivity,multi_seed_target_view_communities.csv,18612,d8de026d8cf4ee539ef38130a76cd808a1402695a61681e669a8ac79de4afb20,PASS,de9f03a1efb76f3abd2b7b6239f7748f40498d90
S3_observation_sensitivity,multi_seed_target_view_lcc_edges.csv,97569,1d09c167247c731e12fdf47ae33eac7ab8763a7019243859afd81d070426c714,PASS,de9f03a1efb76f3abd2b7b6239f7748f40498d90
S3_observation_sensitivity,multi_seed_target_view_undirected_edges.csv,97569,1d09c167247c731e12fdf47ae33eac7ab8763a7019243859afd81d070426c714,PASS,de9f03a1efb76f3abd2b7b6239f7748f40498d90
S3_observation_sensitivity,observation_boundary_sensitivity.csv,1020,1c59e5e1fd0e402df84595bdd6711d14464cf62d89fd9db957951eecc2f7e7af,PASS,de9f03a1efb76f3abd2b7b6239f7748f40498d90
S3_observation_sensitivity,seed_only_induced_communities.csv,2227,b7589cb74c1367504f93285115d9d9a71f1cd39a825e6564c0ff407e32b8be1e,PASS,de9f03a1efb76f3abd2b7b6239f7748f40498d90
S3_observation_sensitivity,seed_only_induced_lcc_edges.csv,8130,6e032be5789a97ca93e2a09a716856d3d5427653823da6a8019d686255ec3d01,PASS,de9f03a1efb76f3abd2b7b6239f7748f40498d90
S3_observation_sensitivity,seed_only_induced_undirected_edges.csv,8323,20775c511bb5cef59f5ea97c730e597aebc43ba8854dc76245565247f2a2bf06,PASS,de9f03a1efb76f3abd2b7b6239f7748f40498d90
S3_observation_sensitivity,stage_receipt.json,4547,ee80ce4720df0a960d611941eb61212d8595efe6023caa0276b4428738f6f832,PASS,de9f03a1efb76f3abd2b7b6239f7748f40498d90
S4_community_stability,louvain_stability_pairwise.csv,45202,240852543183948b6107c9fd00a51de48f2dbb03f813083e30e0ca43d521cc69,PASS,de9f03a1efb76f3abd2b7b6239f7748f40498d90
S4_community_stability,louvain_stability_runs.csv,2845,913266c48ba0dab8a08b0013c557c350c0f6493c0ee5e993141a8329e85b9d8c,PASS,de9f03a1efb76f3abd2b7b6239f7748f40498d90
S4_community_stability,louvain_stability_summary.json,636,37594b91e0c25cbfc5b31b0c9036f4e0bdddc324e724e5a2ca4398cf7e307421,PASS,de9f03a1efb76f3abd2b7b6239f7748f40498d90
S4_community_stability,stage_receipt.json,4031,0a3bc88aa59b68f57ed7524f7d77903ab8b6de400d3e9ca4c8b42711f0903206,PASS,de9f03a1efb76f3abd2b7b6239f7748f40498d90
S5_brokerage_stability,brokerage_rank_stability.csv,13242351,12da3450bb044434ac354ae212e8f612d460f8187fab60e5bb62a1df9f2afe42,PASS,de9f03a1efb76f3abd2b7b6239f7748f40498d90
S5_brokerage_stability,brokerage_stability_runs.csv,3164,75177f94b24abf7f010c240be2f19f216e0b216812447e9bd498c218cd7b5dc6,PASS,de9f03a1efb76f3abd2b7b6239f7748f40498d90
S5_brokerage_stability,brokerage_stability_summary.json,1984,0491e41e1da51d3ed95f3a1d25a5df9c3ac295ed952e75aab66706d8603ae3a6,PASS,de9f03a1efb76f3abd2b7b6239f7748f40498d90
S5_brokerage_stability,brokerage_topk_inclusion_frequency.csv,9492,d75379421ae7d9f60d3e1ce5b2d0fd4c4c5c5f72cda17c59fd37bc3af2a1e284,PASS,de9f03a1efb76f3abd2b7b6239f7748f40498d90
S5_brokerage_stability,stage_receipt.json,4259,4e9557e850d21eb5025259ed2b1c6c9367b33e8f474490463beb3c569b9d1c26,PASS,de9f03a1efb76f3abd2b7b6239f7748f40498d90
S6_figure_ready,brokerage_plot.csv,188817,93eba17e8ef61af8a0e4b17405466f4f687844912947567cb871ccb85098f9ed,PASS,de9f03a1efb76f3abd2b7b6239f7748f40498d90
S6_figure_ready,brokerage_stability_plot.csv,3160,9f279a1eda33f22b607e5af979e3bd0a4b61467e372aa820ac10a3db5e411d71,PASS,de9f03a1efb76f3abd2b7b6239f7748f40498d90
S6_figure_ready,brokerage_top50_plot.csv,2998,62a861e67829d42bf1fe2fde1a01a406b78fea6db910b8f9dc86d62dc863a42d,PASS,de9f03a1efb76f3abd2b7b6239f7748f40498d90
S6_figure_ready,community_size_distribution.csv,243,01d00d4a225cfea9600f5553dcc110c1c677394dcc200073e699bab6b4abc60b,PASS,de9f03a1efb76f3abd2b7b6239f7748f40498d90
S6_figure_ready,edge_weight_ecdf_ccdf.csv,773308,dfc9def16b82c8ce481d995ef00163aa7f910680f041d41794bb8770454b88f6,PASS,de9f03a1efb76f3abd2b7b6239f7748f40498d90
S6_figure_ready,edge_weight_quantiles.csv,243,09c665e1f1321bec6539cca4ed972904753a398a7cd091e89b0daced498f015c,PASS,de9f03a1efb76f3abd2b7b6239f7748f40498d90
S6_figure_ready,figure_ready_manifest_v2.json,14865,e9c192d140659b33c870a3b03e9583ec5c39ac0702ecc26f28c78e87648f4eea,PASS,de9f03a1efb76f3abd2b7b6239f7748f40498d90
S6_figure_ready,louvain_stability_plot.csv,2845,dce84c2c821083b914edf659ea06d71cce236fdac6f5c24a637a2986526d4760,PASS,de9f03a1efb76f3abd2b7b6239f7748f40498d90
S6_figure_ready,rq1_event_type_distribution_plot.csv,370,0e87543b71ad9387236cba4e058b3fe7dda36091f1368d7a05c9a875b6eab58c,PASS,de9f03a1efb76f3abd2b7b6239f7748f40498d90
S6_figure_ready,rq1_profile_quantiles.csv,1400,28731a25be8e8248dd26d9b6709baedb547ddb5afc754970cc09c4baf1ff4759,PASS,de9f03a1efb76f3abd2b7b6239f7748f40498d90
S6_figure_ready,rq1_project_age_cross_sectional_association_plot.csv,388,43afce23beb342597171090421a1b1d172c3090345141f22c656f24d8d5ba8a3,PASS,de9f03a1efb76f3abd2b7b6239f7748f40498d90
S6_figure_ready,rq1_referenced_entity_distribution_plot.csv,765,ed519afb64244114f31ba0c2de7579436b58de49fbed90764cf87ba54cc88657,PASS,de9f03a1efb76f3abd2b7b6239f7748f40498d90
S6_figure_ready,rq1_referencing_entity_distribution_plot.csv,342,1f837553e300ae038b15f5ca7a88449b0aa2c199c829a071a2cfd0cc93ffcfea,PASS,de9f03a1efb76f3abd2b7b6239f7748f40498d90
S6_figure_ready,rq2a_source_role_ecdf_ccdf.csv,122421,fbca12d57fda8c72c13c4dfd0a5bc4005b9a21f2345820d98384c9bd8102c1e0,PASS,de9f03a1efb76f3abd2b7b6239f7748f40498d90
S6_figure_ready,rq2a_source_role_metrics_plot.csv,21800,98fc301b4c9de5c84e0c13872ffaa21a5cc6851f7a3f26b019b0fb19e4ef37e2,PASS,de9f03a1efb76f3abd2b7b6239f7748f40498d90
