set_class,object_type,object_id_or_edge,membership_role
source,project,507775,FIXED
source,project,911980,FIXED
source,project,3786237,FIXED
source,project,5349565,FIXED
source,project,6838921,FIXED
source,project,7437073,FIXED
source,project,9342529,FIXED
source,project,11008207,FIXED
source,project,11225014,FIXED
source,project,11695619,FIXED
source,project,16563587,FIXED
source,project,17165658,FIXED
source,project,30449481,FIXED
source,project,31315021,FIXED
source,project,41349039,FIXED
source,project,41986369,FIXED
source,project,48833910,FIXED
source,project,50874442,FIXED
source,project,60246359,FIXED
source,project,60377070,FIXED
source,project,75425073,FIXED
source,project,77385607,FIXED
source,project,84240850,FIXED
source,project,95614931,FIXED
source,project,114619105,FIXED
source,project,130688011,FIXED
source,project,138754790,FIXED
source,project,148087762,FIXED
source,project,150954997,FIXED
source,project,166515022,FIXED
source,project,195619075,FIXED
source,project,208728772,FIXED
source,project,220186120,FIXED
source,project,268163609,FIXED
source,project,334274271,FIXED
source,project,344711168,FIXED
source,project,346976717,FIXED
source,project,351806852,FIXED
source,project,357707809,FIXED
source,project,358917318,FIXED
source,project,385634291,FIXED
source,project,388946490,FIXED
source,project,396867188,FIXED
source,project,422821402,FIXED
source,project,449924556,FIXED
source,project,453068084,FIXED
source,project,462329984,FIXED
source,project,496817075,FIXED
source,project,510375115,FIXED
source,project,546206616,FIXED
source,project,679889516,AFFECTED
target,project,507775,FIXED
target,project,927442,FIXED
target,project,1064563,FIXED
target,project,4524181,FIXED
target,project,6207167,FIXED
target,project,6934395,FIXED
target,project,13258039,FIXED
target,project,23357588,FIXED
target,project,27522271,FIXED
target,project,27576132,FIXED
target,project,27729907,FIXED
target,project,28366058,FIXED
target,project,31315121,FIXED
target,project,67836789,FIXED
target,project,71133469,FIXED
target,project,83502071,FIXED
target,project,105088940,FIXED
target,project,125238132,FIXED
target,project,141339868,FIXED
target,project,166282681,FIXED
target,project,168736310,FIXED
target,project,197814629,FIXED
target,project,205564111,FIXED
target,project,225690537,FIXED
target,project,276685482,FIXED
target,project,290227969,FIXED
target,project,298565987,FIXED
target,project,306769011,FIXED
target,project,323830219,FIXED
target,project,354080507,FIXED
target,project,354090893,FIXED
target,project,354094562,FIXED
target,project,354123935,FIXED
target,project,354125784,FIXED
target,project,354126484,FIXED
target,project,354129853,FIXED
target,project,354136133,FIXED
target,project,355015152,FIXED
target,project,355027797,FIXED
target,project,355030559,FIXED
target,project,355032495,FIXED
target,project,355033263,FIXED
target,project,355035157,FIXED
target,project,358917250,FIXED
target,project,383875967,FIXED
target,project,457577836,FIXED
target,project,490557661,FIXED
target,project,540262346,FIXED
target,project,602665730,FIXED
target,project,688586835,FIXED
target,project,33999965,AFFECTED
target,project,238372891,AFFECTED
target,project,240147659,AFFECTED
target,project,315520343,AFFECTED
target,project,322195640,AFFECTED
target,project,593957637,AFFECTED
target,project,600271677,AFFECTED
target,project,607441698,AFFECTED
target,project,623716378,AFFECTED
target,project,647017093,AFFECTED
target,project,654343821,AFFECTED
edge,directed_cross_project_edge,507775->105088940,FIXED
edge,directed_cross_project_edge,3786237->6207167,FIXED
edge,directed_cross_project_edge,3786237->6818061,FIXED
edge,directed_cross_project_edge,3786237->113678857,FIXED
edge,directed_cross_project_edge,3786237->197814629,FIXED
edge,directed_cross_project_edge,3786237->263991304,FIXED
edge,directed_cross_project_edge,3786237->287743349,FIXED
edge,directed_cross_project_edge,5349565->388946490,FIXED
edge,directed_cross_project_edge,9342529->507775,FIXED
edge,directed_cross_project_edge,11008207->27522271,FIXED
edge,directed_cross_project_edge,11008207->225690537,FIXED
edge,directed_cross_project_edge,11008207->276685482,FIXED
edge,directed_cross_project_edge,11225014->259445878,FIXED
edge,directed_cross_project_edge,11695619->2045207,FIXED
edge,directed_cross_project_edge,16563587->125238132,FIXED
edge,directed_cross_project_edge,16563587->133411492,FIXED
edge,directed_cross_project_edge,16563587->141339868,FIXED
edge,directed_cross_project_edge,16563587->571342238,FIXED
edge,directed_cross_project_edge,30449481->11061773,FIXED
edge,directed_cross_project_edge,30449481->75104123,FIXED
edge,directed_cross_project_edge,31315021->137814779,FIXED
edge,directed_cross_project_edge,41349039->3060959,FIXED
edge,directed_cross_project_edge,41349039->28366058,FIXED
