DBMS_urnform,github_repo_id,annotation_repo_created_at,activity_repo_created_at,seed_manifest_repo_created_at,project_profile_repo_created_at,all_values_equal,value_missing,source_artifact_paths,provenance_status
tidb,41986369,2015-09-06T04:01:52Z,2015-09-06T04:01:52Z,2015-09-06T04:01:52Z,NOT_AVAILABLE,TRUE,FALSE,data/github_osdb_data/dbfeatfusion_records_202410_automerged_manulabeled_with_repoid.csv;data/github_osdb_data/repo_activity_statistics/repo_i_pr_rec_cnt.csv;outputs/reference_quotient_p0_frozen/analysis_seed_manifest_294.csv;outputs/reference_quotient_p0_frozen/rq1_project_reference_profiles.csv,MULTI_ARTIFACT_CONSISTENT_SOURCE_ORIGIN_UNKNOWN
cockroachdb,16563587,2014-02-06T00:18:47Z,2014-02-06T00:18:47Z,2014-02-06T00:18:47Z,NOT_AVAILABLE,TRUE,FALSE,data/github_osdb_data/dbfeatfusion_records_202410_automerged_manulabeled_with_repoid.csv;data/github_osdb_data/repo_activity_statistics/repo_i_pr_rec_cnt.csv;outputs/reference_quotient_p0_frozen/analysis_seed_manifest_294.csv;outputs/reference_quotient_p0_frozen/rq1_project_reference_profiles.csv,MULTI_ARTIFACT_CONSISTENT_SOURCE_ORIGIN_UNKNOWN
doris,99919302,2017-08-10T12:13:30Z,2017-08-10T12:13:30Z,2017-08-10T12:13:30Z,NOT_AVAILABLE,TRUE,FALSE,data/github_osdb_data/dbfeatfusion_records_202410_automerged_manulabeled_with_repoid.csv;data/github_osdb_data/repo_activity_statistics/repo_i_pr_rec_cnt.csv;outputs/reference_quotient_p0_frozen/analysis_seed_manifest_294.csv;outputs/reference_quotient_p0_frozen/rq1_project_reference_profiles.csv,MULTI_ARTIFACT_CONSISTENT_SOURCE_ORIGIN_UNKNOWN
elasticsearch,507775,2010-02-08T13:20:56Z,2010-02-08T13:20:56Z,2010-02-08T13:20:56Z,NOT_AVAILABLE,TRUE,FALSE,data/github_osdb_data/dbfeatfusion_records_202410_automerged_manulabeled_with_repoid.csv;data/github_osdb_data/repo_activity_statistics/repo_i_pr_rec_cnt.csv;outputs/reference_quotient_p0_frozen/analysis_seed_manifest_294.csv;outputs/reference_quotient_p0_frozen/rq1_project_reference_profiles.csv,MULTI_ARTIFACT_CONSISTENT_SOURCE_ORIGIN_UNKNOWN
clickhouse,60246359,2016-06-02T08:28:18Z,2016-06-02T08:28:18Z,2016-06-02T08:28:18Z,NOT_AVAILABLE,TRUE,FALSE,data/github_osdb_data/dbfeatfusion_records_202410_automerged_manulabeled_with_repoid.csv;data/github_osdb_data/repo_activity_statistics/repo_i_pr_rec_cnt.csv;outputs/reference_quotient_p0_frozen/analysis_seed_manifest_294.csv;outputs/reference_quotient_p0_frozen/rq1_project_reference_profiles.csv,MULTI_ARTIFACT_CONSISTENT_SOURCE_ORIGIN_UNKNOWN
opensearch,334274271,2021-01-29T22:10:00Z,2021-01-29T22:10:00Z,2021-01-29T22:10:00Z,NOT_AVAILABLE,TRUE,FALSE,data/github_osdb_data/dbfeatfusion_records_202410_automerged_manulabeled_with_repoid.csv;data/github_osdb_data/repo_activity_statistics/repo_i_pr_rec_cnt.csv;outputs/reference_quotient_p0_frozen/analysis_seed_manifest_294.csv;outputs/reference_quotient_p0_frozen/rq1_project_reference_profiles.csv,MULTI_ARTIFACT_CONSISTENT_SOURCE_ORIGIN_UNKNOWN
spark-sql,17165658,2014-02-25T08:00:08Z,2014-02-25T08:00:08Z,2014-02-25T08:00:08Z,NOT_AVAILABLE,TRUE,FALSE,data/github_osdb_data/dbfeatfusion_records_202410_automerged_manulabeled_with_repoid.csv;data/github_osdb_data/repo_activity_statistics/repo_i_pr_rec_cnt.csv;outputs/reference_quotient_p0_frozen/analysis_seed_manifest_294.csv;outputs/reference_quotient_p0_frozen/rq1_project_reference_profiles.csv,MULTI_ARTIFACT_CONSISTENT_SOURCE_ORIGIN_UNKNOWN
milvus,208728772,2019-09-16T06:43:43Z,2019-09-16T06:43:43Z,2019-09-16T06:43:43Z,NOT_AVAILABLE,TRUE,FALSE,data/github_osdb_data/dbfeatfusion_records_202410_automerged_manulabeled_with_repoid.csv;data/github_osdb_data/repo_activity_statistics/repo_i_pr_rec_cnt.csv;outputs/reference_quotient_p0_frozen/analysis_seed_manifest_294.csv;outputs/reference_quotient_p0_frozen/rq1_project_reference_profiles.csv,MULTI_ARTIFACT_CONSISTENT_SOURCE_ORIGIN_UNKNOWN
velox,388946490,2021-07-23T23:00:23Z,2021-07-23T23:00:23Z,2021-07-23T23:00:23Z,NOT_AVAILABLE,TRUE,FALSE,data/github_osdb_data/dbfeatfusion_records_202410_automerged_manulabeled_with_repoid.csv;data/github_osdb_data/repo_activity_statistics/repo_i_pr_rec_cnt.csv;outputs/reference_quotient_p0_frozen/analysis_seed_manifest_294.csv;outputs/reference_quotient_p0_frozen/rq1_project_reference_profiles.csv,MULTI_ARTIFACT_CONSISTENT_SOURCE_ORIGIN_UNKNOWN
trino,166515022,2019-01-19T06:38:14Z,2019-01-19T06:38:14Z,2019-01-19T06:38:14Z,NOT_AVAILABLE,TRUE,FALSE,data/github_osdb_data/dbfeatfusion_records_202410_automerged_manulabeled_with_repoid.csv;data/github_osdb_data/repo_activity_statistics/repo_i_pr_rec_cnt.csv;outputs/reference_quotient_p0_frozen/analysis_seed_manifest_294.csv;outputs/reference_quotient_p0_frozen/rq1_project_reference_profiles.csv,MULTI_ARTIFACT_CONSISTENT_SOURCE_ORIGIN_UNKNOWN
