seed_order,seed_repo_id,seed_repo_name,filename,aggregate_rows_v1,aggregate_rows_v2,aggregate_core_no_drift,source_aggregate_drift_rows,target_aggregate_drift_rows,relation_type_drift_rows,reference_multiplicity_drift,aggregate_join_statuses,admitted_rows,rejected_rows,expected_source_context_repo_id
1,41986369,pingcap/tidb,pingcap_tidb_2023.csv,589136,589136,PASS,0,0,0,0,"{""MATCHED_UNIQUE"": 589136}",589136,0,41986369
2,16563587,cockroachdb/cockroach,cockroachdb_cockroach_2023.csv,606313,606313,PASS,0,0,0,0,"{""MATCHED_UNIQUE"": 606313}",606313,0,16563587
3,99919302,apache/doris,apache_doris_2023.csv,51969,51969,PASS,0,0,0,0,"{""MATCHED_UNIQUE"": 51969}",51969,0,99919302
4,507775,elastic/elasticsearch,elastic_elasticsearch_2023.csv,52821,52821,PASS,0,0,0,0,"{""MATCHED_UNIQUE"": 52821}",52821,0,507775
5,60246359,ClickHouse/ClickHouse,ClickHouse_ClickHouse_2023.csv,76637,76637,PASS,0,0,0,0,"{""MATCHED_UNIQUE"": 76637}",76637,0,60246359
6,334274271,opensearch-project/OpenSearch,opensearch-project_OpenSearch_2023.csv,172263,172263,PASS,0,0,0,0,"{""MATCHED_UNIQUE"": 172263}",172263,0,334274271
7,17165658,apache/spark,apache_spark_2023.csv,53996,53996,PASS,0,0,0,0,"{""MATCHED_UNIQUE"": 53996}",53996,0,17165658
8,208728772,milvus-io/milvus,milvus-io_milvus_2023.csv,101178,101178,PASS,0,0,0,0,"{""MATCHED_UNIQUE"": 101178}",101178,0,208728772
9,388946490,facebookincubator/velox,facebookincubator_velox_2023.csv,52642,52642,PASS,0,0,0,0,"{""MATCHED_UNIQUE"": 52642}",52642,0,388946490
10,166515022,trinodb/trino,trinodb_trino_2023.csv,16529,16529,PASS,0,0,0,0,"{""MATCHED_UNIQUE"": 16529}",16529,0,166515022
11,453068084,risingwavelabs/risingwave,risingwavelabs_risingwave_2023.csv,156566,156566,PASS,0,0,0,0,"{""MATCHED_UNIQUE"": 156566}",156566,0,453068084
12,114187903,apple/foundationdb,apple_foundationdb_2023.csv,102071,102071,PASS,0,0,0,0,"{""MATCHED_UNIQUE"": 102071}",102071,0,114187903
13,339993112,matrixorigin/matrixone,matrixorigin_matrixone_2023.csv,27160,27160,PASS,0,0,0,0,"{""MATCHED_UNIQUE"": 27160}",27160,0,339993112
14,358917318,apache/arrow-datafusion,apache_arrow-datafusion_2023.csv,26550,26550,PASS,0,0,0,0,"{""MATCHED_UNIQUE"": 26550}",26550,0,358917318
15,20587599,apache/flink,apache_flink_2023.csv,16919,16919,PASS,0,0,0,0,"{""MATCHED_UNIQUE"": 16919}",16919,0,20587599
