seed_order,seed_repo_id,seed_repo_name,filename,raw_rows,relation_rows_v1,relation_rows_v2,reference_rows_v1,reference_rows_v2,matched_unique,raw_repo_id_missing,unmatched,multi_match,repo_id_conflict,relation_core_no_drift,all_admitted_rows,all_out_of_seed_rows,all_missing_event_repo_rows,all_invalid_event_repo_rows,reference_admitted_rows,reference_admitted_events,reference_out_of_seed_rows,reference_out_of_seed_events,source_seed_mismatch_after_admission
1,41986369,pingcap/tidb,pingcap_tidb_2023.csv,167930,1087237,1087237,589136,589136,1087237,0,0,0,0,PASS,1087237,0,0,0,589136,97351,0,0,0
2,16563587,cockroachdb/cockroach,cockroachdb_cockroach_2023.csv,209797,1223887,1223887,606313,606313,1223887,0,0,0,0,PASS,1223887,0,0,0,606313,110010,0,0,0
3,99919302,apache/doris,apache_doris_2023.csv,166371,560917,560917,51969,51969,560917,0,0,0,0,PASS,560917,0,0,0,51969,29075,0,0,0
4,507775,elastic/elasticsearch,elastic_elasticsearch_2023.csv,103638,358158,358158,52821,52821,358158,0,0,0,0,PASS,358158,0,0,0,52821,29083,0,0,0
5,60246359,ClickHouse/ClickHouse,ClickHouse_ClickHouse_2023.csv,115128,416498,416498,76637,76637,416498,0,0,0,0,PASS,416498,0,0,0,76637,34696,0,0,0
6,334274271,opensearch-project/OpenSearch,opensearch-project_OpenSearch_2023.csv,84265,413337,413337,172263,172263,413337,0,0,0,0,PASS,413337,0,0,0,172263,41434,0,0,0
7,17165658,apache/spark,apache_spark_2023.csv,85730,288662,288662,53996,53996,288662,0,0,0,0,PASS,288662,0,0,0,53996,22456,0,0,0
8,208728772,milvus-io/milvus,milvus-io_milvus_2023.csv,84966,337916,337916,101178,101178,337916,0,0,0,0,PASS,337916,0,0,0,101178,40289,0,0,0
9,388946490,facebookincubator/velox,facebookincubator_velox_2023.csv,69027,242929,242929,52642,52642,242929,0,0,0,0,PASS,242929,0,0,0,52642,30227,0,0,0
10,166515022,trinodb/trino,trinodb_trino_2023.csv,61900,186478,186478,16529,16529,186478,0,0,0,0,PASS,186478,0,0,0,16529,11079,0,0,0
11,453068084,risingwavelabs/risingwave,risingwavelabs_risingwave_2023.csv,91169,427290,427290,156566,156566,427290,0,0,0,0,PASS,427290,0,0,0,156566,27333,0,0,0
12,114187903,apple/foundationdb,apple_foundationdb_2023.csv,51124,251952,251952,102071,102071,251952,0,0,0,0,PASS,251952,0,0,0,102071,34689,0,0,0
13,339993112,matrixorigin/matrixone,matrixorigin_matrixone_2023.csv,40335,150477,150477,27160,27160,150477,0,0,0,0,PASS,150477,0,0,0,27160,12853,0,0,0
14,358917318,apache/arrow-datafusion,apache_arrow-datafusion_2023.csv,37650,132428,132428,26550,26550,132428,0,0,0,0,PASS,132428,0,0,0,26550,14163,0,0,0
15,20587599,apache/flink,apache_flink_2023.csv,36154,117922,117922,16919,16919,117922,0,0,0,0,PASS,117922,0,0,0,16919,11258,0,0,0
16,3786237,hazelcast/hazelcast,hazelcast_hazelcast_2023.csv,33429,138745,138745,41467,41467,138745,0,0,0,0,PASS,138745,0,0,0,41467,11405,0,0,0
17,302827809,datafuselabs/databend,datafuselabs_databend_2023.csv,38880,160172,160172,46388,46388,160172,0,0,0,0,PASS,160172,0,0,0,46388,15839,0,0,0
18,351806852,neondatabase/neon,neondatabase_neon_2023.csv,47164,197178,197178,67265,67265,197178,0,0,0,0,PASS,197178,0,0,0,67265,10829,0,0,0
19,49876476,apache/shardingsphere,apache_shardingsphere_2023.csv,31145,117627,117627,18318,18318,117627,0,0,0,0,PASS,117627,0,0,0,18318,10974,0,0,0
20,44781140,greenplum-db/gpdb,greenplum-db_gpdb_2023.csv,29621,92562,92562,8454,8454,92562,0,0,0,0,PASS,92562,0,0,0,8454,4965,0,0,0
21,48833910,tikv/tikv,tikv_tikv_2023.csv,28054,107183,107183,28059,28059,107183,0,0,0,0,PASS,107183,0,0,0,28059,10372,0,0,0
22,5349565,prestodb/presto,prestodb_presto_2023.csv,29775,101510,101510,16517,16517,101510,0,0,0,0,PASS,101510,0,0,0,16517,7124,0,0,0
23,385634291,grafana/mimir,grafana_mimir_2023.csv,38872,187853,187853,70392,70392,187853,0,0,0,0,PASS,187853,0,0,0,70392,11018,0,0,0
24,6358188,apache/druid,apache_druid_2023.csv,26757,87484,87484,13605,13605,87484,0,0,0,0,PASS,87484,0,0,0,13605,6356,0,0,0
25,11008207,vitessio/vitess,vitessio_vitess_2023.csv,30533,192090,192090,104513,104513,192090,0,0,0,0,PASS,192090,0,0,0,104513,8500,0,0,0
26,19961085,apache/pinot,apache_pinot_2023.csv,25613,98955,98955,26744,26744,98955,0,0,0,0,PASS,98955,0,0,0,26744,6148,0,0,0
27,138754790,duckdb/duckdb,duckdb_duckdb_2023.csv,29133,86136,86136,10952,10952,86136,0,0,0,0,PASS,86136,0,0,0,10952,5939,0,0,0
28,480217156,GreptimeTeam/greptimedb,GreptimeTeam_greptimedb_2023.csv,27955,101995,101995,22146,22146,101995,0,0,0,0,PASS,101995,0,0,0,22146,6898,0,0,0
29,105944401,yugabyte/yugabyte-db,yugabyte_yugabyte-db_2023.csv,30644,112359,112359,26542,26542,112359,0,0,0,0,PASS,112359,0,0,0,26542,13197,0,0,0
30,2944302,wiredtiger/wiredtiger,wiredtiger_wiredtiger_2023.csv,28441,100190,100190,15332,15332,100190,0,0,0,0,PASS,100190,0,0,0,15332,4746,0,0,0
31,422821402,FerretDB/FerretDB,FerretDB_FerretDB_2023.csv,24425,89814,89814,26053,26053,89814,0,0,0,0,PASS,89814,0,0,0,26053,6158,0,0,0
32,206444,apache/hive,apache_hive_2023.csv,19650,142857,142857,87809,87809,142857,0,0,0,0,PASS,142857,0,0,0,87809,6605,0,0,0
33,911980,tarantool/tarantool,tarantool_tarantool_2023.csv,20794,69349,69349,10157,10157,69349,0,0,0,0,PASS,69349,0,0,0,10157,4546,0,0,0
34,11225014,etcd-io/etcd,etcd-io_etcd_2023.csv,23602,80229,80229,18461,18461,80229,0,0,0,0,PASS,80229,0,0,0,18461,7063,0,0,0
35,2649214,arangodb/arangodb,arangodb_arangodb_2023.csv,33981,153012,153012,43002,43002,153012,0,0,0,0,PASS,153012,0,0,0,43002,7516,0,0,0
36,114619105,apache/kyuubi,apache_kyuubi_2023.csv,18857,76333,76333,23989,23989,76333,0,0,0,0,PASS,76333,0,0,0,23989,6082,0,0,0
37,60377070,vespa-engine/vespa,vespa-engine_vespa_2023.csv,31399,125720,125720,26340,26340,125720,0,0,0,0,PASS,125720,0,0,0,26340,7321,0,0,0
38,542714,ravendb/ravendb,ravendb_ravendb_2023.csv,18210,59567,59567,3653,3653,59567,0,0,0,0,PASS,59567,0,0,0,3653,2717,0,0,0
39,158975124,apache/iotdb,apache_iotdb_2023.csv,23668,141155,141155,65256,65256,141155,0,0,0,0,PASS,141155,0,0,0,65256,6097,0,0,0
40,206424,apache/cassandra,apache_cassandra_2023.csv,16792,48051,48051,3779,3779,48051,0,0,0,0,PASS,48051,0,0,0,3779,1755,0,0,0
41,156018,redis/redis,redis_redis_2023.csv,21800,58241,58241,6922,6922,58241,0,0,0,0,PASS,58241,0,0,0,6922,3734,0,0,0
42,196353673,taosdata/TDengine,taosdata_TDengine_2023.csv,36206,156809,156809,40031,40031,156809,0,0,0,0,PASS,156809,0,0,0,40031,5963,0,0,0
43,84240850,timescale/timescaledb,timescale_timescaledb_2023.csv,16190,59300,59300,14662,14662,59300,0,0,0,0,PASS,59300,0,0,0,14662,3716,0,0,0
44,9342529,crate/crate,crate_crate_2023.csv,21717,77408,77408,9375,9375,77408,0,0,0,0,PASS,77408,0,0,0,9375,4409,0,0,0
45,150954997,VictoriaMetrics/VictoriaMetrics,VictoriaMetrics_VictoriaMetrics_2023.csv,20980,90379,90379,31402,31402,90379,0,0,0,0,PASS,90379,0,0,0,31402,8211,0,0,0
46,268163609,qdrant/qdrant,qdrant_qdrant_2023.csv,29704,86733,86733,18934,18934,86733,0,0,0,0,PASS,86733,0,0,0,18934,4256,0,0,0
47,6934395,facebook/rocksdb,facebook_rocksdb_2023.csv,15360,50389,50389,11174,11174,50389,0,0,0,0,PASS,50389,0,0,0,11174,5431,0,0,0
48,20089857,apache/hbase,apache_hbase_2023.csv,12828,81017,81017,41966,41966,81017,0,0,0,0,PASS,81017,0,0,0,41966,7151,0,0,0
