seed_order,seed_repo_id,seed_repo_name,filename,relation_rows,reference_rows,reference_admitted_rows,reference_admitted_events,reference_out_of_seed_rows,reference_out_of_seed_events,all_admitted_rows,all_out_of_seed_rows,all_missing_event_repo_rows,all_invalid_event_repo_rows,source_seed_mismatch_after_admission,affected_source_seed
1,41986369,pingcap/tidb,pingcap_tidb_2023.csv,1087237,589136,589136,97351,0,0,1087237,0,0,0,0,NO
2,16563587,cockroachdb/cockroach,cockroachdb_cockroach_2023.csv,1223887,606313,606313,110010,0,0,1223887,0,0,0,0,NO
3,99919302,apache/doris,apache_doris_2023.csv,560917,51969,51969,29075,0,0,560917,0,0,0,0,NO
4,507775,elastic/elasticsearch,elastic_elasticsearch_2023.csv,358158,52821,52821,29083,0,0,358158,0,0,0,0,NO
5,60246359,ClickHouse/ClickHouse,ClickHouse_ClickHouse_2023.csv,416498,76637,76637,34696,0,0,416498,0,0,0,0,NO
6,334274271,opensearch-project/OpenSearch,opensearch-project_OpenSearch_2023.csv,413337,172263,172263,41434,0,0,413337,0,0,0,0,NO
7,17165658,apache/spark,apache_spark_2023.csv,288662,53996,53996,22456,0,0,288662,0,0,0,0,NO
8,208728772,milvus-io/milvus,milvus-io_milvus_2023.csv,337916,101178,101178,40289,0,0,337916,0,0,0,0,NO
9,388946490,facebookincubator/velox,facebookincubator_velox_2023.csv,242929,52642,52642,30227,0,0,242929,0,0,0,0,NO
10,166515022,trinodb/trino,trinodb_trino_2023.csv,186478,16529,16529,11079,0,0,186478,0,0,0,0,NO
11,453068084,risingwavelabs/risingwave,risingwavelabs_risingwave_2023.csv,427290,156566,156566,27333,0,0,427290,0,0,0,0,NO
12,114187903,apple/foundationdb,apple_foundationdb_2023.csv,251952,102071,102071,34689,0,0,251952,0,0,0,0,NO
13,339993112,matrixorigin/matrixone,matrixorigin_matrixone_2023.csv,150477,27160,27160,12853,0,0,150477,0,0,0,0,NO
14,358917318,apache/arrow-datafusion,apache_arrow-datafusion_2023.csv,132428,26550,26550,14163,0,0,132428,0,0,0,0,NO
15,20587599,apache/flink,apache_flink_2023.csv,117922,16919,16919,11258,0,0,117922,0,0,0,0,NO
16,3786237,hazelcast/hazelcast,hazelcast_hazelcast_2023.csv,138745,41467,41467,11405,0,0,138745,0,0,0,0,NO
17,302827809,datafuselabs/databend,datafuselabs_databend_2023.csv,160172,46388,46388,15839,0,0,160172,0,0,0,0,NO
18,351806852,neondatabase/neon,neondatabase_neon_2023.csv,197178,67265,67265,10829,0,0,197178,0,0,0,0,NO
19,49876476,apache/shardingsphere,apache_shardingsphere_2023.csv,117627,18318,18318,10974,0,0,117627,0,0,0,0,NO
20,44781140,greenplum-db/gpdb,greenplum-db_gpdb_2023.csv,92562,8454,8454,4965,0,0,92562,0,0,0,0,NO
21,48833910,tikv/tikv,tikv_tikv_2023.csv,107183,28059,28059,10372,0,0,107183,0,0,0,0,NO
22,5349565,prestodb/presto,prestodb_presto_2023.csv,101510,16517,16517,7124,0,0,101510,0,0,0,0,NO
23,385634291,grafana/mimir,grafana_mimir_2023.csv,187853,70392,70392,11018,0,0,187853,0,0,0,0,NO
24,6358188,apache/druid,apache_druid_2023.csv,87484,13605,13605,6356,0,0,87484,0,0,0,0,NO
25,11008207,vitessio/vitess,vitessio_vitess_2023.csv,192090,104513,104513,8500,0,0,192090,0,0,0,0,NO
26,19961085,apache/pinot,apache_pinot_2023.csv,98955,26744,26744,6148,0,0,98955,0,0,0,0,NO
27,138754790,duckdb/duckdb,duckdb_duckdb_2023.csv,86136,10952,10952,5939,0,0,86136,0,0,0,0,NO
28,480217156,GreptimeTeam/greptimedb,GreptimeTeam_greptimedb_2023.csv,101995,22146,22146,6898,0,0,101995,0,0,0,0,NO
29,105944401,yugabyte/yugabyte-db,yugabyte_yugabyte-db_2023.csv,112359,26542,26542,13197,0,0,112359,0,0,0,0,NO
30,2944302,wiredtiger/wiredtiger,wiredtiger_wiredtiger_2023.csv,100190,15332,15332,4746,0,0,100190,0,0,0,0,NO
31,422821402,FerretDB/FerretDB,FerretDB_FerretDB_2023.csv,89814,26053,26053,6158,0,0,89814,0,0,0,0,NO
