seed_order,repo_id,repo_name,repo_name_used,activity_count,repo_created_at,category_label,evidence_filename,evidence_path,seed_boundary_reason
1,41986369,pingcap/tidb,pingcap/tidb,156795,2015-09-06T04:01:52Z,"Key-value,Relational",pingcap_tidb_2023.csv,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/pingcap_tidb_2023.csv,activity_threshold_and_frozen_evidence_available
2,16563587,cockroachdb/cockroach,cockroachdb/cockroach,151646,2014-02-06T00:18:47Z,Relational,cockroachdb_cockroach_2023.csv,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/cockroachdb_cockroach_2023.csv,activity_threshold_and_frozen_evidence_available
3,99919302,apache/doris,apache/doris,147649,2017-08-10T12:13:30Z,Relational,apache_doris_2023.csv,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/apache_doris_2023.csv,activity_threshold_and_frozen_evidence_available
4,507775,elastic/elasticsearch,elastic/elasticsearch,85261,2010-02-08T13:20:56Z,"Document,Search Engine",elastic_elasticsearch_2023.csv,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/elastic_elasticsearch_2023.csv,activity_threshold_and_frozen_evidence_available
5,60246359,ClickHouse/ClickHouse,ClickHouse/ClickHouse,78015,2016-06-02T08:28:18Z,Relational,ClickHouse_ClickHouse_2023.csv,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/ClickHouse_ClickHouse_2023.csv,activity_threshold_and_frozen_evidence_available
6,334274271,opensearch-project/OpenSearch,opensearch-project/OpenSearch,74384,2021-01-29T22:10:00Z,Search Engine,opensearch-project_OpenSearch_2023.csv,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/opensearch-project_OpenSearch_2023.csv,activity_threshold_and_frozen_evidence_available
7,17165658,apache/spark,apache/spark,73225,2014-02-25T08:00:08Z,Relational,apache_spark_2023.csv,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/apache_spark_2023.csv,activity_threshold_and_frozen_evidence_available
8,208728772,milvus-io/milvus,milvus-io/milvus,69104,2019-09-16T06:43:43Z,Vector,milvus-io_milvus_2023.csv,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/milvus-io_milvus_2023.csv,activity_threshold_and_frozen_evidence_available
9,388946490,facebookincubator/velox,facebookincubator/velox,61397,2021-07-23T23:00:23Z,Relational,facebookincubator_velox_2023.csv,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/facebookincubator_velox_2023.csv,activity_threshold_and_frozen_evidence_available
10,166515022,trinodb/trino,trinodb/trino,52307,2019-01-19T06:38:14Z,Relational,trinodb_trino_2023.csv,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/trinodb_trino_2023.csv,activity_threshold_and_frozen_evidence_available
11,453068084,risingwavelabs/risingwave,risingwavelabs/risingwave,49277,2022-01-28T12:58:03Z,Relational,risingwavelabs_risingwave_2023.csv,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/risingwavelabs_risingwave_2023.csv,activity_threshold_and_frozen_evidence_available
12,114187903,apple/foundationdb,apple/foundationdb,45114,2017-12-14T01:40:42Z,"Key-value,Document",apple_foundationdb_2023.csv,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/apple_foundationdb_2023.csv,activity_threshold_and_frozen_evidence_available
13,339993112,matrixorigin/matrixone,matrixorigin/matrixone,35681,2021-02-18T09:07:17Z,Relational,matrixorigin_matrixone_2023.csv,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/matrixorigin_matrixone_2023.csv,activity_threshold_and_frozen_evidence_available
14,358917318,apache/arrow-datafusion,apache/arrow-datafusion,31591,2021-04-17T15:40:23Z,Relational,apache_arrow-datafusion_2023.csv,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/apache_arrow-datafusion_2023.csv,activity_threshold_and_frozen_evidence_available
15,20587599,apache/flink,apache/flink,28643,2014-06-07T07:00:10Z,Relational,apache_flink_2023.csv,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/apache_flink_2023.csv,activity_threshold_and_frozen_evidence_available
16,3786237,hazelcast/hazelcast,hazelcast/hazelcast,28226,2012-03-21T12:25:18Z,Key-value,hazelcast_hazelcast_2023.csv,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/hazelcast_hazelcast_2023.csv,activity_threshold_and_frozen_evidence_available
17,302827809,datafuselabs/databend,datafuselabs/databend,28205,2020-10-10T06:04:42Z,Relational,datafuselabs_databend_2023.csv,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/datafuselabs_databend_2023.csv,activity_threshold_and_frozen_evidence_available
18,351806852,neondatabase/neon,neondatabase/neon,28189,2021-03-26T14:20:47Z,"Object Oriented,Relational",neondatabase_neon_2023.csv,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/neondatabase_neon_2023.csv,activity_threshold_and_frozen_evidence_available
19,49876476,apache/shardingsphere,apache/shardingsphere,24726,2016-01-18T12:49:26Z,Relational,apache_shardingsphere_2023.csv,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/apache_shardingsphere_2023.csv,activity_threshold_and_frozen_evidence_available
20,44781140,greenplum-db/gpdb,greenplum-db/gpdb,24704,,Relational,greenplum-db_gpdb_2023.csv,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/greenplum-db_gpdb_2023.csv,activity_threshold_and_frozen_evidence_available
21,48833910,tikv/tikv,tikv/tikv,24475,2015-12-31T04:51:32Z,Key-value,tikv_tikv_2023.csv,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/tikv_tikv_2023.csv,activity_threshold_and_frozen_evidence_available
22,5349565,prestodb/presto,prestodb/presto,24094,2012-08-09T01:03:37Z,"Wide column,Relational,Key-value,Document",prestodb_presto_2023.csv,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/prestodb_presto_2023.csv,activity_threshold_and_frozen_evidence_available
23,385634291,grafana/mimir,grafana/mimir,23492,2021-07-13T14:34:08Z,Relational,grafana_mimir_2023.csv,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/grafana_mimir_2023.csv,activity_threshold_and_frozen_evidence_available
24,6358188,apache/druid,apache/druid,22993,2012-10-23T19:08:07Z,"Wide column,Relational",apache_druid_2023.csv,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/apache_druid_2023.csv,activity_threshold_and_frozen_evidence_available
25,11008207,vitessio/vitess,vitessio/vitess,22224,2013-06-27T21:20:28Z,Relational,vitessio_vitess_2023.csv,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/vitessio_vitess_2023.csv,activity_threshold_and_frozen_evidence_available
26,19961085,apache/pinot,apache/pinot,22019,2014-05-19T23:27:48Z,Relational,apache_pinot_2023.csv,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/apache_pinot_2023.csv,activity_threshold_and_frozen_evidence_available
27,138754790,duckdb/duckdb,duckdb/duckdb,20663,2018-06-26T15:04:45Z,Relational,duckdb_duckdb_2023.csv,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/duckdb_duckdb_2023.csv,activity_threshold_and_frozen_evidence_available
28,480217156,GreptimeTeam/greptimedb,GreptimeTeam/greptimedb,19961,2022-04-11T03:46:48Z,Time Series,GreptimeTeam_greptimedb_2023.csv,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/GreptimeTeam_greptimedb_2023.csv,activity_threshold_and_frozen_evidence_available
29,105944401,yugabyte/yugabyte-db,yugabyte/yugabyte-db,18841,2017-10-05T21:56:00Z,"Relational,Key-value",yugabyte_yugabyte-db_2023.csv,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/yugabyte_yugabyte-db_2023.csv,activity_threshold_and_frozen_evidence_available
30,2944302,wiredtiger/wiredtiger,wiredtiger/wiredtiger,18588,2011-12-09T00:43:19Z,Key-value,wiredtiger_wiredtiger_2023.csv,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/wiredtiger_wiredtiger_2023.csv,activity_threshold_and_frozen_evidence_available
31,422821402,FerretDB/FerretDB,FerretDB/FerretDB,17804,2021-10-30T08:06:36Z,Document,FerretDB_FerretDB_2023.csv,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/FerretDB_FerretDB_2023.csv,activity_threshold_and_frozen_evidence_available
32,206444,apache/hive,apache/hive,17402,2009-05-21T02:31:01Z,Relational,apache_hive_2023.csv,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/apache_hive_2023.csv,activity_threshold_and_frozen_evidence_available
33,911980,tarantool/tarantool,tarantool/tarantool,16770,2010-09-15T07:59:26Z,"Key-value,Document",tarantool_tarantool_2023.csv,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/tarantool_tarantool_2023.csv,activity_threshold_and_frozen_evidence_available
34,11225014,etcd-io/etcd,etcd-io/etcd,16581,2013-07-06T21:57:21Z,Key-value,etcd-io_etcd_2023.csv,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/etcd-io_etcd_2023.csv,activity_threshold_and_frozen_evidence_available
35,2649214,arangodb/arangodb,arangodb/arangodb,16470,2011-10-26T06:42:00Z,"Key-value,Document,Graph",arangodb_arangodb_2023.csv,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/arangodb_arangodb_2023.csv,activity_threshold_and_frozen_evidence_available
36,114619105,apache/kyuubi,apache/kyuubi,16360,2017-12-18T09:05:10Z,Relational,apache_kyuubi_2023.csv,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/apache_kyuubi_2023.csv,activity_threshold_and_frozen_evidence_available
37,60377070,vespa-engine/vespa,vespa-engine/vespa,16041,2016-06-03T20:54:20Z,"Document,Search Engine",vespa-engine_vespa_2023.csv,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/vespa-engine_vespa_2023.csv,activity_threshold_and_frozen_evidence_available
38,542714,ravendb/ravendb,ravendb/ravendb,15125,2010-03-02T11:05:30Z,"Key-value,Document",ravendb_ravendb_2023.csv,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/ravendb_ravendb_2023.csv,activity_threshold_and_frozen_evidence_available
39,158975124,apache/iotdb,apache/iotdb,14712,2018-11-24T21:29:17Z,"Hierarchical,Time Series",apache_iotdb_2023.csv,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/apache_iotdb_2023.csv,activity_threshold_and_frozen_evidence_available
40,206424,apache/cassandra,apache/cassandra,14020,2009-05-21T02:10:09Z,"Wide column,Key-value",apache_cassandra_2023.csv,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/apache_cassandra_2023.csv,activity_threshold_and_frozen_evidence_available
41,156018,redis/redis,redis/redis,13796,2009-03-21T22:32:25Z,Key-value,redis_redis_2023.csv,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/redis_redis_2023.csv,activity_threshold_and_frozen_evidence_available
42,196353673,taosdata/TDengine,taosdata/TDengine,13449,2019-07-11T08:33:48Z,"Relational,Time Series",taosdata_TDengine_2023.csv,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/taosdata_TDengine_2023.csv,activity_threshold_and_frozen_evidence_available
43,84240850,timescale/timescaledb,timescale/timescaledb,12176,2017-03-07T20:03:41Z,Time Series,timescale_timescaledb_2023.csv,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/timescale_timescaledb_2023.csv,activity_threshold_and_frozen_evidence_available
