repo_id,repo_name,repo_name_used,i_pr_rec_cnt,repo_created_at,category_label,activity_count,evidence_filename,evidence_available,evidence_path,seed_boundary_reason
41986369,pingcap/tidb,pingcap/tidb,156795,2015-09-06T04:01:52Z,"Key-value,Relational",156795,pingcap_tidb_2023.csv,True,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/pingcap_tidb_2023.csv,activity_threshold_and_frozen_evidence_available
16563587,cockroachdb/cockroach,cockroachdb/cockroach,151646,2014-02-06T00:18:47Z,Relational,151646,cockroachdb_cockroach_2023.csv,True,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/cockroachdb_cockroach_2023.csv,activity_threshold_and_frozen_evidence_available
99919302,apache/doris,apache/doris,147649,2017-08-10T12:13:30Z,Relational,147649,apache_doris_2023.csv,True,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/apache_doris_2023.csv,activity_threshold_and_frozen_evidence_available
507775,elastic/elasticsearch,elastic/elasticsearch,85261,2010-02-08T13:20:56Z,"Document,Search Engine",85261,elastic_elasticsearch_2023.csv,True,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/elastic_elasticsearch_2023.csv,activity_threshold_and_frozen_evidence_available
60246359,ClickHouse/ClickHouse,ClickHouse/ClickHouse,78015,2016-06-02T08:28:18Z,Relational,78015,ClickHouse_ClickHouse_2023.csv,True,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/ClickHouse_ClickHouse_2023.csv,activity_threshold_and_frozen_evidence_available
334274271,opensearch-project/OpenSearch,opensearch-project/OpenSearch,74384,2021-01-29T22:10:00Z,Search Engine,74384,opensearch-project_OpenSearch_2023.csv,True,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/opensearch-project_OpenSearch_2023.csv,activity_threshold_and_frozen_evidence_available
17165658,apache/spark,apache/spark,73225,2014-02-25T08:00:08Z,Relational,73225,apache_spark_2023.csv,True,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/apache_spark_2023.csv,activity_threshold_and_frozen_evidence_available
208728772,milvus-io/milvus,milvus-io/milvus,69104,2019-09-16T06:43:43Z,Vector,69104,milvus-io_milvus_2023.csv,True,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/milvus-io_milvus_2023.csv,activity_threshold_and_frozen_evidence_available
388946490,facebookincubator/velox,facebookincubator/velox,61397,2021-07-23T23:00:23Z,Relational,61397,facebookincubator_velox_2023.csv,True,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/facebookincubator_velox_2023.csv,activity_threshold_and_frozen_evidence_available
166515022,trinodb/trino,trinodb/trino,52307,2019-01-19T06:38:14Z,Relational,52307,trinodb_trino_2023.csv,True,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/trinodb_trino_2023.csv,activity_threshold_and_frozen_evidence_available
453068084,risingwavelabs/risingwave,risingwavelabs/risingwave,49277,2022-01-28T12:58:03Z,Relational,49277,risingwavelabs_risingwave_2023.csv,True,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/risingwavelabs_risingwave_2023.csv,activity_threshold_and_frozen_evidence_available
114187903,apple/foundationdb,apple/foundationdb,45114,2017-12-14T01:40:42Z,"Key-value,Document",45114,apple_foundationdb_2023.csv,True,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/apple_foundationdb_2023.csv,activity_threshold_and_frozen_evidence_available
