project_id,repo_name,category_label,total_reference_records,self_reference_records,external_project_reference_records,non_project_reference_records,unresolved_target_reference_records,self_reference_ratio,external_reference_share,non_project_reference_share,active_issue_pr_count,comment_related_unique_source_count,comment_body_ref_count,comment_per_issue,comment_reference_density,project_age_years_at_2023_end
41986369,pingcap/tidb,"Key-value,Relational",589136,138919,1164,379406,69647,0.2358012411395671,0.7641987588604329,0.6440041009206703,8743,92603,574356,10.591673338670937,6.202347656123452,8.314852840520192
16563587,cockroachdb/cockroach,Relational,606313,384465,4236,191789,25823,0.6341031777316337,0.36589682226836634,0.31632011848665625,22349,84220,368283,3.768401270750369,4.372868677273806,9.894592744695414
99919302,apache/doris,Relational,51969,20450,180,30127,1212,0.39350381958475245,0.6064961804152476,0.5797109815466913,12257,19470,35661,1.5884800522150608,1.8315870570107857,6.3874058863791925
507775,elastic/elasticsearch,"Document,Search Engine",52821,32474,1347,9563,9437,0.6147933587020313,0.3852066412979686,0.18104541754226539,9509,21470,33851,2.257860973814281,1.5766651141127155,13.88911704312115
60246359,ClickHouse/ClickHouse,Relational,76637,52511,916,15884,7326,0.6851912261701267,0.3148087738298733,0.20726281039184727,11877,24343,49296,2.049591647722489,2.0250585383888593,7.575633127994524
334274271,opensearch-project/OpenSearch,Search Engine,172263,61955,43574,49867,16867,0.35965355299745155,0.6403464470025484,0.28948178076545744,5936,37269,143305,6.278470350404312,3.845152807963723,2.915811088295688
17165658,apache/spark,Relational,53996,13871,1850,15677,22598,0.2568893992147567,0.7431106007852434,0.29033632120897845,4861,16867,31102,3.469862168278132,1.843955653050335,9.842573579739904
208728772,milvus-io/milvus,Vector,101178,28485,434,50096,22163,0.2815335349581925,0.7184664650418076,0.4951273992369883,7112,36732,91030,5.164791901012373,2.4782206250680607,4.287474332648871
388946490,facebookincubator/velox,Relational,52642,13649,4445,18185,16363,0.2592796626267999,0.7407203373732001,0.3454466015728886,4426,26389,35499,5.962268413917759,1.3452195990753724,2.43668720054757
166515022,trinodb/trino,Relational,16529,6986,1451,1991,6101,0.4226510980700587,0.5773489019299413,0.1204549579526892,3723,10634,15866,2.8562986838571045,1.492006770735377,4.944558521560575
453068084,risingwavelabs/risingwave,Relational,156566,75609,2032,55360,23565,0.48292094068954944,0.5170790593104505,0.3535889018049896,6420,14400,59448,2.2429906542056073,4.128333333333333,1.919233401779603
114187903,apple/foundationdb,"Key-value,Document",102071,36220,132,65378,341,0.35485103506382815,0.6451489649361719,0.6405149356820252,2073,33070,99485,15.952725518572118,3.0083156939824613,6.0424366872005475
339993112,matrixorigin/matrixone,Relational,27160,14027,194,3284,9655,0.516458026509573,0.4835419734904271,0.12091310751104566,4845,9479,15838,1.9564499484004128,1.6708513556282307,2.861054072553046
358917318,apache/arrow-datafusion,Relational,26550,12022,1362,3588,9578,0.4528060263653484,0.5471939736346516,0.1351412429378531,3508,11328,21826,3.2291904218928162,1.9267302259887005,2.702258726899384
20587599,apache/flink,Relational,16919,4840,298,3024,8757,0.2860689166026361,0.7139310833973639,0.17873396772858915,2577,9561,15551,3.710128055878929,1.6265035038175923,9.56331279945243
3786237,hazelcast/hazelcast,Key-value,41467,10776,5000,23624,2067,0.2598692936551957,0.7401307063448043,0.5697060313019991,2691,9288,25790,3.451505016722408,2.7767011197243754,11.775496235455167
302827809,datafuselabs/databend,Relational,46388,12652,410,24609,8717,0.2727429507631284,0.7272570492368716,0.5305035785116841,4201,9527,17759,2.2677933825279695,1.8640705363703158,3.2197125256673513
351806852,neondatabase/neon,"Object Oriented,Relational",67265,33235,1802,29632,2596,0.4940905374265963,0.5059094625734037,0.44052627666691446,2603,6180,26469,2.374183634268152,4.283009708737864,2.7624914442162902
49876476,apache/shardingsphere,Relational,18318,8577,240,6997,2504,0.4682279724860793,0.5317720275139207,0.3819740146304182,4394,7163,13811,1.6301775147928994,1.928102750244311,7.94798083504449
44781140,greenplum-db/gpdb,Relational,8454,3668,181,2714,1891,0.4338774544594275,0.5661225455405725,0.3210314643955524,1674,3505,5343,2.0937873357228196,1.5243937232524964,
48833910,tikv/tikv,Key-value,28059,11634,454,11704,4267,0.4146263231048861,0.5853736768951139,0.41712106632453044,2151,9400,23555,4.370060437006043,2.505851063829787,7.997262149212868
5349565,prestodb/presto,"Wide column,Relational,Key-value,Document",16517,7306,750,3149,5312,0.4423321426409154,0.5576678573590845,0.19065205545801295,2182,6476,15717,2.9679193400549955,2.4269610870907967,11.38945927446954
385634291,grafana/mimir,Relational,70392,23294,3707,17403,25988,0.3309182861688828,0.6690817138311171,0.24722979884077737,2243,4527,11326,2.0182790905037895,2.501877623149989,2.4640657084188913
6358188,apache/druid,"Wide column,Relational",13605,8832,389,2058,2326,0.6491730981256891,0.3508269018743109,0.15126791620727673,2513,4949,9780,1.9693593314763231,1.9761567993534048,11.184120465434633
11008207,vitessio/vitess,Relational,104513,23273,2379,60422,18439,0.22268043209935606,0.7773195679006439,0.5781290365791816,2393,4801,8484,2.0062682824905975,1.767131847531764,10.507871321013004
19961085,apache/pinot,Relational,26744,5267,302,18142,3033,0.1969413700269219,0.8030586299730781,0.6783577624887825,2018,4851,22705,2.4038652130822595,4.680478251906823,9.61533196440794
138754790,duckdb/duckdb,Relational,10952,6207,543,1256,2946,0.5667457998539079,0.43325420014609206,0.11468224981738495,2336,4332,6121,1.8544520547945205,1.4129732225300093,5.51129363449692
480217156,GreptimeTeam/greptimedb,Time Series,22146,7852,357,7880,6057,0.35455612751738463,0.6454438724826154,0.35582046419217916,2103,5216,9282,2.480266286257727,1.7795245398773005,1.7193702943189597
105944401,yugabyte/yugabyte-db,"Relational,Key-value",26542,10003,261,13970,2308,0.37687438776279103,0.623125612237209,0.5263356190189135,3673,5787,9249,1.5755513204465015,1.5982374287195438,6.234086242299795
2944302,wiredtiger/wiredtiger,Key-value,15332,12891,19,1096,1326,0.8407905035220454,0.1592094964779546,0.07148447691103574,808,2560,3758,3.1683168316831685,1.46796875,12.057494866529774
422821402,FerretDB/FerretDB,Document,26053,5543,982,16009,3519,0.212758607454036,0.787241392545964,0.6144781790964572,1943,4891,20422,2.5172413793103448,4.1754242486199145,2.1656399726214923
206444,apache/hive,Relational,87809,1365,136,84348,1960,0.015545103577082076,0.984454896422918,0.9605849058752519,1139,6013,86980,5.279192273924495,14.465325128887411,14.609171800136892
911980,tarantool/tarantool,"Key-value,Document",10157,5549,659,3102,847,0.5463227330904795,0.45367726690952054,0.30540513931278923,1357,3113,5297,2.294030950626382,1.701574044330228,13.289527720739219
11225014,etcd-io/etcd,Key-value,18461,5438,1655,6013,5355,0.294566924868642,0.705433075131358,0.32571366664861057,1939,6089,15133,3.1402784940691078,2.4853013631138117,10.483230663928817
2649214,arangodb/arangodb,"Key-value,Document,Graph",43002,28065,180,13046,1711,0.6526440630668341,0.3473559369331659,0.30338123808194967,1214,1910,3030,1.57331136738056,1.5863874345549738,12.177960301163587
114619105,apache/kyuubi,Relational,23989,7896,638,11566,3889,0.32915086081120515,0.6708491391887949,0.48213764642127643,1767,4610,12004,2.6089417091114884,2.6039045553145335,6.031485284052019
60377070,vespa-engine/vespa,"Document,Search Engine",26340,5814,1589,15926,3011,0.22072892938496583,0.7792710706150342,0.6046317388003037,2804,3307,20852,1.1793865905848788,6.305412760810402,7.572895277207392
542714,ravendb/ravendb,"Key-value,Document",3653,964,141,2189,359,0.2638926909389543,0.7361073090610457,0.5992335067068163,1768,2469,3062,1.3964932126696832,1.240178209801539,13.828884325804244
158975124,apache/iotdb,"Hierarchical,Time Series",65256,9255,307,54716,978,0.14182603898492094,0.858173961015079,0.8384822851538556,1769,3616,57600,2.0440927077444884,15.929203539823009,5.0978781656399725
206424,apache/cassandra,"Wide column,Key-value",3779,455,59,2569,696,0.12040222281026727,0.8795977771897328,0.6798094734056629,756,1623,3401,2.1468253968253967,2.095502156500308,14.609171800136892
156018,redis/redis,Key-value,6922,2912,371,1220,2419,0.4206876625252817,0.5793123374747183,0.1762496388327073,990,3248,5438,3.2808080808080806,1.6742610837438423,14.77618069815195
196353673,taosdata/TDengine,"Relational,Time Series",40031,24021,46,1925,14039,0.6000599535360096,0.3999400464639904,0.048087732007694034,680,1004,1870,1.4764705882352942,1.8625498007968126,4.470910335386721
84240850,timescale/timescaledb,Time Series,14662,5559,675,5715,2713,0.37914336379757196,0.620856636202428,0.38978311280862094,1253,3109,9532,2.481245011971269,3.065937600514635,6.8145106091718
9342529,crate/crate,Document,9375,5387,888,2461,639,0.5746133333333333,0.4253866666666667,0.26250666666666667,1203,2132,4354,1.7722360764754779,2.0422138836772983,10.72142368240931
150954997,VictoriaMetrics/VictoriaMetrics,"Wide column,Time Series",31402,13370,621,14403,3008,0.4257690592955863,0.5742309407044137,0.45866505318132605,1839,5149,13091,2.7998912452419793,2.5424354243542435,5.248459958932238
268163609,qdrant/qdrant,Vector,18934,7906,5013,2307,3708,0.4175557198690187,0.5824442801309813,0.121844301256998,1282,2524,4595,1.968798751950078,1.8205229793977813,3.583846680355921
6934395,facebook/rocksdb,Key-value,11174,3170,133,3881,3990,0.2836942903168069,0.7163057096831932,0.34732414533739037,1109,4666,8086,4.207394048692516,1.732961851693099,11.080082135523615
20089857,apache/hbase,Wide column,41966,12443,269,24372,4882,0.29650193013391796,0.7034980698660821,0.5807558499737883,659,5893,37119,8.942336874051593,6.298829119294077,9.604380561259411
