referenced_entity_type,count,share
GitHub_Service_External_Links,1629327,0.4347239216661446
PullRequest,671986,0.17929389817068386
Actor,475651,0.12690937305060515
Issue,281648,0.07514705340881621
Commit,255009,0.06803944974836965
GitHub_Files_FileChanges,193391,0.05159903072553108
Repo,74468,0.019868952640344422
GitHub_GenSer_Other_Links,62641,0.01671336765246569
GitHub_Other_Service,32788,0.008748230369710654
Branch_Tag_GHDir,24102,0.006430701731449499
IssueComment,13355,0.003563273654614059
SHA,13126,0.003502173716994694
PullRequestReview,8076,0.0021547733459126276
Gollum,5779,0.0015419062860362897
PullRequestReviewComment,3775,0.0010072151288781784
Release,1950,0.0005202833116059465
Branch,581,0.00015501774566310507
Tag,300,8.004358640091484e-05
CommitComment,5,1.3340597733485807e-06
