target_role,target_category_label,target_category_source,target_count,total_in_degree,total_in_strength,weight_share
expanded_target_project,Document,dbms_metadata,4,4,5,3.597795271057896e-05
expanded_target_project,Graph,dbms_metadata,1,2,7,5.036913379481054e-05
expanded_target_project,Key-value,dbms_metadata,8,10,34,0.0002446500784319369
expanded_target_project,Network#dbdbio>|<dbengines#Document,dbms_metadata,1,1,1,7.195590542115791e-06
expanded_target_project,"Object Oriented,Relational",dbms_metadata,1,2,2,1.4391181084231582e-05
expanded_target_project,Relational,dbms_metadata,3,3,4,2.8782362168463164e-05
expanded_target_project,"Relational,Key-value",dbms_metadata,1,1,1,7.195590542115791e-06
expanded_target_project,"Wide column,Key-value",dbms_metadata,1,1,1,7.195590542115791e-06
expanded_target_project,"Wide column,Relational",dbms_metadata,1,3,4,2.8782362168463164e-05
expanded_target_project,not_in_dbms_metadata,unavailable,6191,9150,131285,0.9446731043216717
seed_project,Document,seed_manifest,12,27,505,0.0036337732237684745
seed_project,Document#dbdbio>|<dbengines#Search Engine,seed_manifest,3,18,742,0.005339128182249917
seed_project,Graph,seed_manifest,6,15,65,0.0004677133852375264
seed_project,"Graph,Document,RDF",seed_manifest,1,1,1,7.195590542115791e-06
seed_project,Hierarchical,seed_manifest,1,3,11,7.915149596327371e-05
seed_project,Key-value,seed_manifest,20,72,1030,0.007411458258379265
seed_project,Key-value#dbdbio>|<dbengines#Document,seed_manifest,2,12,16,0.00011512944867385266
seed_project,Key-value#dbdbio>|<dbengines#Relational,seed_manifest,1,3,190,0.0013671622030020003
seed_project,Key-value#dbdbio>|<dbengines#Time Series,seed_manifest,1,8,428,0.0030797127520255587
seed_project,"Key-value,Document,Graph,Object Oriented#dbdbio>|<dbengines#Document",seed_manifest,1,1,1,7.195590542115791e-06
seed_project,"Object Oriented,Relational",seed_manifest,2,19,2189,0.01575114769669147
seed_project,RDF,seed_manifest,1,1,1,7.195590542115791e-06
seed_project,Relational,seed_manifest,36,168,1602,0.011527336048469498
seed_project,Relational#dbdbio>|<dbengines#Document,seed_manifest,1,5,10,7.195590542115791e-05
seed_project,Relational#dbdbio>|<dbengines#Time Series,seed_manifest,2,3,367,0.0026407817289564955
seed_project,"Relational,Key-value",seed_manifest,1,7,7,5.036913379481054e-05
seed_project,Search Engine,seed_manifest,2,7,24,0.000172694173010779
seed_project,Spatial,seed_manifest,2,5,8,5.756472433692633e-05
seed_project,Time Series,seed_manifest,2,2,16,0.00011512944867385266
seed_project,Vector,seed_manifest,5,11,11,7.915149596327371e-05
seed_project,Wide column,seed_manifest,3,12,74,0.0005324737001165686
seed_project,Wide column#dbdbio>|<dbengines#Relational,seed_manifest,1,2,3,2.1586771626347375e-05
seed_project,Wide column#dbdbio>|<dbengines#Time Series,seed_manifest,2,8,30,0.00021586771626347376
seed_project,"Wide column,Key-value",seed_manifest,1,2,2,1.4391181084231582e-05
seed_project,"Wide column,Relational,Key-value,Document",seed_manifest,1,6,297,0.00213709039100839
