node_u,node_v,weight,directed_edge_count
100060912,13124802,1,1
100060912,346976717,1,1
100060912,372536760,1,1
100060912,606433492,1,1
100060912,660776503,1,1
100060912,678214856,1,1
100060912,90541149,1,1
100285497,220186120,1,1
100470837,60377070,34,1
100649664,357707809,77,1
100649664,453068084,4,1
100656827,148087762,201,1
100683024,6358188,3,1
100728550,911980,1,1
100758341,268163609,2,1
100758341,276042304,1,1
100758341,357707809,9,1
100758341,453068084,4,1
10080335,60246359,1,1
100921897,334274271,1,1
10095297,17165658,2,1
100982449,41986369,1,1
101107622,16563587,31,1
101325844,54005538,2,1
101408117,341631350,3,1
10160141,911980,2,1
101664763,44781140,3,1
10166531,11225014,4,1
10176240,206417,1,1
101767772,358917318,46,1
101767772,510375115,8,1
101769985,44781140,15,1
101807531,138754790,8,1
101808120,507775,2,1
102025276,206417,1,1
1020639,31315021,38,1
102083576,341631350,1,1
102180889,198683574,1,1
102216161,25780780,1,1
102216161,75425073,2,1
102268227,16563587,4,1
10230369,19961085,1,1
10230369,3786237,7,1
1023109,791522,1,1
10232128,5349565,6,1
102343794,143436277,1,1
102343794,156018,1,1
102343794,346976717,1,1
102343794,99919302,11,1
102390943,396856161,1,1
10247874,678214856,2,1
102534028,574588439,1,1
102601749,574694308,1,1
10262364,19961085,2,1
10262364,3786237,1,1
10262364,77385607,18,1
102692863,60377070,2,1
10270722,422821402,1,1
102726009,17165658,1,1
102765966,20587599,1,1
10277647,166515022,1,1
102792138,16563587,27,1
1028340,2649214,1,1
102969245,17165658,1,1
102969245,574588439,1,1
10302694,138754790,1,1
103115020,6838921,1,1
103172419,510607652,1,1
10319059,11225014,1,1
103195470,105944401,4,1
10320116,11225014,2,1
10320116,16563587,1,1
10320116,220186120,3,1
10320116,396856161,3,1
10320116,41986369,2,1
10320116,422821402,1,1
10320116,6838921,5,1
10323585,30449481,1,1
103275720,480217156,1,1
103506984,47973088,7,1
103530053,6838921,1,1
103603776,388946490,2,1
103619486,49876476,1,1
10364381,714074,3,1
103706410,660776503,1,1
103940483,60246359,1,1
10394615,334274271,3,1
103980089,60246359,3,1
104061241,49876476,2,1
104064722,49876476,2,1
104110775,17165658,1,1
10416648,17165658,1,1
10416648,19961085,3,1
10416648,507775,1,1
10416648,56128733,1,1
104231541,108110,1,1
104231541,2649214,4,1
104231541,60246359,3,1
104327447,17165658,88,1
104354828,48617634,1,1
10437688,334274271,1,1
1045976,17165658,1,1
105066063,23405758,1,1
105069363,166515022,1,1
105088940,4254338,19,1
105088940,507775,674,1
105088940,77385607,361,1
1050944,1059430,1,1
1050944,1064563,5,1
1050944,11125589,1,1
1050944,11369509,1,1
1050944,1148753,1,1
1050944,115191628,3,1
1050944,121554427,4,1
1050944,12499251,3,1
1050944,139914932,2,1
1050944,144987904,1,1
1050944,15389347,1,1
1050944,1539978,1,1
1050944,156018,1,1
1050944,17286587,1,1
1050944,18128548,1,1
1050944,184463891,1,1
1050944,192625955,1,1
1050944,195088274,1,1
1050944,196057608,3,1
1050944,19641638,2,1
1050944,198802259,1,1
1050944,199041238,1,1
1050944,206483,1,1
1050944,21052744,1,1
1050944,22608597,1,1
1050944,22684655,4,1
1050944,23235250,1,1
1050944,237360465,4,1
1050944,252494861,1,1
1050944,256256737,1,1
1050944,26311145,5,1
1050944,27546391,1,1
1050944,287015918,1,1
1050944,33745913,1,1
1050944,35699660,1,1
1050944,3626075,1,1
1050944,3894929,1,1
1050944,400786610,3,1
1050944,46712849,2,1
1050944,4950187,1,1
1050944,509092193,1,1
1050944,573788038,4,1
1050944,574877,16,1
1050944,745749,4,1
1050944,83803176,1,1
1050944,990281,3,1
105195750,298763623,2,1
10522120,17165658,1,1
105262714,150954997,1,1
105300706,105944401,2,1
105379569,130688011,3,1
105379569,268163609,60,1
105672026,396867188,1,1
105711679,396856161,18,1
105711679,6838921,3,1
105712749,660776503,1,1
105769029,79317191,1,1
105944401,106060031,1,1
105944401,11599760,1,1
105944401,121337784,1,1
