source_entity_type,quotient_eligibility,count,overall_share,within_row_share,within_status_share
CommitComment,NOT_QUOTIENT_ELIGIBLE,20681,0.0055177613699608176,0.5327545789433009,0.009565852483000388
CommitComment,QUOTIENT_ELIGIBLE,18138,0.004839280292459228,0.46724542105669903,0.011435474180025811
Issue,NOT_QUOTIENT_ELIGIBLE,58448,0.015594125842631876,0.3460673092864079,0.027034715242319356
Issue,QUOTIENT_ELIGIBLE,110444,0.029466836069046588,0.6539326907135922,0.06963168543051994
IssueComment,NOT_QUOTIENT_ELIGIBLE,1368602,0.36514768369281536,0.7533239282653484,0.6330373212097721
IssueComment,QUOTIENT_ELIGIBLE,448149,0.11956768242283111,0.2466760717346516,0.2825447303067806
PullRequest,NOT_QUOTIENT_ELIGIBLE,186313,0.049708944157512196,0.5552664675834034,0.08617778026523143
PullRequest,QUOTIENT_ELIGIBLE,149225,0.0398137392017989,0.44473353241659663,0.0940819624277402
PullRequestReview,NOT_QUOTIENT_ELIGIBLE,46171,0.01231858034971524,0.6359904679256718,0.021356074415773457
PullRequestReview,QUOTIENT_ELIGIBLE,26426,0.007050546973675575,0.3640095320743281,0.016660813798729853
PullRequestReviewComment,NOT_QUOTIENT_ELIGIBLE,25454,0.006791214056911302,0.48241225077704497,0.01177357038355456
PullRequestReviewComment,QUOTIENT_ELIGIBLE,27310,0.007286401190156662,0.517587749222955,0.017218149732964212
Push,NOT_QUOTIENT_ELIGIBLE,415302,0.11080399073871995,0.35616842491640416,0.19209504704293925
Push,QUOTIENT_ELIGIBLE,750725,0.20029599170561552,0.6438315750835958,0.47330997650236395
Release,NOT_QUOTIENT_ELIGIBLE,40990,0.010936271870542715,0.4239321543075809,0.0189596389574095
Release,QUOTIENT_ELIGIBLE,55700,0.014860950065606959,0.5760678456924191,0.03511720762087538
