target_entity_type,quotient_eligibility,count,overall_share,within_row_share,within_status_share
Actor,NOT_QUOTIENT_ELIGIBLE,475663,0.1269085115090988,1.0,0.22001460710900891
Branch,QUOTIENT_ELIGIBLE,581,0.0001550127825514837,1.0,0.0003663033685409084
Branch_Tag_GHDir,NOT_QUOTIENT_ELIGIBLE,26,6.936888720031974e-06,0.0010786143953536611,1.2026118880035302e-05
Branch_Tag_GHDir,QUOTIENT_ELIGIBLE,24079,0.006424359364986534,0.9989213856046464,0.015181099502747906
Commit,NOT_QUOTIENT_ELIGIBLE,143,3.815288796017586e-05,0.0005607557261786654,6.614365384019415e-05
Commit,QUOTIENT_ELIGIBLE,254870,0.06800018569517496,0.9994392442738214,0.16068801986234307
CommitComment,QUOTIENT_ELIGIBLE,5,1.3340170615446104e-06,1.0,3.1523525691988675e-06
GitHub_Files_FileChanges,NOT_QUOTIENT_ELIGIBLE,262,6.990249402493759e-05,0.0013547052740434332,0.00012118627486804804
GitHub_Files_FileChanges,QUOTIENT_ELIGIBLE,193138,0.05152987744652059,0.9986452947259565,0.12176781410198617
GitHub_GenSer_Other_Links,NOT_QUOTIENT_ELIGIBLE,6563,0.0017510307949834556,0.10476494532684173,0.0030356699311412183
GitHub_GenSer_Other_Links,QUOTIENT_ELIGIBLE,56082,0.014962868969108967,0.8952350546731582,0.03535804735716218
GitHub_Other_Service,NOT_QUOTIENT_ELIGIBLE,32792,0.008749017496434173,1.0,0.0151677111659276
GitHub_Service_External_Links,NOT_QUOTIENT_ELIGIBLE,1629357,0.43471800746942835,1.0,0.75364773000068
Gollum,NOT_QUOTIENT_ELIGIBLE,84,2.2411486633949455e-05,0.01453538674511161,3.885361484319097e-05
Gollum,QUOTIENT_ELIGIBLE,5695,0.001519445433099311,0.9854646132548884,0.00359052957631751
Issue,NOT_QUOTIENT_ELIGIBLE,2498,0.0006664749239476874,0.008868785991720573,0.001155432498551084
Issue,QUOTIENT_ELIGIBLE,279164,0.07448190779380792,0.9911312140082794,0.17600467052556654
IssueComment,NOT_QUOTIENT_ELIGIBLE,125,3.335042653861526e-05,0.009359790340696368,5.781787923093895e-05
IssueComment,QUOTIENT_ELIGIBLE,13230,0.003529809144847039,0.9906402096593037,0.008341124898100204
PullRequest,NOT_QUOTIENT_ELIGIBLE,810,0.00021611076397022689,0.0012053230637824228,0.0003746598574164844
PullRequest,QUOTIENT_ELIGIBLE,671209,0.17908085157245926,0.9987946769362176,0.42317748312388054
PullRequestReview,NOT_QUOTIENT_ELIGIBLE,2,5.336068246178441e-07,0.00024764735017335313,9.250860676950232e-07
PullRequestReview,QUOTIENT_ELIGIBLE,8074,0.002154170750982237,0.9997523526498266,0.0050904189287423315
PullRequestReviewComment,NOT_QUOTIENT_ELIGIBLE,30,8.004102369267661e-06,0.007947019867549669,1.3876291015425347e-05
PullRequestReviewComment,QUOTIENT_ELIGIBLE,3745,0.0009991787790969132,0.9920529801324504,0.0023611120743299518
Release,NOT_QUOTIENT_ELIGIBLE,1,2.6680341230892204e-07,0.0005128205128205128,4.625430338475116e-07
Release,QUOTIENT_ELIGIBLE,1949,0.0005199998505900891,0.9994871794871795,0.0012287870314737184
Repo,NOT_QUOTIENT_ELIGIBLE,479,0.00012779883449597366,0.006431688486069151,0.00022155811321295806
Repo,QUOTIENT_ELIGIBLE,73996,0.019742385297210997,0.9935683115139309,0.04665229614208788
SHA,NOT_QUOTIENT_ELIGIBLE,13126,0.003502061589966911,1.0,0.006071339862282437
Tag,QUOTIENT_ELIGIBLE,300,8.004102369267662e-05,1.0,0.00018914115415193203
