target_entity_type,target_membership_status,count,overall_share,within_row_share,within_status_share
Actor,NON_PROJECT,469,0.00012513080037288444,0.0009859921835417092,0.0002780473605361275
Actor,UNRESOLVED,475194,0.1267833807087259,0.9990140078164583,1.0
Branch,PROJECT_MAPPABLE,581,0.0001550127825514837,1.0,0.000366303137597581
Branch_Tag_GHDir,NON_PROJECT,26,6.936888720031974e-06,0.0010786143953536611,1.5414139390062503e-05
Branch_Tag_GHDir,PROJECT_MAPPABLE,24079,0.006424359364986534,0.9989213856046464,0.015181089931518336
Commit,NON_PROJECT,143,3.815288796017586e-05,0.0005607557261786654,8.477776664534377e-05
Commit,PROJECT_MAPPABLE,254870,0.06800018569517496,0.9994392442738214,0.1606879185533485
CommitComment,PROJECT_MAPPABLE,5,1.3340170615446104e-06,1.0,3.1523505817347764e-06
GitHub_Files_FileChanges,NON_PROJECT,262,6.990249402493759e-05,0.0013547052740434332,0.00015532709693062986
GitHub_Files_FileChanges,PROJECT_MAPPABLE,193138,0.05152987744652059,0.9986452947259565,0.12176773733101824
GitHub_GenSer_Other_Links,NON_PROJECT,6563,0.0017510307949834556,0.10476494532684173,0.0038908844929607775
GitHub_GenSer_Other_Links,PROJECT_MAPPABLE,56082,0.014962868969108967,0.8952350546731582,0.03535802506496995
GitHub_Other_Service,NON_PROJECT,32792,0.008749017496434173,1.0,0.019440786879958833
GitHub_Service_External_Links,NON_PROJECT,1629357,0.43471800746942835,1.0,0.965966765929772
Gollum,NON_PROJECT,84,2.2411486633949455e-05,0.01453538674511161,4.979952726020194e-05
Gollum,PROJECT_MAPPABLE,5695,0.001519445433099311,0.9854646132548884,0.00359052731259591
Issue,CONFLICT_EXCLUDED,2,5.336068246178441e-07,7.100709360865151e-06,0.6666666666666666
Issue,NON_PROJECT,2495,0.0006656745137107606,0.008858134927679276,0.001479164529930998
Issue,PROJECT_MAPPABLE,279165,0.07448217459722023,0.9911347643629599,0.17600519002999776
IssueComment,NON_PROJECT,125,3.335042653861526e-05,0.009359790340696368,7.41064393753005e-05
IssueComment,PROJECT_MAPPABLE,13230,0.003529809144847039,0.9906402096593037,0.008341119639270218
PullRequest,CONFLICT_EXCLUDED,1,2.6680341230892204e-07,1.488053165163485e-06,0.3333333333333333
PullRequest,NON_PROJECT,809,0.00021584396055791794,0.0012038350106172593,0.0004796168756369448
PullRequest,PROJECT_MAPPABLE,671209,0.17908085157245926,0.9987946769362176,0.4231772163231235
PullRequestReview,NON_PROJECT,2,5.336068246178441e-07,0.00024764735017335313,1.185703030004808e-06
PullRequestReview,PROJECT_MAPPABLE,8074,0.002154170750982237,0.9997523526498266,0.005090415719385317
PullRequestReviewComment,NON_PROJECT,30,8.004102369267661e-06,0.007947019867549669,1.778554545007212e-05
PullRequestReviewComment,PROJECT_MAPPABLE,3745,0.0009991787790969132,0.9920529801324504,0.0023611105857193476
Release,NON_PROJECT,1,2.6680341230892204e-07,0.0005128205128205128,5.92851515002404e-07
Release,PROJECT_MAPPABLE,1949,0.0005199998505900891,0.9994871794871795,0.001228786256760216
Repo,NON_PROJECT,479,0.00012779883449597366,0.006431688486069151,0.0002839758756861515
Repo,PROJECT_MAPPABLE,73996,0.019742385297210997,0.9935683115139309,0.0466522667292093
SHA,NON_PROJECT,13126,0.003502061589966911,1.0,0.007781768985921555
Tag,PROJECT_MAPPABLE,300,8.004102369267662e-05,1.0,0.00018914103490408658
