node_u,node_v,weight,directed_edge_count
100470837,60377070,34,1
100649664,357707809,77,1
100649664,453068084,4,1
100656827,148087762,201,1
100683024,6358188,3,1
100758341,268163609,2,1
100758341,357707809,9,1
100758341,453068084,4,1
10095297,17165658,2,1
101107622,16563587,31,1
101325844,54005538,2,1
101408117,341631350,3,1
10160141,911980,2,1
101664763,44781140,3,1
10166531,11225014,4,1
101767772,358917318,46,1
101767772,510375115,8,1
101769985,44781140,15,1
101807531,138754790,8,1
101808120,507775,2,1
1020639,31315021,38,1
102216161,75425073,2,1
102268227,16563587,4,1
10230369,3786237,7,1
10232128,5349565,6,1
102343794,99919302,11,1
10247874,678214856,2,1
10262364,19961085,2,1
10262364,77385607,18,1
102692863,60377070,2,1
102792138,16563587,27,1
103195470,105944401,4,1
10320116,11225014,2,1
10320116,220186120,3,1
10320116,396856161,3,1
10320116,41986369,2,1
10320116,6838921,5,1
103506984,47973088,7,1
103603776,388946490,2,1
10364381,714074,3,1
10394615,334274271,3,1
103980089,60246359,3,1
104061241,49876476,2,1
104064722,49876476,2,1
10416648,19961085,3,1
104231541,2649214,4,1
104231541,60246359,3,1
104327447,17165658,88,1
105088940,4254338,19,1
105088940,507775,674,1
105088940,77385607,361,1
1050944,1064563,5,1
1050944,115191628,3,1
1050944,121554427,4,1
1050944,12499251,3,1
1050944,139914932,2,1
1050944,196057608,3,1
1050944,19641638,2,1
1050944,22684655,4,1
1050944,237360465,4,1
1050944,26311145,5,1
1050944,400786610,3,1
1050944,46712849,2,1
1050944,573788038,4,1
1050944,574877,16,1
1050944,745749,4,1
1050944,990281,3,1
105195750,298763623,2,1
105300706,105944401,2,1
105379569,130688011,3,1
105379569,268163609,60,1
105711679,396856161,18,1
105711679,6838921,3,1
105944401,124042164,2,1
105944401,165536154,2,1
105944401,184149296,16,1
105944401,190704068,2,1
105944401,197077443,2,1
105944401,201284016,2,1
105944401,204009988,4,1
105944401,224104199,2,1
105944401,23096959,2,1
105944401,2504175,2,1
105944401,263472353,8,1
105944401,28061676,2,1
105944401,2923236,2,1
105944401,3148979,3,1
105944401,343576900,2,1
105944401,350645373,2,1
105944401,351503108,2,1
105944401,359952601,7,1
105944401,368282919,5,1
105944401,394028369,2,1
105944401,40210247,2,1
105944401,409814339,3,1
105944401,414399712,4,1
105944401,423828713,2,1
105944401,436474538,2,1
105944401,446314577,2,1
105944401,47878060,2,1
105944401,481475524,3,1
105944401,495285029,4,1
105944401,50647838,3,1
105944401,508414565,2,1
105944401,531406663,16,1
105944401,560617285,2,1
105944401,605762688,4,1
105944401,635492823,3,1
105944401,680247452,15,1
105944401,6934395,8,1
105944401,724712,2,1
105944401,75821432,4,1
105944401,8014055,3,1
105944401,81598961,2,1
105944401,927442,48,1
105944401,9524057,5,1
106024057,298763623,2,1
10610797,11695619,12,1
10610797,77385607,77,1
106192858,11225014,2,1
1062572,1917262,2,1
106263946,9595928,2,1
106310,114619105,2,1
106310,34533675,2,1
106310,3786237,6,1
106310,453068084,37,1
10637893,7437073,16,1
10637896,11695619,30,1
10637896,17165658,16,1
10637896,334274271,29,1
10637896,3786237,15,1
10637896,45732002,12,1
10637896,507775,8,1
10637896,77385607,18,1
1064563,114619105,23,1
1064563,158975124,9,1
1064563,160999,2,1
1064563,16189524,24,1
1064563,17165658,39,1
1064563,19961085,4,1
1064563,20089857,2,1
1064563,20587599,3,1
1064563,298920362,7,1
1064563,30449481,23,1
1064563,31976266,2,1
1064563,334274271,2,1
1064563,3786237,77,1
1064563,396867188,38,1
1064563,49876476,4,1
1064563,507775,3,1
1064563,52507351,3,1
1064563,77385607,592,1
1064563,99919302,2,1
106481151,114619105,3,1
106520420,60246359,2,1
106698888,16563587,2,1
106805892,3786237,3,1
106898220,79317191,3,1
10746583,17165658,35,1
10746583,19961085,3,1
10746583,7437073,17,1
108050,3786237,26,1
108050,396867188,13,1
108110,2944302,6,1
108110,39519916,2,1
108110,422821402,9,1
108187130,1917262,18,1
108306129,388946490,8,1
10835647,11225014,2,1
10854028,507775,8,1
10885469,95614931,2,1
108883568,6838921,25,1
108883966,11008207,3,1
108908685,5349565,3,1
108979839,385634291,10,1
109162639,150954997,2,1
109162639,385634291,5,1
109162639,6838921,10,1
109330128,41986369,6,1
109330128,6838921,7,1
109401999,138754790,2,1
109404010,198466472,3,1
109480449,114619105,8,1
109480449,6358188,2,1
109711622,156018,3,1
109803086,6650539,3,1
109997238,44781140,2,1
11002815,34533675,14,1
11006053,168712350,2,1
11008207,11225014,2,1
11008207,12488845,5,1
11008207,133275023,10,1
11008207,154422394,82,1
11008207,174417748,2,1
11008207,190416463,2,1
11008207,192925833,3,1
11008207,19582982,4,1
11008207,197658090,2,1
11008207,219061541,8,1
11008207,225690537,803,1
11008207,23096959,147,1
11008207,23664475,4,1
11008207,2560988,2,1
11008207,257485422,117,1
11008207,2606873,2,1
11008207,27522271,231,1
11008207,2755696,2,1
11008207,276685482,785,1
11008207,27729907,4,1
11008207,284165134,5,1
11008207,2871998,2,1
11008207,303762301,2,1
11008207,31629751,7,1
11008207,32741886,12,1
11008207,346425226,6,1
11008207,348444625,7,1
11008207,3655872,2,1
11008207,3678731,3,1
11008207,36891867,2,1
11008207,37334619,3,1
11008207,39468142,4,1
11008207,440346630,3,1
11008207,4463453,5,1
11008207,486278040,5,1
11008207,506613299,2,1
11008207,519003926,3,1
11008207,52037627,7,1
11008207,527483772,2,1
11008207,63537249,3,1
11008207,635979215,4,1
11008207,81712364,2,1
11008207,8507859,14,1
11008207,99618772,5,1
1103607,341631350,2,1
11061773,17165658,3,1
11061773,25780780,6,1
11061773,30449481,203,1
11061773,639434928,13,1
11061773,660776503,3,1
110772190,41986369,2,1
11131631,388946490,287,1
11162159,507829396,2,1
111860063,86868560,6,1
11206255,16563587,29,1
11208105,11695619,2,1
11208890,385634291,2,1
11225014,113089820,2,1
11225014,11676453,3,1
11225014,12574344,2,1
11225014,126215645,7,1
11225014,132145189,4,1
11225014,13624859,2,1
11225014,13628513,2,1
11225014,137247827,3,1
11225014,138105554,6,1
11225014,138717670,6,1
11225014,154744163,2,1
11225014,159005377,2,1
11225014,160999,2,1
11225014,164008820,51,1
11225014,16563587,11,2
11225014,16907502,3,1
11225014,172142138,2,1
11225014,175458368,2,1
11225014,177727591,9,1
11225014,18314451,4,1
11225014,186022916,9,1
11225014,187086161,122,1
11225014,19138780,2,1
11225014,192624594,18,1
11225014,192625955,21,1
11225014,19608522,3,1
11225014,197814629,72,1
11225014,205262760,3,1
11225014,20580498,45,1
11225014,208728772,8,1
11225014,21306961,11,1
11225014,21591001,5,1
11225014,216797458,9,1
11225014,23096959,32,1
11225014,232539879,13,1
11225014,23362234,3,1
11225014,234839116,5,1
11225014,23845253,3,1
11225014,242202166,37,1
11225014,259445878,229,1
11225014,259933623,4,1
11225014,27051771,2,1
11225014,27096595,3,1
11225014,27146054,21,1
11225014,27483832,2,1
11225014,27522241,28,1
11225014,27522271,35,1
11225014,27522282,24,1
11225014,27522295,25,1
11225014,2755696,5,1
11225014,27729880,9,1
11225014,27729907,125,1
11225014,27945817,2,1
11225014,28011464,2,1
11225014,28352089,7,1
11225014,3087541,2,1
11225014,314337176,9,1
11225014,3168225,7,1
11225014,31792824,3,1
11225014,328806334,2,1
11225014,330802289,3,1
11225014,33352201,19,1
11225014,367361729,5,1
11225014,37326770,3,1
11225014,383185912,10,1
11225014,39907649,2,1
11225014,41349039,3,1
11225014,414314563,5,1
11225014,416231913,7,1
11225014,421101922,32,1
11225014,43225113,36,1
11225014,45226685,4,1
11225014,45446294,5,1
11225014,46394186,8,1
11225014,516678127,5,1
11225014,52034309,27,1
11225014,523428811,5,1
11225014,535259589,4,1
11225014,53618789,6,1
11225014,55425573,5,1
11225014,56421126,2,1
11225014,571342238,42,1
11225014,57333709,6,1
11225014,57912964,7,1
11225014,57939112,12,1
11225014,59526988,3,1
11225014,595845716,2,1
11225014,61567949,5,1
11225014,62147469,3,1
11225014,623298152,3,1
11225014,62475947,3,1
11225014,6247705,8,1
11225014,629776015,6,1
11225014,65915265,5,1
11225014,66314075,4,1
11225014,66737655,2,1
11225014,68964263,3,1
11225014,7004897,6,1
11225014,704732969,3,1
11225014,721065451,2,1
11225014,78234185,4,1
11225014,7823926,17,1
11225014,79188507,5,1
11225014,79954708,10,1
11225014,81355383,2,1
11225014,8393979,8,1
11225014,8425622,2,1
11225014,85069480,2,1
11225014,88674404,3,1
11225014,89188193,2,1
11225014,90636971,9,1
11225014,911980,2,1
11225014,92132038,10,1
11225014,93163073,7,1
