k,seed,spearman_to_canonical,top10_overlap,top20_overlap,top50_overlap,canonical_score_match
250,20260731,0.9999533283342963,0.9,0.9,0.94,False
250,20260732,0.9998649872960654,0.8,0.95,0.86,False
250,20260733,0.9998289911273206,0.9,0.85,0.82,False
250,20260734,0.99987438022972,0.8,0.9,0.9,False
250,20260735,0.9998896483069895,0.7,0.85,0.92,False
250,20260736,0.9998522767066905,0.9,0.85,0.84,False
250,20260737,0.9998600293074326,0.8,0.8,0.9,False
250,20260738,0.999847699635285,0.9,0.9,0.9,False
250,20260739,0.9998675227474262,0.8,0.8,0.88,False
250,20260740,0.9998642174525344,0.8,0.8,0.86,False
250,20260741,0.9998772066466584,0.8,0.95,0.9,False
250,20260742,0.9998754994634207,0.8,0.9,0.88,False
250,20260743,0.999877315394175,0.9,0.9,0.86,False
250,20260744,0.999848151337933,1.0,0.9,0.92,False
250,20260745,0.9998619076904643,0.8,0.85,0.92,False
250,20260746,0.9998861640809985,0.7,0.9,0.88,False
250,20260747,0.9998733702527834,0.9,0.9,0.88,False
250,20260748,0.999845072936008,0.9,0.85,0.92,False
250,20260749,0.9998610534044169,0.8,0.8,0.88,False
250,20260750,0.9998379068496502,0.8,0.9,0.84,False
500,20260731,1.0,1.0,1.0,1.0,True
500,20260732,0.9998979292290002,0.9,0.9,0.86,False
500,20260733,0.9998835125674734,0.8,0.9,0.9,False
500,20260734,0.9999046667603296,1.0,0.95,0.92,False
500,20260735,0.9999227943093382,0.8,0.95,0.92,False
500,20260736,0.9998812953958817,0.8,0.9,0.92,False
500,20260737,0.9998932819740123,0.8,0.9,0.9,False
500,20260738,0.9998790344752891,0.9,0.9,0.94,False
500,20260739,0.9998917114543207,0.9,0.9,0.92,False
500,20260740,0.9998828585546304,0.7,0.85,0.92,False
500,20260741,0.9999056620616753,0.8,0.85,0.92,False
500,20260742,0.9999079182601537,0.8,0.95,0.92,False
500,20260743,0.9998915497913456,0.9,0.9,0.88,False
500,20260744,0.9998874559959412,0.9,0.9,0.92,False
500,20260745,0.9998968719846247,0.9,0.85,0.9,False
500,20260746,0.9999016659492254,0.8,0.9,0.92,False
500,20260747,0.9998829529043277,0.9,0.9,0.88,False
500,20260748,0.9998868151772414,0.9,0.9,0.94,False
500,20260749,0.9998925548609868,0.8,0.9,0.94,False
500,20260750,0.99987308012052,0.8,0.9,0.9,False
1000,20260731,0.9999652338957584,0.9,0.95,0.94,False
1000,20260732,0.9999203228379981,0.9,0.85,0.92,False
1000,20260733,0.9999026411121422,0.9,0.95,0.92,False
1000,20260734,0.9999138516894747,1.0,0.95,0.94,False
1000,20260735,0.9999291126835725,0.8,0.95,0.9,False
1000,20260736,0.9999078298825422,0.9,1.0,0.9,False
1000,20260737,0.999899934414692,0.8,0.9,0.94,False
1000,20260738,0.9999071045287357,0.9,0.85,0.92,False
1000,20260739,0.9999084400074985,0.8,0.85,0.92,False
1000,20260740,0.999898613380044,0.7,0.9,0.94,False
1000,20260741,0.9999099425657791,0.9,0.9,0.96,False
1000,20260742,0.9999054282244225,0.9,0.95,0.92,False
1000,20260743,0.9999109761069924,0.9,0.9,0.92,False
1000,20260744,0.9999118177081443,0.8,0.9,0.94,False
1000,20260745,0.9999091034645702,0.9,1.0,0.92,False
1000,20260746,0.9999170348575257,0.8,0.9,0.94,False
1000,20260747,0.9999096480817631,1.0,0.95,0.92,False
1000,20260748,0.9999127817139083,0.9,0.9,0.96,False
1000,20260749,0.9999149052302312,0.8,0.9,0.94,False
1000,20260750,0.999889118133911,0.9,0.9,0.92,False
