k,seed,top_k,project_id,frequency
250,20260731,10,11225014,1
250,20260731,10,138754790,1
250,20260731,10,16563587,1
250,20260731,10,17165658,1
250,20260731,10,197814629,1
250,20260731,10,334274271,1
250,20260731,10,358917318,1
250,20260731,10,453068084,1
250,20260731,10,60246359,1
250,20260731,10,6838921,1
250,20260731,20,11225014,1
250,20260731,20,138754790,1
250,20260731,20,150954997,1
250,20260731,20,156018,1
250,20260731,20,16563587,1
250,20260731,20,166515022,1
250,20260731,20,17165658,1
250,20260731,20,197814629,1
250,20260731,20,268163609,1
250,20260731,20,302827809,1
250,20260731,20,334274271,1
250,20260731,20,358917318,1
250,20260731,20,388946490,1
250,20260731,20,41986369,1
250,20260731,20,422821402,1
250,20260731,20,453068084,1
250,20260731,20,507775,1
250,20260731,20,60246359,1
250,20260731,20,6838921,1
250,20260731,20,6934395,1
250,20260731,50,105944401,1
250,20260731,50,11008207,1
250,20260731,50,11225014,1
250,20260731,50,114619105,1
250,20260731,50,11695619,1
250,20260731,50,130688011,1
250,20260731,50,138754790,1
250,20260731,50,150954997,1
250,20260731,50,156018,1
250,20260731,50,16563587,1
250,20260731,50,166515022,1
250,20260731,50,17165658,1
250,20260731,50,190416463,1
250,20260731,50,197814629,1
250,20260731,50,198683574,1
250,20260731,50,19961085,1
250,20260731,50,20300177,1
250,20260731,50,20587599,1
250,20260731,50,208728772,1
250,20260731,50,23096959,1
250,20260731,50,23357588,1
250,20260731,50,268163609,1
250,20260731,50,302827809,1
250,20260731,50,334274271,1
250,20260731,50,33745913,1
250,20260731,50,341631350,1
250,20260731,50,351806852,1
250,20260731,50,358917318,1
250,20260731,50,3786237,1
250,20260731,50,385634291,1
250,20260731,50,388946490,1
250,20260731,50,41986369,1
250,20260731,50,422821402,1
250,20260731,50,453068084,1
250,20260731,50,480217156,1
250,20260731,50,49876476,1
250,20260731,50,507775,1
250,20260731,50,51905353,1
250,20260731,50,52855516,1
250,20260731,50,5349565,1
250,20260731,50,546206616,1
250,20260731,50,60246359,1
250,20260731,50,619008516,1
250,20260731,50,6358188,1
250,20260731,50,6838921,1
250,20260731,50,6934395,1
250,20260731,50,7437073,1
250,20260731,50,75425073,1
250,20260731,50,911980,1
250,20260731,50,927442,1
250,20260732,10,11225014,1
250,20260732,10,138754790,1
250,20260732,10,16563587,1
250,20260732,10,17165658,1
250,20260732,10,334274271,1
250,20260732,10,358917318,1
250,20260732,10,453068084,1
250,20260732,10,507775,1
250,20260732,10,60246359,1
250,20260732,10,6838921,1
250,20260732,20,11225014,1
250,20260732,20,138754790,1
250,20260732,20,156018,1
250,20260732,20,16563587,1
250,20260732,20,166515022,1
250,20260732,20,17165658,1
250,20260732,20,190416463,1
250,20260732,20,197814629,1
250,20260732,20,268163609,1
250,20260732,20,334274271,1
250,20260732,20,351806852,1
250,20260732,20,358917318,1
250,20260732,20,388946490,1
250,20260732,20,41986369,1
250,20260732,20,453068084,1
250,20260732,20,480217156,1
250,20260732,20,507775,1
250,20260732,20,60246359,1
250,20260732,20,6838921,1
250,20260732,20,6934395,1
250,20260732,50,105944401,1
250,20260732,50,11008207,1
250,20260732,50,11225014,1
250,20260732,50,114619105,1
250,20260732,50,11695619,1
250,20260732,50,130688011,1
250,20260732,50,1362490,1
250,20260732,50,138754790,1
250,20260732,50,150954997,1
250,20260732,50,156018,1
250,20260732,50,16563587,1
250,20260732,50,166515022,1
250,20260732,50,17165658,1
250,20260732,50,190416463,1
250,20260732,50,197814629,1
250,20260732,50,206417,1
250,20260732,50,208728772,1
250,20260732,50,23096959,1
250,20260732,50,23357588,1
250,20260732,50,268163609,1
250,20260732,50,302827809,1
250,20260732,50,334274271,1
250,20260732,50,341631350,1
250,20260732,50,34533675,1
250,20260732,50,351806852,1
250,20260732,50,357707809,1
250,20260732,50,358917318,1
250,20260732,50,3786237,1
250,20260732,50,385634291,1
250,20260732,50,388946490,1
250,20260732,50,41986369,1
250,20260732,50,422821402,1
250,20260732,50,453068084,1
250,20260732,50,480217156,1
250,20260732,50,49876476,1
250,20260732,50,507775,1
250,20260732,50,51905353,1
250,20260732,50,52855516,1
250,20260732,50,546206616,1
250,20260732,50,60246359,1
250,20260732,50,619008516,1
250,20260732,50,660776503,1
250,20260732,50,6838921,1
250,20260732,50,6934395,1
250,20260732,50,7437073,1
250,20260732,50,75425073,1
250,20260732,50,911980,1
250,20260732,50,927442,1
250,20260732,50,9342529,1
250,20260732,50,95817032,1
250,20260733,10,11225014,1
250,20260733,10,138754790,1
250,20260733,10,16563587,1
250,20260733,10,166515022,1
250,20260733,10,17165658,1
250,20260733,10,334274271,1
250,20260733,10,358917318,1
250,20260733,10,453068084,1
250,20260733,10,507775,1
250,20260733,10,60246359,1
250,20260733,20,105944401,1
250,20260733,20,11225014,1
250,20260733,20,138754790,1
250,20260733,20,156018,1
250,20260733,20,16563587,1
250,20260733,20,166515022,1
250,20260733,20,17165658,1
250,20260733,20,190416463,1
250,20260733,20,197814629,1
250,20260733,20,268163609,1
250,20260733,20,302827809,1
250,20260733,20,334274271,1
250,20260733,20,341631350,1
250,20260733,20,358917318,1
250,20260733,20,453068084,1
250,20260733,20,480217156,1
250,20260733,20,507775,1
250,20260733,20,60246359,1
250,20260733,20,6838921,1
250,20260733,20,6934395,1
250,20260733,50,105944401,1
250,20260733,50,11225014,1
250,20260733,50,114619105,1
250,20260733,50,130688011,1
250,20260733,50,138754790,1
250,20260733,50,150954997,1
250,20260733,50,156018,1
250,20260733,50,16563587,1
250,20260733,50,166515022,1
250,20260733,50,17165658,1
250,20260733,50,190416463,1
250,20260733,50,197814629,1
250,20260733,50,198683574,1
250,20260733,50,19961085,1
250,20260733,50,208728772,1
250,20260733,50,23096959,1
250,20260733,50,23247808,1
250,20260733,50,23357588,1
250,20260733,50,268163609,1
250,20260733,50,302827809,1
250,20260733,50,30449481,1
250,20260733,50,334274271,1
250,20260733,50,341631350,1
250,20260733,50,351806852,1
250,20260733,50,357707809,1
250,20260733,50,358917318,1
250,20260733,50,3786237,1
250,20260733,50,385634291,1
250,20260733,50,388946490,1
250,20260733,50,41986369,1
250,20260733,50,422821402,1
250,20260733,50,453068084,1
250,20260733,50,480217156,1
250,20260733,50,48833910,1
250,20260733,50,49412556,1
250,20260733,50,49876476,1
250,20260733,50,507775,1
250,20260733,50,510607652,1
250,20260733,50,51905353,1
250,20260733,50,52855516,1
250,20260733,50,60246359,1
250,20260733,50,619008516,1
250,20260733,50,6358188,1
250,20260733,50,660776503,1
250,20260733,50,6838921,1
250,20260733,50,6934395,1
250,20260733,50,75425073,1
250,20260733,50,86868560,1
250,20260733,50,911980,1
250,20260733,50,927442,1
250,20260734,10,11225014,1
250,20260734,10,138754790,1
250,20260734,10,16563587,1
250,20260734,10,17165658,1
250,20260734,10,268163609,1
250,20260734,10,334274271,1
250,20260734,10,358917318,1
250,20260734,10,453068084,1
250,20260734,10,507775,1
250,20260734,10,60246359,1
250,20260734,20,11225014,1
250,20260734,20,130688011,1
250,20260734,20,138754790,1
250,20260734,20,156018,1
250,20260734,20,16563587,1
250,20260734,20,166515022,1
250,20260734,20,17165658,1
250,20260734,20,190416463,1
250,20260734,20,197814629,1
250,20260734,20,208728772,1
250,20260734,20,268163609,1
250,20260734,20,334274271,1
250,20260734,20,351806852,1
250,20260734,20,358917318,1
250,20260734,20,388946490,1
250,20260734,20,41986369,1
250,20260734,20,453068084,1
250,20260734,20,507775,1
250,20260734,20,60246359,1
250,20260734,20,6838921,1
250,20260734,50,105944401,1
250,20260734,50,11008207,1
250,20260734,50,11225014,1
250,20260734,50,114619105,1
250,20260734,50,11695619,1
250,20260734,50,130688011,1
250,20260734,50,138754790,1
250,20260734,50,150954997,1
250,20260734,50,156018,1
250,20260734,50,16563587,1
250,20260734,50,166515022,1
250,20260734,50,17165658,1
250,20260734,50,190416463,1
250,20260734,50,197814629,1
250,20260734,50,19961085,1
250,20260734,50,20300177,1
250,20260734,50,206417,1
250,20260734,50,208728772,1
250,20260734,50,23096959,1
250,20260734,50,23357588,1
250,20260734,50,268163609,1
250,20260734,50,276293034,1
250,20260734,50,302827809,1
250,20260734,50,30449481,1
250,20260734,50,334274271,1
250,20260734,50,341631350,1
250,20260734,50,351806852,1
250,20260734,50,357707809,1
250,20260734,50,358917318,1
250,20260734,50,3786237,1
250,20260734,50,388946490,1
250,20260734,50,396856161,1
250,20260734,50,41986369,1
250,20260734,50,422821402,1
250,20260734,50,453068084,1
250,20260734,50,480217156,1
250,20260734,50,49876476,1
250,20260734,50,507775,1
250,20260734,50,51905353,1
250,20260734,50,52855516,1
250,20260734,50,5349565,1
250,20260734,50,60246359,1
250,20260734,50,619008516,1
250,20260734,50,6358188,1
250,20260734,50,6838921,1
250,20260734,50,6934395,1
250,20260734,50,75425073,1
250,20260734,50,911980,1
250,20260734,50,927442,1
250,20260734,50,9342529,1
250,20260735,10,11225014,1
250,20260735,10,138754790,1
250,20260735,10,16563587,1
250,20260735,10,17165658,1
250,20260735,10,302827809,1
250,20260735,10,334274271,1
250,20260735,10,453068084,1
250,20260735,10,507775,1
250,20260735,10,60246359,1
250,20260735,10,6838921,1
250,20260735,20,11225014,1
250,20260735,20,130688011,1
250,20260735,20,138754790,1
250,20260735,20,16563587,1
250,20260735,20,166515022,1
250,20260735,20,17165658,1
250,20260735,20,197814629,1
250,20260735,20,268163609,1
250,20260735,20,302827809,1
250,20260735,20,334274271,1
250,20260735,20,358917318,1
250,20260735,20,385634291,1
250,20260735,20,388946490,1
250,20260735,20,41986369,1
250,20260735,20,453068084,1
250,20260735,20,507775,1
250,20260735,20,60246359,1
250,20260735,20,619008516,1
250,20260735,20,6838921,1
250,20260735,20,6934395,1
250,20260735,50,105944401,1
250,20260735,50,11008207,1
250,20260735,50,11225014,1
250,20260735,50,114619105,1
250,20260735,50,11695619,1
250,20260735,50,130688011,1
250,20260735,50,138754790,1
250,20260735,50,150954997,1
250,20260735,50,156018,1
250,20260735,50,16563587,1
250,20260735,50,166515022,1
250,20260735,50,17165658,1
250,20260735,50,190416463,1
250,20260735,50,197814629,1
250,20260735,50,19961085,1
250,20260735,50,20300177,1
250,20260735,50,20587599,1
250,20260735,50,208728772,1
250,20260735,50,23096959,1
250,20260735,50,23357588,1
250,20260735,50,268163609,1
250,20260735,50,302827809,1
250,20260735,50,334274271,1
250,20260735,50,341631350,1
250,20260735,50,351806852,1
250,20260735,50,357707809,1
250,20260735,50,358917318,1
250,20260735,50,3786237,1
250,20260735,50,385634291,1
250,20260735,50,388946490,1
250,20260735,50,41986369,1
250,20260735,50,422821402,1
250,20260735,50,453068084,1
250,20260735,50,480217156,1
250,20260735,50,49876476,1
250,20260735,50,507775,1
250,20260735,50,510607652,1
250,20260735,50,51905353,1
250,20260735,50,52855516,1
250,20260735,50,5349565,1
250,20260735,50,546206616,1
250,20260735,50,60246359,1
250,20260735,50,619008516,1
250,20260735,50,6358188,1
250,20260735,50,6838921,1
250,20260735,50,6934395,1
250,20260735,50,7437073,1
250,20260735,50,79317191,1
250,20260735,50,911980,1
250,20260735,50,9342529,1
250,20260736,10,11225014,1
250,20260736,10,138754790,1
250,20260736,10,16563587,1
250,20260736,10,17165658,1
250,20260736,10,197814629,1
250,20260736,10,334274271,1
250,20260736,10,358917318,1
250,20260736,10,453068084,1
250,20260736,10,507775,1
250,20260736,10,60246359,1
250,20260736,20,11225014,1
250,20260736,20,114619105,1
250,20260736,20,138754790,1
250,20260736,20,156018,1
250,20260736,20,16563587,1
250,20260736,20,166515022,1
250,20260736,20,17165658,1
250,20260736,20,190416463,1
250,20260736,20,197814629,1
250,20260736,20,20587599,1
250,20260736,20,268163609,1
250,20260736,20,302827809,1
250,20260736,20,334274271,1
250,20260736,20,358917318,1
250,20260736,20,453068084,1
250,20260736,20,507775,1
250,20260736,20,546206616,1
250,20260736,20,60246359,1
250,20260736,20,6838921,1
250,20260736,20,6934395,1
250,20260736,50,105944401,1
250,20260736,50,11225014,1
250,20260736,50,114619105,1
250,20260736,50,11695619,1
250,20260736,50,130688011,1
250,20260736,50,138754790,1
250,20260736,50,150954997,1
250,20260736,50,156018,1
250,20260736,50,16563587,1
250,20260736,50,166515022,1
250,20260736,50,17165658,1
250,20260736,50,190416463,1
250,20260736,50,197814629,1
250,20260736,50,198683574,1
250,20260736,50,19961085,1
250,20260736,50,20587599,1
250,20260736,50,208728772,1
250,20260736,50,23096959,1
250,20260736,50,23357588,1
250,20260736,50,268163609,1
250,20260736,50,302827809,1
250,20260736,50,334274271,1
250,20260736,50,341631350,1
250,20260736,50,34533675,1
250,20260736,50,351806852,1
250,20260736,50,357707809,1
250,20260736,50,358917318,1
250,20260736,50,3786237,1
250,20260736,50,385634291,1
250,20260736,50,388946490,1
250,20260736,50,41986369,1
250,20260736,50,422821402,1
250,20260736,50,453068084,1
250,20260736,50,480217156,1
250,20260736,50,496817075,1
250,20260736,50,49876476,1
250,20260736,50,507775,1
250,20260736,50,510607652,1
250,20260736,50,51905353,1
250,20260736,50,52855516,1
250,20260736,50,542714,1
250,20260736,50,546206616,1
250,20260736,50,60246359,1
250,20260736,50,60377070,1
250,20260736,50,619008516,1
250,20260736,50,6358188,1
250,20260736,50,6838921,1
250,20260736,50,6934395,1
250,20260736,50,724712,1
250,20260736,50,9342529,1
250,20260737,10,11225014,1
250,20260737,10,138754790,1
250,20260737,10,16563587,1
250,20260737,10,17165658,1
250,20260737,10,268163609,1
250,20260737,10,334274271,1
250,20260737,10,358917318,1
250,20260737,10,453068084,1
250,20260737,10,507775,1
250,20260737,10,60246359,1
250,20260737,20,11225014,1
250,20260737,20,138754790,1
250,20260737,20,150954997,1
250,20260737,20,16563587,1
250,20260737,20,166515022,1
250,20260737,20,17165658,1
250,20260737,20,190416463,1
250,20260737,20,197814629,1
250,20260737,20,208728772,1
250,20260737,20,268163609,1
250,20260737,20,302827809,1
250,20260737,20,334274271,1
250,20260737,20,358917318,1
250,20260737,20,453068084,1
250,20260737,20,507775,1
250,20260737,20,60246359,1
250,20260737,20,619008516,1
250,20260737,20,6358188,1
250,20260737,20,6838921,1
250,20260737,20,6934395,1
250,20260737,50,105944401,1
250,20260737,50,11008207,1
250,20260737,50,11225014,1
250,20260737,50,114619105,1
250,20260737,50,130688011,1
250,20260737,50,138754790,1
250,20260737,50,150954997,1
250,20260737,50,156018,1
250,20260737,50,16563587,1
250,20260737,50,166515022,1
250,20260737,50,17165658,1
250,20260737,50,190416463,1
250,20260737,50,197814629,1
250,20260737,50,198683574,1
250,20260737,50,20300177,1
250,20260737,50,208728772,1
250,20260737,50,23096959,1
250,20260737,50,23357588,1
250,20260737,50,268163609,1
250,20260737,50,302827809,1
250,20260737,50,30449481,1
250,20260737,50,334274271,1
250,20260737,50,351806852,1
250,20260737,50,358917318,1
250,20260737,50,3786237,1
250,20260737,50,385634291,1
250,20260737,50,388946490,1
250,20260737,50,41986369,1
250,20260737,50,422821402,1
250,20260737,50,453068084,1
250,20260737,50,480217156,1
250,20260737,50,496817075,1
