referenced_entity_type,count,share
GitHub_Service_External_Links,1629357,0.4347180074694283
PullRequest,672019,0.1792969623364295
Actor,475663,0.1269085115090988
Issue,281662,0.0751483827177556
Commit,255013,0.0680383385831351
GitHub_Files_FileChanges,193400,0.0515997799405455
Repo,74475,0.0198701841317069
GitHub_GenSer_Other_Links,62645,0.0167138997640924
GitHub_Other_Service,32792,0.0087490174964341
Branch_Tag_GHDir,24105,0.0064312962537065
IssueComment,13355,0.0035631595713856
SHA,13126,0.0035020615899669
PullRequestReview,8076,0.0021547043578068
Gollum,5779,0.0015418569197332
PullRequestReviewComment,3775,0.0010071828814661
Release,1950,0.0005202666540023
Branch,581,0.0001550127825514
Tag,300,8.004102369267662e-05
CommitComment,5,1.3340170615446104e-06
