directed_edge,dimension,category,count,within_object_share
11008207->225690537,event_type,IssueCommentEvent,795,0.9900373599003736
11008207->225690537,event_type,IssuesEvent,5,0.0062266500622665
11008207->225690537,event_type,PullRequestEvent,1,0.0012453300124533001
11008207->225690537,event_type,PullRequestReviewCommentEvent,1,0.0012453300124533001
11008207->225690537,event_type,PullRequestReviewEvent,1,0.0012453300124533001
11008207->225690537,source_entity_type,Issue,5,0.0062266500622665
11008207->225690537,source_entity_type,IssueComment,795,0.9900373599003736
11008207->225690537,source_entity_type,PullRequest,1,0.0012453300124533001
11008207->225690537,source_entity_type,PullRequestReview,1,0.0012453300124533001
11008207->225690537,source_entity_type,PullRequestReviewComment,1,0.0012453300124533001
11008207->225690537,target_entity_type,GitHub_Files_FileChanges,7,0.008717310087173101
11008207->225690537,target_entity_type,Issue,1,0.0012453300124533001
11008207->225690537,target_entity_type,PullRequest,6,0.007471980074719801
11008207->225690537,target_entity_type,Release,1,0.0012453300124533001
11008207->225690537,target_entity_type,Repo,788,0.9813200498132005
11008207->27522271,event_type,PullRequestEvent,1,0.004329004329004329
11008207->27522271,event_type,PushEvent,230,0.9956709956709957
11008207->27522271,source_entity_type,PullRequest,1,0.004329004329004329
11008207->27522271,source_entity_type,Push,230,0.9956709956709957
11008207->27522271,target_entity_type,GitHub_GenSer_Other_Links,115,0.49783549783549785
11008207->27522271,target_entity_type,Repo,116,0.5021645021645021
11008207->276685482,event_type,IssueCommentEvent,785,1.0
11008207->276685482,source_entity_type,IssueComment,785,1.0
11008207->276685482,target_entity_type,Branch_Tag_GHDir,1,0.0012738853503184713
11008207->276685482,target_entity_type,Repo,784,0.9987261146496815
11225014->259445878,event_type,PullRequestEvent,40,0.17467248908296942
11225014->259445878,event_type,PullRequestReviewEvent,3,0.013100436681222707
11225014->259445878,event_type,PushEvent,186,0.8122270742358079
11225014->259445878,source_entity_type,PullRequest,40,0.17467248908296942
11225014->259445878,source_entity_type,PullRequestReview,3,0.013100436681222707
11225014->259445878,source_entity_type,Push,186,0.8122270742358079
11225014->259445878,target_entity_type,GitHub_Files_FileChanges,63,0.27510917030567683
11225014->259445878,target_entity_type,GitHub_GenSer_Other_Links,62,0.27074235807860264
11225014->259445878,target_entity_type,PullRequest,3,0.013100436681222707
11225014->259445878,target_entity_type,Release,1,0.004366812227074236
11225014->259445878,target_entity_type,Repo,99,0.43231441048034935
11225014->259445878,target_entity_type,Tag,1,0.004366812227074236
11695619->2045207,event_type,PullRequestEvent,1,0.00510204081632653
11695619->2045207,event_type,PushEvent,195,0.9948979591836735
11695619->2045207,source_entity_type,PullRequest,1,0.00510204081632653
11695619->2045207,source_entity_type,Push,195,0.9948979591836735
11695619->2045207,target_entity_type,GitHub_GenSer_Other_Links,195,0.9948979591836735
11695619->2045207,target_entity_type,Issue,1,0.00510204081632653
130688011->215108366,event_type,IssuesEvent,1,0.004878048780487805
130688011->215108366,event_type,PullRequestEvent,1,0.004878048780487805
130688011->215108366,event_type,PushEvent,203,0.9902439024390244
130688011->215108366,source_entity_type,Issue,1,0.004878048780487805
130688011->215108366,source_entity_type,PullRequest,1,0.004878048780487805
130688011->215108366,source_entity_type,Push,203,0.9902439024390244
130688011->215108366,target_entity_type,Commit,30,0.14634146341463414
130688011->215108366,target_entity_type,GitHub_GenSer_Other_Links,31,0.15121951219512195
130688011->215108366,target_entity_type,Issue,21,0.1024390243902439
130688011->215108366,target_entity_type,PullRequest,114,0.5560975609756098
130688011->215108366,target_entity_type,Repo,9,0.04390243902439024
130688011->241092383,event_type,PullRequestEvent,3,0.00847457627118644
130688011->241092383,event_type,PushEvent,351,0.9915254237288136
130688011->241092383,source_entity_type,PullRequest,3,0.00847457627118644
130688011->241092383,source_entity_type,Push,351,0.9915254237288136
130688011->241092383,target_entity_type,Commit,39,0.11016949152542373
130688011->241092383,target_entity_type,GitHub_GenSer_Other_Links,91,0.2570621468926554
130688011->241092383,target_entity_type,Issue,75,0.211864406779661
130688011->241092383,target_entity_type,PullRequest,120,0.3389830508474576
130688011->241092383,target_entity_type,Repo,29,0.08192090395480225
130688011->288485773,event_type,PullRequestEvent,1,0.004739336492890996
130688011->288485773,event_type,PushEvent,210,0.995260663507109
130688011->288485773,source_entity_type,PullRequest,1,0.004739336492890996
130688011->288485773,source_entity_type,Push,210,0.995260663507109
130688011->288485773,target_entity_type,Commit,30,0.14218009478672985
130688011->288485773,target_entity_type,GitHub_GenSer_Other_Links,57,0.27014218009478674
130688011->288485773,target_entity_type,Issue,6,0.02843601895734597
130688011->288485773,target_entity_type,PullRequest,108,0.5118483412322274
130688011->288485773,target_entity_type,Repo,10,0.04739336492890995
130688011->288487894,event_type,PullRequestEvent,1,0.003278688524590164
130688011->288487894,event_type,PullRequestReviewCommentEvent,1,0.003278688524590164
130688011->288487894,event_type,PushEvent,303,0.9934426229508196
130688011->288487894,source_entity_type,PullRequest,1,0.003278688524590164
130688011->288487894,source_entity_type,PullRequestReviewComment,1,0.003278688524590164
130688011->288487894,source_entity_type,Push,303,0.9934426229508196
130688011->288487894,target_entity_type,Commit,70,0.22950819672131148
130688011->288487894,target_entity_type,GitHub_GenSer_Other_Links,57,0.18688524590163935
130688011->288487894,target_entity_type,Issue,63,0.20655737704918034
130688011->288487894,target_entity_type,PullRequest,98,0.32131147540983607
130688011->288487894,target_entity_type,Repo,17,0.05573770491803279
130688011->298565987,event_type,PullRequestEvent,6,0.006944444444444444
130688011->298565987,event_type,PushEvent,858,0.9930555555555556
130688011->298565987,source_entity_type,PullRequest,6,0.006944444444444444
130688011->298565987,source_entity_type,Push,858,0.9930555555555556
130688011->298565987,target_entity_type,Commit,215,0.2488425925925926
130688011->298565987,target_entity_type,GitHub_Files_FileChanges,91,0.10532407407407407
130688011->298565987,target_entity_type,GitHub_GenSer_Other_Links,173,0.20023148148148148
130688011->298565987,target_entity_type,Issue,104,0.12037037037037036
130688011->298565987,target_entity_type,PullRequest,184,0.21296296296296297
130688011->298565987,target_entity_type,Repo,97,0.11226851851851852
130688011->306769011,event_type,PullRequestEvent,1,0.0013315579227696406
130688011->306769011,event_type,PushEvent,750,0.9986684420772304
130688011->306769011,source_entity_type,PullRequest,1,0.0013315579227696406
130688011->306769011,source_entity_type,Push,750,0.9986684420772304
130688011->306769011,target_entity_type,Commit,100,0.13315579227696406
130688011->306769011,target_entity_type,GitHub_Files_FileChanges,136,0.1810918774966711
130688011->306769011,target_entity_type,GitHub_GenSer_Other_Links,96,0.1278295605858855
130688011->306769011,target_entity_type,Issue,278,0.37017310252996005
130688011->306769011,target_entity_type,PullRequest,114,0.151797603195739
130688011->306769011,target_entity_type,Repo,27,0.03595206391478029
148087762->100656827,event_type,PullRequestEvent,1,0.004975124378109453
148087762->100656827,event_type,PushEvent,200,0.9950248756218906
148087762->100656827,source_entity_type,PullRequest,1,0.004975124378109453
148087762->100656827,source_entity_type,Push,200,0.9950248756218906
148087762->100656827,target_entity_type,Commit,20,0.09950248756218906
148087762->100656827,target_entity_type,GitHub_Files_FileChanges,2,0.009950248756218905
148087762->100656827,target_entity_type,GitHub_GenSer_Other_Links,14,0.06965174129353234
148087762->100656827,target_entity_type,Issue,42,0.208955223880597
148087762->100656827,target_entity_type,PullRequest,120,0.5970149253731343
148087762->100656827,target_entity_type,Repo,3,0.014925373134328358
148087762->137444487,event_type,PullRequestEvent,4,0.015748031496062992
148087762->137444487,event_type,PushEvent,250,0.984251968503937
148087762->137444487,source_entity_type,PullRequest,4,0.015748031496062992
148087762->137444487,source_entity_type,Push,250,0.984251968503937
148087762->137444487,target_entity_type,Commit,70,0.2755905511811024
148087762->137444487,target_entity_type,GitHub_Files_FileChanges,8,0.031496062992125984
148087762->137444487,target_entity_type,GitHub_GenSer_Other_Links,8,0.031496062992125984
148087762->137444487,target_entity_type,Issue,134,0.5275590551181102
148087762->137444487,target_entity_type,PullRequest,24,0.09448818897637795
148087762->137444487,target_entity_type,Repo,10,0.03937007874015748
148087762->205564111,event_type,PullRequestEvent,5,0.008431703204047217
148087762->205564111,event_type,PushEvent,588,0.9915682967959528
148087762->205564111,source_entity_type,PullRequest,5,0.008431703204047217
148087762->205564111,source_entity_type,Push,588,0.9915682967959528
148087762->205564111,target_entity_type,Commit,60,0.10118043844856661
148087762->205564111,target_entity_type,GitHub_Files_FileChanges,6,0.01011804384485666
148087762->205564111,target_entity_type,GitHub_GenSer_Other_Links,6,0.01011804384485666
148087762->205564111,target_entity_type,Issue,514,0.866779089376054
148087762->205564111,target_entity_type,Repo,7,0.011804384485666104
148087762->241268229,event_type,PullRequestEvent,2,0.004608294930875576
148087762->241268229,event_type,PushEvent,432,0.9953917050691244
148087762->241268229,source_entity_type,PullRequest,2,0.004608294930875576
148087762->241268229,source_entity_type,Push,432,0.9953917050691244
148087762->241268229,target_entity_type,Commit,60,0.1382488479262673
148087762->241268229,target_entity_type,GitHub_Files_FileChanges,13,0.029953917050691243
148087762->241268229,target_entity_type,GitHub_GenSer_Other_Links,42,0.0967741935483871
148087762->241268229,target_entity_type,Issue,72,0.16589861751152074
148087762->241268229,target_entity_type,PullRequest,240,0.5529953917050692
148087762->241268229,target_entity_type,Repo,7,0.016129032258064516
16563587->125238132,event_type,IssueCommentEvent,1118,1.0
16563587->125238132,source_entity_type,IssueComment,1118,1.0
16563587->125238132,target_entity_type,Repo,1118,1.0
16563587->133411492,event_type,IssueCommentEvent,237,1.0
16563587->133411492,source_entity_type,IssueComment,237,1.0
16563587->133411492,target_entity_type,Gollum,237,1.0
16563587->141339868,event_type,IssueCommentEvent,100,0.16722408026755853
16563587->141339868,event_type,IssuesEvent,19,0.03177257525083612
16563587->141339868,event_type,PullRequestEvent,31,0.051839464882943144
16563587->141339868,event_type,PullRequestReviewCommentEvent,6,0.010033444816053512
16563587->141339868,event_type,PullRequestReviewEvent,19,0.03177257525083612
16563587->141339868,event_type,PushEvent,423,0.7073578595317725
16563587->141339868,source_entity_type,Issue,19,0.03177257525083612
16563587->141339868,source_entity_type,IssueComment,100,0.16722408026755853
16563587->141339868,source_entity_type,PullRequest,31,0.051839464882943144
16563587->141339868,source_entity_type,PullRequestReview,19,0.03177257525083612
16563587->141339868,source_entity_type,PullRequestReviewComment,6,0.010033444816053512
16563587->141339868,source_entity_type,Push,423,0.7073578595317725
16563587->141339868,target_entity_type,Branch,1,0.0016722408026755853
16563587->141339868,target_entity_type,Commit,2,0.0033444816053511705
16563587->141339868,target_entity_type,GitHub_Files_FileChanges,42,0.07023411371237458
16563587->141339868,target_entity_type,GitHub_GenSer_Other_Links,1,0.0016722408026755853
16563587->141339868,target_entity_type,Issue,280,0.4682274247491639
16563587->141339868,target_entity_type,IssueComment,22,0.03678929765886288
16563587->141339868,target_entity_type,PullRequest,250,0.4180602006688963
16563587->571342238,event_type,IssueCommentEvent,39,0.14285714285714285
16563587->571342238,event_type,IssuesEvent,11,0.040293040293040296
16563587->571342238,event_type,PullRequestEvent,14,0.05128205128205128
16563587->571342238,event_type,PullRequestReviewCommentEvent,2,0.007326007326007326
16563587->571342238,event_type,PullRequestReviewEvent,4,0.014652014652014652
16563587->571342238,event_type,PushEvent,203,0.7435897435897436
16563587->571342238,source_entity_type,Issue,11,0.040293040293040296
16563587->571342238,source_entity_type,IssueComment,39,0.14285714285714285
16563587->571342238,source_entity_type,PullRequest,14,0.05128205128205128
16563587->571342238,source_entity_type,PullRequestReview,4,0.014652014652014652
16563587->571342238,source_entity_type,PullRequestReviewComment,2,0.007326007326007326
16563587->571342238,source_entity_type,Push,203,0.7435897435897436
16563587->571342238,target_entity_type,Commit,1,0.003663003663003663
16563587->571342238,target_entity_type,GitHub_Files_FileChanges,54,0.1978021978021978
16563587->571342238,target_entity_type,GitHub_GenSer_Other_Links,22,0.08058608058608059
