source_project_id,dimension,category,count,within_object_share
11008207,event_type,IssueCommentEvent,2475,0.09648370497427101
11008207,event_type,IssuesEvent,502,0.019569624200842038
11008207,event_type,PullRequestEvent,2485,0.09687353812568221
11008207,event_type,PullRequestReviewCommentEvent,329,0.012825510681428348
11008207,event_type,PullRequestReviewEvent,80,0.003118665211289568
11008207,event_type,PushEvent,19457,0.7584983627007641
11008207,event_type,ReleaseEvent,324,0.01263059410572275
11008207,source_entity_type,Issue,502,0.019569624200842038
11008207,source_entity_type,IssueComment,2475,0.09648370497427101
11008207,source_entity_type,PullRequest,2485,0.09687353812568221
11008207,source_entity_type,PullRequestReview,80,0.003118665211289568
11008207,source_entity_type,PullRequestReviewComment,329,0.012825510681428348
11008207,source_entity_type,Push,19457,0.7584983627007641
11008207,source_entity_type,Release,324,0.01263059410572275
11225014,event_type,IssueCommentEvent,2122,0.2991681939940787
11225014,event_type,IssuesEvent,791,0.11151839842097842
11225014,event_type,PullRequestEvent,1941,0.2736500775412378
11225014,event_type,PullRequestReviewCommentEvent,428,0.06034118144649655
11225014,event_type,PullRequestReviewEvent,88,0.01240659805441985
11225014,event_type,PushEvent,1687,0.23784012406598054
11225014,event_type,ReleaseEvent,36,0.005075426476808121
11225014,source_entity_type,Issue,791,0.11151839842097842
11225014,source_entity_type,IssueComment,2122,0.2991681939940787
11225014,source_entity_type,PullRequest,1941,0.2736500775412378
11225014,source_entity_type,PullRequestReview,88,0.01240659805441985
11225014,source_entity_type,PullRequestReviewComment,428,0.06034118144649655
11225014,source_entity_type,Push,1687,0.23784012406598054
11225014,source_entity_type,Release,36,0.005075426476808121
114619105,event_type,CommitCommentEvent,1,0.00011717834544176236
114619105,event_type,IssueCommentEvent,594,0.06960393719240685
114619105,event_type,IssuesEvent,308,0.03609093039606281
114619105,event_type,PullRequestEvent,909,0.106515116006562
114619105,event_type,PullRequestReviewCommentEvent,182,0.02132645887040075
114619105,event_type,PullRequestReviewEvent,16,0.0018748535270681978
114619105,event_type,PushEvent,6524,0.7644715256620577
114619105,source_entity_type,CommitComment,1,0.00011717834544176236
