target_project_id,dimension,category,count,within_object_share
105088940,event_type,IssueCommentEvent,614,0.5825426944971537
105088940,event_type,PullRequestEvent,440,0.4174573055028463
105088940,source_entity_type,IssueComment,614,0.5825426944971537
105088940,source_entity_type,PullRequest,440,0.4174573055028463
105088940,target_entity_type,Repo,1054,1.0
1064563,event_type,IssueCommentEvent,9,0.010356731875719217
1064563,event_type,IssuesEvent,3,0.0034522439585730723
1064563,event_type,PullRequestEvent,71,0.08170310701956271
1064563,event_type,PullRequestReviewCommentEvent,5,0.005753739930955121
1064563,event_type,PullRequestReviewEvent,2,0.0023014959723820483
1064563,event_type,PushEvent,779,0.8964326812428078
1064563,source_entity_type,Issue,3,0.0034522439585730723
1064563,source_entity_type,IssueComment,9,0.010356731875719217
1064563,source_entity_type,PullRequest,71,0.08170310701956271
1064563,source_entity_type,PullRequestReview,2,0.0023014959723820483
1064563,source_entity_type,PullRequestReviewComment,5,0.005753739930955121
1064563,source_entity_type,Push,779,0.8964326812428078
1064563,target_entity_type,Commit,40,0.04602991944764097
1064563,target_entity_type,GitHub_Files_FileChanges,12,0.01380897583429229
1064563,target_entity_type,GitHub_GenSer_Other_Links,650,0.7479861910241657
1064563,target_entity_type,Issue,24,0.02761795166858458
1064563,target_entity_type,IssueComment,1,0.0011507479861910242
1064563,target_entity_type,PullRequest,25,0.028768699654775604
1064563,target_entity_type,Repo,115,0.1323360184119678
1064563,target_entity_type,Tag,2,0.0023014959723820483
125238132,event_type,IssueCommentEvent,1118,1.0
125238132,source_entity_type,IssueComment,1118,1.0
125238132,target_entity_type,Repo,1118,1.0
13258039,event_type,PullRequestEvent,8,0.011764705882352941
13258039,event_type,PushEvent,672,0.9882352941176471
13258039,source_entity_type,PullRequest,8,0.011764705882352941
13258039,source_entity_type,Push,672,0.9882352941176471
13258039,target_entity_type,Commit,100,0.14705882352941177
13258039,target_entity_type,GitHub_Files_FileChanges,14,0.020588235294117647
13258039,target_entity_type,GitHub_GenSer_Other_Links,39,0.057352941176470586
13258039,target_entity_type,Issue,510,0.75
13258039,target_entity_type,Repo,17,0.025
141339868,event_type,IssueCommentEvent,104,0.17218543046357615
141339868,event_type,IssuesEvent,20,0.033112582781456956
141339868,event_type,PullRequestEvent,31,0.05132450331125828
141339868,event_type,PullRequestReviewCommentEvent,7,0.011589403973509934
141339868,event_type,PullRequestReviewEvent,19,0.03145695364238411
141339868,event_type,PushEvent,423,0.7003311258278145
141339868,source_entity_type,Issue,20,0.033112582781456956
141339868,source_entity_type,IssueComment,104,0.17218543046357615
141339868,source_entity_type,PullRequest,31,0.05132450331125828
141339868,source_entity_type,PullRequestReview,19,0.03145695364238411
141339868,source_entity_type,PullRequestReviewComment,7,0.011589403973509934
141339868,source_entity_type,Push,423,0.7003311258278145
141339868,target_entity_type,Branch,1,0.0016556291390728477
141339868,target_entity_type,Commit,2,0.0033112582781456954
141339868,target_entity_type,GitHub_Files_FileChanges,45,0.07450331125827815
141339868,target_entity_type,GitHub_GenSer_Other_Links,1,0.0016556291390728477
141339868,target_entity_type,Issue,280,0.46357615894039733
141339868,target_entity_type,IssueComment,23,0.0380794701986755
141339868,target_entity_type,PullRequest,251,0.4155629139072848
141339868,target_entity_type,Repo,1,0.0016556291390728477
166282681,event_type,IssueCommentEvent,835,0.9988038277511961
166282681,event_type,PullRequestReviewCommentEvent,1,0.0011961722488038277
166282681,source_entity_type,IssueComment,835,0.9988038277511961
166282681,source_entity_type,PullRequestReviewComment,1,0.0011961722488038277
166282681,target_entity_type,GitHub_Files_FileChanges,1,0.0011961722488038277
166282681,target_entity_type,GitHub_GenSer_Other_Links,414,0.49521531100478466
166282681,target_entity_type,Repo,421,0.5035885167464115
168736310,event_type,IssueCommentEvent,2084,0.9572806614607258
168736310,event_type,IssuesEvent,19,0.008727606798346348
168736310,event_type,PullRequestEvent,35,0.01607717041800643
168736310,event_type,PullRequestReviewCommentEvent,35,0.01607717041800643
168736310,event_type,PullRequestReviewEvent,4,0.0018373909049150207
168736310,source_entity_type,Issue,19,0.008727606798346348
168736310,source_entity_type,IssueComment,2084,0.9572806614607258
168736310,source_entity_type,PullRequest,35,0.01607717041800643
168736310,source_entity_type,PullRequestReview,4,0.0018373909049150207
168736310,source_entity_type,PullRequestReviewComment,35,0.01607717041800643
168736310,target_entity_type,Commit,1,0.00045934772622875517
168736310,target_entity_type,GitHub_Files_FileChanges,57,0.026182820395039046
168736310,target_entity_type,GitHub_GenSer_Other_Links,2,0.0009186954524575103
168736310,target_entity_type,Issue,71,0.032613688562241616
168736310,target_entity_type,IssueComment,3,0.0013780431786862655
168736310,target_entity_type,PullRequest,39,0.017914561322921452
168736310,target_entity_type,PullRequestReviewComment,1,0.00045934772622875517
168736310,target_entity_type,Repo,2003,0.9200734956361966
197814629,event_type,IssueCommentEvent,6,0.008670520231213872
197814629,event_type,PullRequestEvent,56,0.08092485549132948
197814629,event_type,PullRequestReviewCommentEvent,2,0.002890173410404624
197814629,event_type,PushEvent,628,0.9075144508670521
197814629,source_entity_type,IssueComment,6,0.008670520231213872
197814629,source_entity_type,PullRequest,56,0.08092485549132948
197814629,source_entity_type,PullRequestReviewComment,2,0.002890173410404624
197814629,source_entity_type,Push,628,0.9075144508670521
197814629,target_entity_type,Commit,30,0.04335260115606936
197814629,target_entity_type,GitHub_Files_FileChanges,114,0.16473988439306358
197814629,target_entity_type,GitHub_GenSer_Other_Links,139,0.20086705202312138
197814629,target_entity_type,Issue,37,0.05346820809248555
197814629,target_entity_type,IssueComment,1,0.001445086705202312
197814629,target_entity_type,PullRequest,203,0.29335260115606937
197814629,target_entity_type,Release,1,0.001445086705202312
197814629,target_entity_type,Repo,167,0.24132947976878613
205564111,event_type,PullRequestEvent,13,0.021311475409836064
205564111,event_type,PushEvent,597,0.978688524590164
205564111,source_entity_type,PullRequest,13,0.021311475409836064
205564111,source_entity_type,Push,597,0.978688524590164
205564111,target_entity_type,Commit,60,0.09836065573770492
205564111,target_entity_type,GitHub_Files_FileChanges,9,0.014754098360655738
205564111,target_entity_type,GitHub_GenSer_Other_Links,9,0.014754098360655738
205564111,target_entity_type,Issue,518,0.8491803278688524
205564111,target_entity_type,Repo,14,0.022950819672131147
225690537,event_type,IssueCommentEvent,795,0.9900373599003736
225690537,event_type,IssuesEvent,5,0.0062266500622665
225690537,event_type,PullRequestEvent,1,0.0012453300124533001
225690537,event_type,PullRequestReviewCommentEvent,1,0.0012453300124533001
225690537,event_type,PullRequestReviewEvent,1,0.0012453300124533001
225690537,source_entity_type,Issue,5,0.0062266500622665
225690537,source_entity_type,IssueComment,795,0.9900373599003736
225690537,source_entity_type,PullRequest,1,0.0012453300124533001
225690537,source_entity_type,PullRequestReview,1,0.0012453300124533001
225690537,source_entity_type,PullRequestReviewComment,1,0.0012453300124533001
225690537,target_entity_type,GitHub_Files_FileChanges,7,0.008717310087173101
225690537,target_entity_type,Issue,1,0.0012453300124533001
225690537,target_entity_type,PullRequest,6,0.007471980074719801
225690537,target_entity_type,Release,1,0.0012453300124533001
225690537,target_entity_type,Repo,788,0.9813200498132005
23357588,event_type,IssueCommentEvent,8,0.014545454545454545
23357588,event_type,IssuesEvent,2,0.0036363636363636364
23357588,event_type,PullRequestEvent,37,0.06727272727272728
23357588,event_type,PullRequestReviewCommentEvent,10,0.01818181818181818
23357588,event_type,PushEvent,493,0.8963636363636364
23357588,source_entity_type,Issue,2,0.0036363636363636364
23357588,source_entity_type,IssueComment,8,0.014545454545454545
23357588,source_entity_type,PullRequest,37,0.06727272727272728
23357588,source_entity_type,PullRequestReviewComment,10,0.01818181818181818
23357588,source_entity_type,Push,493,0.8963636363636364
23357588,target_entity_type,Commit,108,0.19636363636363635
23357588,target_entity_type,GitHub_Files_FileChanges,126,0.2290909090909091
23357588,target_entity_type,GitHub_GenSer_Other_Links,131,0.2381818181818182
23357588,target_entity_type,Issue,64,0.11636363636363636
23357588,target_entity_type,PullRequest,9,0.016363636363636365
23357588,target_entity_type,Release,13,0.023636363636363636
23357588,target_entity_type,Repo,99,0.18
27522271,event_type,IssueCommentEvent,3,0.004694835680751174
27522271,event_type,IssuesEvent,1,0.001564945226917058
27522271,event_type,PullRequestEvent,98,0.15336463223787167
27522271,event_type,PushEvent,537,0.8403755868544601
