dimension,dimension_value,eligible_edge_class,count,overall_eligible_share,within_dimension_share,within_edge_class_share,unit
source_entity_type,CommitComment,CROSS_PROJECT,28,1.7653174387513658e-05,0.0015437203660822582,0.00020137510428353615,REFERENCE_RECORD
source_entity_type,CommitComment,SELF_LOOP,18110,0.011417821005638297,0.9984562796339177,0.012514918044908584,REFERENCE_RECORD
source_entity_type,Issue,CROSS_PROJECT,4317,0.0027217412082463023,0.03908768244540219,0.031047725899715196,REFERENCE_RECORD
source_entity_type,Issue,SELF_LOOP,106127,0.06690994422227364,0.9609123175545978,0.07333907826350157,REFERENCE_RECORD
source_entity_type,IssueComment,CROSS_PROJECT,60177,0.03793982411133605,0.1342790009572709,0.4327910589453698,REFERENCE_RECORD
source_entity_type,IssueComment,SELF_LOOP,387972,0.2446049061954446,0.8657209990427291,0.26810810511978317,REFERENCE_RECORD
source_entity_type,PullRequest,CROSS_PROJECT,15326,0.009662591095108369,0.102703970514324,0.11022410172319554,REFERENCE_RECORD
source_entity_type,PullRequest,SELF_LOOP,133899,0.08441937133263183,0.897296029485676,0.09253092276616315,REFERENCE_RECORD
source_entity_type,PullRequestReview,CROSS_PROJECT,876,0.0005522921701236415,0.03314917127071823,0.0063001639768706305,REFERENCE_RECORD
source_entity_type,PullRequestReview,SELF_LOOP,25550,0.016108521628606213,0.9668508287292817,0.017656331090414926,REFERENCE_RECORD
source_entity_type,PullRequestReviewComment,CROSS_PROJECT,4881,0.0030773265780519345,0.17872574148663492,0.03510399585742643,REFERENCE_RECORD
source_entity_type,PullRequestReviewComment,SELF_LOOP,22429,0.01414082315491228,0.8212742585133651,0.015499563601836259,REFERENCE_RECORD
source_entity_type,Push,CROSS_PROJECT,53171,0.033522747691374595,0.07082620133870592,0.382404131066425,REFERENCE_RECORD
source_entity_type,Push,SELF_LOOP,697554,0.43978722881098936,0.9291737986612941,0.482044789723808,REFERENCE_RECORD
source_entity_type,Release,CROSS_PROJECT,268,0.0001689660977090593,0.0048114901256732494,0.001927447426713846,REFERENCE_RECORD
source_entity_type,Release,SELF_LOOP,55432,0.03494824152316632,0.9951885098743267,0.03830629138958436,REFERENCE_RECORD
