dimension,dimension_value,eligible_edge_class,count,overall_eligible_share,within_dimension_share,within_edge_class_share,unit
target_entity_type,Branch,CROSS_PROJECT,332,0.0002093162105948048,0.5714285714285714,0.0023877333793619285,REFERENCE_RECORD
target_entity_type,Branch,SELF_LOOP,249,0.0001569871579461036,0.42857142857142855,0.00017207148499073647,REFERENCE_RECORD
target_entity_type,Branch_Tag_GHDir,CROSS_PROJECT,1465,0.0009236393027752682,0.060841397067984554,0.010536233134835015,REFERENCE_RECORD
target_entity_type,Branch_Tag_GHDir,SELF_LOOP,22614,0.014257460199972637,0.9391586029320155,0.015627407877833392,REFERENCE_RECORD
target_entity_type,Commit,CROSS_PROJECT,10436,0.006579590282431876,0.0409463648134343,0.07505537815367798,REFERENCE_RECORD
target_entity_type,Commit,SELF_LOOP,244434,0.1541084295799112,0.9590536351865657,0.1689161500490991,REFERENCE_RECORD
target_entity_type,CommitComment,CROSS_PROJECT,1,6.304705138397735e-07,0.2,7.191968010126291e-06,REFERENCE_RECORD
target_entity_type,CommitComment,SELF_LOOP,4,2.521882055359094e-06,0.8,2.7642005621001844e-06,REFERENCE_RECORD
target_entity_type,GitHub_Files_FileChanges,CROSS_PROJECT,15916,0.010034568698273835,0.08240739781917593,0.11446736284917004,REFERENCE_RECORD
target_entity_type,GitHub_Files_FileChanges,SELF_LOOP,177222,0.11173324540371234,0.9175926021808241,0.12246928800412972,REFERENCE_RECORD
target_entity_type,GitHub_GenSer_Other_Links,CROSS_PROJECT,14758,0.009304483843247377,0.2631503869334189,0.1061390638934438,REFERENCE_RECORD
target_entity_type,GitHub_GenSer_Other_Links,SELF_LOOP,41324,0.026053563513914798,0.736849613066581,0.028556956007057006,REFERENCE_RECORD
target_entity_type,Gollum,CROSS_PROJECT,504,0.00031775713897524586,0.08849868305531168,0.003624751877103651,REFERENCE_RECORD
target_entity_type,Gollum,SELF_LOOP,5191,0.003272772437342264,0.9115013169446883,0.0035872412794655142,REFERENCE_RECORD
target_entity_type,Issue,CROSS_PROJECT,10944,0.006899869303462481,0.03920276253385107,0.07870889790282212,REFERENCE_RECORD
target_entity_type,Issue,SELF_LOOP,268220,0.16910480122210406,0.960797237466149,0.18535346869162786,REFERENCE_RECORD
target_entity_type,IssueComment,CROSS_PROJECT,627,0.000395305012177538,0.04739229024943311,0.0045093639423491845,REFERENCE_RECORD
target_entity_type,IssueComment,SELF_LOOP,12603,0.007945819885922665,0.9526077097505669,0.008709304921037156,REFERENCE_RECORD
target_entity_type,PullRequest,CROSS_PROJECT,13687,0.00862924992292498,0.02039156209168828,0.09843646615459854,REFERENCE_RECORD
target_entity_type,PullRequest,SELF_LOOP,657522,0.4145482332009555,0.9796084379083118,0.4543806704983093,REFERENCE_RECORD
target_entity_type,PullRequestReview,CROSS_PROJECT,10,6.304705138397735e-06,0.0012385434728758979,7.19196801012629e-05,REFERENCE_RECORD
target_entity_type,PullRequestReview,SELF_LOOP,8064,0.005084114223603934,0.9987614565271241,0.005572628333193971,REFERENCE_RECORD
target_entity_type,PullRequestReviewComment,CROSS_PROJECT,79,4.9807170593342105e-05,0.02109479305740988,0.0005681654727999769,REFERENCE_RECORD
target_entity_type,PullRequestReviewComment,SELF_LOOP,3666,0.0023113049037366096,0.9789052069425901,0.002533389815164819,REFERENCE_RECORD
target_entity_type,Release,CROSS_PROJECT,904,0.0005699453445111553,0.4638276038994356,0.006501539081154167,REFERENCE_RECORD
target_entity_type,Release,SELF_LOOP,1045,0.0006588416869625633,0.5361723961005644,0.0007221473968486732,REFERENCE_RECORD
target_entity_type,Repo,CROSS_PROJECT,69178,0.04361468920640785,0.9348883723444511,0.49752596300451657,REFERENCE_RECORD
target_entity_type,Repo,SELF_LOOP,4818,0.0030376069356800287,0.06511162765554895,0.003329479577049672,REFERENCE_RECORD
target_entity_type,Tag,CROSS_PROJECT,203,0.00012798551430947403,0.6766666666666666,0.001459969506055637,REFERENCE_RECORD
target_entity_type,Tag,SELF_LOOP,97,6.115563984245802e-05,0.3233333333333333,6.703186363092947e-05,REFERENCE_RECORD
