project_id,dimension,dimension_value,count,within_project_share
11008207,target_entity_type,Branch,1,3.89833151411196e-05
11008207,target_entity_type,Branch_Tag_GHDir,81,0.0031576485264306875
11008207,target_entity_type,Commit,1038,0.040464681116482146
11008207,target_entity_type,GitHub_Files_FileChanges,693,0.027015437392795882
11008207,target_entity_type,GitHub_GenSer_Other_Links,283,0.011032278184936847
11008207,target_entity_type,Issue,1502,0.05855293934196164
11008207,target_entity_type,IssueComment,55,0.002144082332761578
11008207,target_entity_type,PullRequest,20168,0.7862154997661001
11008207,target_entity_type,PullRequestReview,6,0.0002338998908467176
11008207,target_entity_type,PullRequestReviewComment,32,0.0012474660845158273
11008207,target_entity_type,Release,10,0.000389833151411196
11008207,target_entity_type,Repo,1779,0.06935131763605178
11008207,target_entity_type,Tag,4,0.0001559332605644784
11225014,target_entity_type,Branch,5,0.0007049203440011279
11225014,target_entity_type,Branch_Tag_GHDir,50,0.007049203440011279
11225014,target_entity_type,Commit,231,0.03256731989285211
11225014,target_entity_type,GitHub_Files_FileChanges,1656,0.23346961793317356
11225014,target_entity_type,GitHub_GenSer_Other_Links,574,0.08092485549132948
11225014,target_entity_type,Gollum,4,0.0005639362752009023
11225014,target_entity_type,Issue,990,0.1395742281122233
11225014,target_entity_type,IssueComment,246,0.03468208092485549
11225014,target_entity_type,PullRequest,2529,0.3565487099957705
11225014,target_entity_type,PullRequestReview,5,0.0007049203440011279
11225014,target_entity_type,PullRequestReviewComment,83,0.011701677710418723
11225014,target_entity_type,Release,49,0.006908219371211053
11225014,target_entity_type,Repo,669,0.09431834202735091
11225014,target_entity_type,Tag,2,0.00028196813760045117
114619105,target_entity_type,Branch,2,0.00023435669088352472
114619105,target_entity_type,Branch_Tag_GHDir,17,0.00199203187250996
114619105,target_entity_type,Commit,525,0.061518631356925244
114619105,target_entity_type,GitHub_Files_FileChanges,331,0.03878603234122334
114619105,target_entity_type,GitHub_GenSer_Other_Links,639,0.07487696273728615
114619105,target_entity_type,Gollum,3,0.0003515350363252871
114619105,target_entity_type,Issue,2757,0.3230606983829388
114619105,target_entity_type,IssueComment,44,0.005155847199437544
114619105,target_entity_type,PullRequest,4001,0.4688305601124912
114619105,target_entity_type,PullRequestReviewComment,36,0.004218420435903445
114619105,target_entity_type,Release,100,0.011717834544176237
114619105,target_entity_type,Repo,61,0.007147879071947504
114619105,target_entity_type,Tag,18,0.0021092102179517225
11695619,target_entity_type,Branch,1,0.0004768717215069146
11695619,target_entity_type,Branch_Tag_GHDir,4,0.0019074868860276585
11695619,target_entity_type,Commit,61,0.029089175011921792
11695619,target_entity_type,GitHub_Files_FileChanges,146,0.06962327134000953
11695619,target_entity_type,GitHub_GenSer_Other_Links,587,0.2799237005245589
11695619,target_entity_type,Issue,159,0.07582260371959942
11695619,target_entity_type,IssueComment,12,0.005722460658082976
11695619,target_entity_type,PullRequest,694,0.33094897472579876
11695619,target_entity_type,PullRequestReview,1,0.0004768717215069146
11695619,target_entity_type,PullRequestReviewComment,5,0.002384358607534573
11695619,target_entity_type,Release,3,0.001430615164520744
11695619,target_entity_type,Repo,423,0.2017167381974249
11695619,target_entity_type,Tag,1,0.0004768717215069146
130688011,target_entity_type,Branch,5,0.0004623208506703652
130688011,target_entity_type,Branch_Tag_GHDir,2,0.0001849283402681461
130688011,target_entity_type,Commit,813,0.07517337031900138
130688011,target_entity_type,GitHub_Files_FileChanges,392,0.036245954692556634
130688011,target_entity_type,GitHub_GenSer_Other_Links,2960,0.2736939435968562
130688011,target_entity_type,Issue,2090,0.19325011558021266
130688011,target_entity_type,IssueComment,71,0.006564956079519187
130688011,target_entity_type,PullRequest,3914,0.3619047619047619
130688011,target_entity_type,PullRequestReview,1,9.246417013407305e-05
130688011,target_entity_type,PullRequestReviewComment,26,0.002404068423485899
130688011,target_entity_type,Release,68,0.0062875635691169674
130688011,target_entity_type,Repo,442,0.04086916319926029
130688011,target_entity_type,Tag,31,0.0028663892741562645
138754790,target_entity_type,Branch,8,0.0011851851851851852
138754790,target_entity_type,Branch_Tag_GHDir,22,0.003259259259259259
138754790,target_entity_type,Commit,178,0.02637037037037037
138754790,target_entity_type,GitHub_Files_FileChanges,396,0.058666666666666666
138754790,target_entity_type,GitHub_GenSer_Other_Links,411,0.06088888888888889
138754790,target_entity_type,Gollum,2,0.0002962962962962963
138754790,target_entity_type,Issue,2039,0.30207407407407405
138754790,target_entity_type,IssueComment,77,0.011407407407407408
138754790,target_entity_type,PullRequest,3427,0.5077037037037037
138754790,target_entity_type,PullRequestReview,1,0.00014814814814814815
138754790,target_entity_type,PullRequestReviewComment,8,0.0011851851851851852
138754790,target_entity_type,Release,6,0.0008888888888888889
138754790,target_entity_type,Repo,172,0.02548148148148148
138754790,target_entity_type,Tag,3,0.00044444444444444447
148087762,target_entity_type,Branch_Tag_GHDir,2,0.0005108556832694764
148087762,target_entity_type,Commit,351,0.0896551724137931
148087762,target_entity_type,GitHub_Files_FileChanges,93,0.02375478927203065
148087762,target_entity_type,GitHub_GenSer_Other_Links,127,0.03243933588761175
148087762,target_entity_type,Issue,979,0.25006385696040867
148087762,target_entity_type,IssueComment,2,0.0005108556832694764
148087762,target_entity_type,PullRequest,2264,0.5782886334610473
148087762,target_entity_type,PullRequestReviewComment,1,0.0002554278416347382
148087762,target_entity_type,Repo,87,0.022222222222222223
148087762,target_entity_type,Tag,9,0.0022988505747126436
150954997,target_entity_type,Branch,44,0.003144878850689729
150954997,target_entity_type,Branch_Tag_GHDir,35,0.002501608176685012
150954997,target_entity_type,Commit,3014,0.21542420127224646
150954997,target_entity_type,GitHub_Files_FileChanges,707,0.05053248516903724
150954997,target_entity_type,GitHub_GenSer_Other_Links,772,0.05517832892573797
150954997,target_entity_type,Gollum,40,0.002858980773354299
150954997,target_entity_type,Issue,3999,0.28582660281609606
150954997,target_entity_type,IssueComment,330,0.02358659138017297
150954997,target_entity_type,PullRequest,4542,0.32463726681438065
150954997,target_entity_type,PullRequestReview,3,0.00021442355800157243
150954997,target_entity_type,PullRequestReviewComment,8,0.0005717961546708598
150954997,target_entity_type,Release,263,0.01879779858480452
150954997,target_entity_type,Repo,222,0.01586734329211636
150954997,target_entity_type,Tag,12,0.0008576942320062897
16563587,target_entity_type,Branch,50,0.0001286335769653281
16563587,target_entity_type,Branch_Tag_GHDir,21277,0.05473873234182572
16563587,target_entity_type,Commit,32513,0.08364526975747426
16563587,target_entity_type,GitHub_Files_FileChanges,90050,0.23166907211455592
16563587,target_entity_type,GitHub_GenSer_Other_Links,1827,0.004700270902313089
16563587,target_entity_type,Gollum,266,0.0006843306294555456
16563587,target_entity_type,Issue,151706,0.3902897085420413
16563587,target_entity_type,IssueComment,1097,0.0028222206786192986
16563587,target_entity_type,PullRequest,88321,0.22722092302309488
16563587,target_entity_type,PullRequestReview,186,0.00047851690631102055
16563587,target_entity_type,PullRequestReviewComment,50,0.0001286335769653281
16563587,target_entity_type,Release,2,5.145343078613124e-06
16563587,target_entity_type,Repo,1328,0.0034165078041991145
16563587,target_entity_type,Tag,28,7.203480310058374e-05
166515022,target_entity_type,Branch,5,0.0005926277112717791
166515022,target_entity_type,Branch_Tag_GHDir,26,0.0030816640986132513
166515022,target_entity_type,Commit,358,0.04243214412705938
166515022,target_entity_type,GitHub_Files_FileChanges,2183,0.25874125874125875
166515022,target_entity_type,GitHub_GenSer_Other_Links,1393,0.16510608036031765
166515022,target_entity_type,Gollum,9,0.0010667298802892024
166515022,target_entity_type,Issue,1498,0.177551262297025
166515022,target_entity_type,IssueComment,114,0.013511911816996562
166515022,target_entity_type,PullRequest,2098,0.2486665876496385
166515022,target_entity_type,PullRequestReview,7,0.0008296787957804907
166515022,target_entity_type,PullRequestReviewComment,250,0.029631385563588953
166515022,target_entity_type,Release,17,0.002014934218324049
166515022,target_entity_type,Repo,477,0.05653668365532772
166515022,target_entity_type,Tag,2,0.00023705108450871164
17165658,target_entity_type,Branch,5,0.0003180459258316901
17165658,target_entity_type,Branch_Tag_GHDir,39,0.0024807582214871828
17165658,target_entity_type,Commit,1700,0.10813561478277463
17165658,target_entity_type,GitHub_Files_FileChanges,1760,0.11195216589275492
17165658,target_entity_type,GitHub_GenSer_Other_Links,2260,0.14375675847592392
17165658,target_entity_type,Gollum,16,0.0010177469626614084
17165658,target_entity_type,Issue,179,0.011386044144774506
17165658,target_entity_type,IssueComment,171,0.010877170663443802
17165658,target_entity_type,PullRequest,8764,0.5574708987977864
17165658,target_entity_type,PullRequestReview,25,0.0015902296291584505
17165658,target_entity_type,PullRequestReviewComment,356,0.022644869919216336
17165658,target_entity_type,Release,293,0.01863749125373704
17165658,target_entity_type,Repo,107,0.006806182812798168
17165658,target_entity_type,Tag,46,0.0029260225176515487
195619075,target_entity_type,Branch_Tag_GHDir,143,0.013581536708139424
195619075,target_entity_type,Commit,991,0.09412099914521797
195619075,target_entity_type,GitHub_Files_FileChanges,2064,0.19603001234685155
195619075,target_entity_type,GitHub_GenSer_Other_Links,26,0.0024693703105708046
195619075,target_entity_type,Gollum,45,0.004273910152911007
195619075,target_entity_type,Issue,3,0.0002849273435274005
195619075,target_entity_type,IssueComment,4,0.0003799031247032007
195619075,target_entity_type,PullRequest,4945,0.46965523791433184
195619075,target_entity_type,PullRequestReviewComment,8,0.0007598062494064014
195619075,target_entity_type,Repo,2300,0.2184442967043404
208728772,target_entity_type,Branch,1,3.4579342300909435e-05
208728772,target_entity_type,Branch_Tag_GHDir,113,0.0039074656800027665
208728772,target_entity_type,Commit,203,0.007019606487084616
208728772,target_entity_type,GitHub_Files_FileChanges,12757,0.4411286697327017
208728772,target_entity_type,GitHub_GenSer_Other_Links,2049,0.07085307237456344
208728772,target_entity_type,Gollum,2,6.915868460181887e-05
208728772,target_entity_type,Issue,3821,0.13212766693177497
208728772,target_entity_type,IssueComment,1433,0.049552197517203224
208728772,target_entity_type,PullRequest,7511,0.25972544002213077
208728772,target_entity_type,PullRequestReview,873,0.030187765828693938
208728772,target_entity_type,Release,20,0.0006915868460181888
208728772,target_entity_type,Repo,135,0.004668211210622774
208728772,target_entity_type,Tag,1,3.4579342300909435e-05
