project_id,community_id,community_size
100060912,4,232
100285497,2,106
100470837,19,453
100649664,0,581
100656827,28,133
100683024,3,40
100728550,4,232
100758341,0,581
10080335,4,232
100921897,7,72
10095297,1,194
100982449,2,106
101107622,8,12
101325844,4,232
101408117,6,14
10160141,4,232
101664763,10,28
10166531,2,106
10176240,15,234
101767772,0,581
101769985,10,28
101807531,5,802
101808120,6,14
102025276,15,234
1020639,15,234
102083576,6,14
102180889,2,106
102216161,1,194
102268227,8,12
10230369,3,40
1023109,27,504
10232128,1,194
102343794,8,12
102390943,2,106
10247874,4,232
102534028,4,232
102601749,26,284
10262364,3,40
102692863,19,453
10270722,2,106
102726009,1,194
102765966,1,194
10277647,1,194
102792138,8,12
1028340,1,194
102969245,4,232
10302694,5,802
103115020,2,106
103172419,5,802
10319059,2,106
103195470,10,28
10320116,2,106
10323585,14,109
103275720,0,581
103506984,3,40
103530053,2,106
103603776,1,194
103619486,11,84
10364381,24,23
103706410,9,23
103940483,4,232
10394615,7,72
103980089,4,232
104061241,11,84
104064722,11,84
104110775,1,194
10416648,3,40
104231541,1,194
104327447,1,194
104354828,29,24
10437688,7,72
1045976,1,194
105066063,6,14
105069363,1,194
105088940,6,14
1050944,3,40
105195750,5,802
10522120,1,194
105262714,2,106
105300706,10,28
105379569,0,581
105672026,3,40
105711679,2,106
105712749,9,23
105769029,20,9
1059430,3,40
105944401,10,28
105963253,13,823
106016020,4,232
106024057,5,802
106060031,10,28
10610797,3,40
106192858,2,106
106239956,2,106
1062572,18,10
1062897,5,802
106310,0,581
10637893,3,40
10637896,3,40
106402526,4,232
1064563,3,40
106481151,1,194
10649374,6,14
106520420,4,232
106698888,8,12
106737290,8,12
106805892,3,40
106898220,20,9
10691398,5,802
10744183,9,23
10746583,1,194
107505869,0,581
10757154,13,823
107708884,2,106
107775870,4,232
107914493,5,802
108050,3,40
10805187,3,40
108110,9,23
108110706,5,802
108169607,3,40
108187130,18,10
108306129,1,194
10835647,2,106
10854028,6,14
108761645,9,23
108764455,15,234
10885469,21,66
108883568,2,106
108883966,13,823
108908685,1,194
108920680,5,802
108979839,2,106
109145553,0,581
109162639,2,106
109330128,2,106
109401999,5,802
109404010,0,581
109404123,1,194
109480449,1,194
109711622,5,802
109803086,5,802
10985948,33,36
1099265,4,232
109997238,10,28
110020935,18,10
11002815,1,194
11006053,5,802
11008207,13,823
110100447,7,72
11031412,8,12
1103607,6,14
110613089,17,85
11061773,14,109
110772190,2,106
110902512,0,581
11125589,3,40
11131631,1,194
111364256,8,12
111431261,0,581
111465030,2,106
111510376,1,194
11162159,2,106
111641659,2,106
11171548,18,10
111860063,18,10
11203131,3,40
11206255,8,12
11208105,3,40
11208890,2,106
112100818,9,23
112219764,2,106
11225014,2,106
11225909,7,72
112302758,0,581
11233996,3,40
1123727,3,40
11247824,1,194
112504288,2,106
1126087,9,23
11262602,25,133
112638589,2,106
112655189,2,106
112736538,6,14
11293703,14,109
113089820,2,106
11309795,6,14
113100288,21,66
113106184,2,106
113111202,4,232
113455762,4,232
113512596,2,106
11362278,1,194
113677956,3,40
113677984,3,40
113678060,3,40
113678093,3,40
113678112,3,40
113678133,3,40
113678153,3,40
113678275,3,40
113678303,3,40
113678351,3,40
113678408,3,40
113678674,3,40
113678772,3,40
113678857,3,40
