node_u,node_v,weight,directed_edge_count
100060912,13124802,1,1
100060912,346976717,1,1
100060912,372536760,1,1
100060912,606433492,1,1
100060912,660776503,1,1
100060912,678214856,1,1
100060912,90541149,1,1
100649664,357707809,77,1
100649664,453068084,4,1
100758341,268163609,2,1
100758341,276042304,1,1
100758341,357707809,9,1
100758341,453068084,4,1
101767772,358917318,46,1
101767772,510375115,8,1
102216161,25780780,1,1
102216161,75425073,2,1
10230369,19961085,1,1
10230369,3786237,7,1
102343794,143436277,1,1
102343794,156018,1,1
102343794,346976717,1,1
102343794,99919302,11,1
10262364,19961085,2,1
10262364,3786237,1,1
10262364,77385607,18,1
102969245,17165658,1,1
102969245,574588439,1,1
10320116,11225014,2,1
10320116,16563587,1,1
10320116,220186120,3,1
10320116,396856161,3,1
10320116,41986369,2,1
10320116,422821402,1,1
10320116,6838921,5,1
10416648,17165658,1,1
10416648,19961085,3,1
10416648,507775,1,1
10416648,56128733,1,1
104231541,108110,1,1
104231541,2649214,4,1
104231541,60246359,3,1
105088940,4254338,19,1
105088940,507775,674,1
105088940,77385607,361,1
1050944,1064563,5,1
1050944,11125589,1,1
1050944,1148753,1,1
1050944,12499251,3,1
1050944,139914932,2,1
1050944,156018,1,1
1050944,17286587,1,1
1050944,18128548,1,1
1050944,184463891,1,1
1050944,192625955,1,1
1050944,196057608,3,1
1050944,19641638,2,1
1050944,206483,1,1
1050944,22684655,4,1
1050944,33745913,1,1
1050944,4950187,1,1
1050944,509092193,1,1
1050944,574877,16,1
1050944,745749,4,1
105379569,130688011,3,1
105379569,268163609,60,1
105711679,396856161,18,1
105711679,6838921,3,1
105944401,11599760,1,1
105944401,13124802,1,1
105944401,165536154,2,1
105944401,16563587,1,1
105944401,17391973,1,1
105944401,178576091,1,1
105944401,204009988,4,1
105944401,2174666,1,1
105944401,22844864,1,1
105944401,23096959,2,1
105944401,24182261,1,1
105944401,28061676,2,1
105944401,3038937,1,1
105944401,3370128,1,1
105944401,343576900,2,1
105944401,346976717,1,1
105944401,359952601,7,1
105944401,372536760,1,1
105944401,394028369,2,1
105944401,410442633,1,1
105944401,4407129,1,1
105944401,456549280,1,1
105944401,467580471,1,1
105944401,50647838,3,1
105944401,5682770,1,1
105944401,606433492,1,1
105944401,660776503,1,1
105944401,67372977,1,1
105944401,678214856,1,1
105944401,680247452,15,1
105944401,6934395,8,1
105944401,724712,2,1
105944401,75821432,4,1
105944401,81598961,2,1
105944401,90541149,1,1
105944401,927442,48,1
105944401,9524057,5,1
10610797,11695619,12,1
10610797,19961085,1,1
10610797,77385607,77,1
1062572,1917262,2,1
1062572,86868560,1,1
106310,114619105,2,1
106310,17165658,1,1
106310,34533675,2,1
106310,3786237,6,1
106310,453068084,37,1
106310,99919302,1,1
10637896,11695619,30,1
10637896,17165658,16,1
10637896,2524488,1,1
10637896,334274271,29,1
10637896,3786237,15,1
10637896,45732002,12,1
10637896,507775,8,1
10637896,77385607,18,1
1064563,11008207,1,1
1064563,114619105,23,1
1064563,158975124,9,1
1064563,160999,2,1
1064563,16189524,24,1
1064563,166515022,1,1
1064563,17165658,39,1
1064563,19961085,4,1
1064563,20089857,2,1
1064563,20587599,3,1
1064563,298920362,7,1
1064563,30449481,23,1
1064563,31976266,2,1
1064563,334274271,2,1
1064563,3786237,77,1
1064563,396867188,38,1
1064563,49876476,4,1
1064563,507775,3,1
1064563,52507351,3,1
1064563,5683653,1,1
1064563,60377070,1,1
1064563,77385607,592,1
1064563,865412,1,1
1064563,99919302,2,1
10746583,166515022,1,1
10746583,17165658,35,1
10746583,19961085,3,1
10746583,334274271,1,1
10746583,5349565,1,1
10746583,7437073,17,1
108050,3786237,26,1
108050,396867188,13,1
108110,1917262,1,1
108110,2944302,6,1
108110,39519916,2,1
108110,422821402,9,1
108979839,385634291,10,1
108979839,60246359,1,1
109162639,150954997,2,1
109162639,385634291,5,1
109162639,6838921,10,1
109330128,41986369,6,1
109330128,6838921,7,1
