project_id,community_id,community_size
1050944,3,4
105944401,4,7
108110,9,7
11008207,0,27
11225014,5,13
114187903,0,27
114619105,1,19
11695619,2,19
124315604,11,15
125234630,3,4
125824259,4,7
130688011,7,9
13124802,10,9
138754790,6,2
141376301,3,4
143436277,8,13
146459443,8,13
150013328,0,27
150954997,10,9
156018,3,4
160999,0,27
16563587,4,7
166515022,1,19
168712350,3,4
17165658,1,19
17224514,2,19
176278485,9,7
182849188,1,19
184981,10,9
1917262,9,7
19257422,12,13
195619075,5,13
19816070,0,27
198466472,3,4
198683574,0,27
19961085,1,19
20089857,1,19
20473418,1,19
20587599,1,19
206403,2,19
206424,3,4
206444,1,19
207663235,6,2
208728772,5,13
220186120,1,19
23247808,5,13
23405758,0,27
24494032,0,27
2524488,2,19
2649214,8,13
268163609,8,13
276293034,0,27
28738447,2,19
291675222,6,2
2944302,9,7
298763623,6,2
302827809,6,2
30449481,3,4
30753733,0,27
31006158,1,19
321853986,8,13
334274271,2,19
33745913,2,19
339993112,5,13
341631350,2,19
34533675,1,19
346976717,0,27
34839383,1,19
349627612,0,27
351806852,4,7
357707809,7,9
358917318,6,2
372536760,0,27
3786237,2,19
3788366,2,19
385634291,10,9
388946490,1,19
393235957,6,2
39519916,9,7
396856161,4,7
396867188,3,4
41349039,5,13
41986369,11,15
420965027,6,2
422821402,9,7
432844875,7,9
4407129,0,27
442441933,6,2
44781140,4,7
449924556,0,27
453068084,4,7
453191009,5,13
456549280,0,27
462329984,8,13
473235285,4,7
478288303,7,9
47973088,2,19
480217156,6,2
48833910,11,15
49401416,8,13
49412556,7,9
49670957,2,19
496817075,6,2
49876476,0,27
50229487,2,19
50594316,0,27
50647838,1,19
507775,2,19
507829396,10,9
50874442,4,7
510375115,6,2
510607652,0,27
52507351,3,4
528766495,0,27
5349565,1,19
54005538,5,13
542714,5,13
546206616,6,2
55072677,5,13
551374215,0,27
56128733,1,19
5683653,2,19
574588439,0,27
581145740,0,27
60246359,0,27
60377070,12,13
606433492,0,27
607441698,7,9
61153677,10,9
6358188,1,19
644742603,4,7
660776503,7,9
6650539,3,4
678214856,0,27
679889516,7,9
6838921,10,9
6934395,8,13
7083240,3,4
722854801,8,13
73235061,3,4
7502247,2,19
7561862,11,15
77385607,3,4
79317191,7,9
80087836,5,13
8039659,2,19
84240850,4,7
84458512,3,4
90541149,0,27
9074548,2,19
911980,5,13
92329433,9,7
927442,4,7
9342529,2,19
94593596,5,13
95817032,4,7
99919302,1,19
