event_type,target_membership_status,count,overall_share,within_row_share,within_status_share
CommitCommentEvent,NON_PROJECT,20465,0.005460306652315741,0.5272038744912154,0.012132950817825507
CommitCommentEvent,PROJECT_MAPPABLE,18138,0.004839435233799312,0.46725745788036477,0.01143597888334961
CommitCommentEvent,UNRESOLVED,215,5.736457025398897e-05,0.0055386676284198055,0.0004524582160098657
IssueCommentEvent,NON_PROJECT,1127389,0.3008008627631366,0.6205710806871375,0.6683877493064979
IssueCommentEvent,PROJECT_MAPPABLE,448120,0.1195637731265932,0.24666757674371495,0.2825389159337649
IssueCommentEvent,UNRESOLVED,241187,0.06435157491092483,0.1327613425691475,0.5075676267198673
IssuesEvent,NON_PROJECT,53780,0.014349146922137335,0.3184585139392217,0.03188419716504548
IssuesEvent,PROJECT_MAPPABLE,110435,0.029465378213950105,0.6539413534190767,0.06962908413180693
IssuesEvent,UNRESOLVED,4661,0.0012436105207155469,0.027600132641701604,0.009808873231730159
PullRequestEvent,NON_PROJECT,174603,0.04658616772119645,0.5203796977915537,0.10351573963570912
PullRequestEvent,PROJECT_MAPPABLE,149223,0.03981448031167905,0.4447381754239561,0.0940848537275377
PullRequestEvent,UNRESOLVED,11704,0.0031227671174543577,0.03488212678449021,0.0246305626054859
PullRequestReviewCommentEvent,NON_PROJECT,7951,0.002121421851578913,0.15069843255434887,0.004713857412779409
PullRequestReviewCommentEvent,PROJECT_MAPPABLE,27310,0.007286634482029948,0.5176171793559636,0.017218909654001427
PullRequestReviewCommentEvent,UNRESOLVED,17500,0.004669209206720032,0.3316843880896875,0.036827994326384415
PullRequestReviewEvent,NON_PROJECT,27930,0.007452057893925172,0.3847266415967602,0.016558676586458168
PullRequestReviewEvent,PROJECT_MAPPABLE,26426,0.007050772714101919,0.3640095320743281,0.01666154912181039
PullRequestReviewEvent,UNRESOLVED,18241,0.004866916865130293,0.25126382632891164,0.038387396829004466
PushEvent,NON_PROJECT,268670,0.07168436786111264,0.23042221631403356,0.15928462722820322
PushEvent,PROJECT_MAPPABLE,750695,0.20029440031078258,0.6438262763831594,0.47331195103297696
PushEvent,UNRESOLVED,146625,0.03912130285344713,0.12575150730280707,0.3085659810346352
ReleaseEvent,NON_PROJECT,5941,0.0015851298226927837,0.061443789430137556,0.003522201847481131
ReleaseEvent,PROJECT_MAPPABLE,55700,0.014861425875103189,0.5760678456924191,0.03511875751475208
ReleaseEvent,UNRESOLVED,35049,0.009351492199218882,0.3624883648774434,0.07375910703688271
