project_id,community_id,community_size
100060912,0,66
100285497,2,652
100470837,18,234
100649664,1,148
100656827,29,134
100683024,4,30
100728550,0,66
100758341,1,148
10080335,0,66
100921897,6,232
10095297,3,170
100982449,2,652
101107622,7,215
101325844,0,66
101408117,5,40
10160141,0,66
101664763,11,23
10166531,2,652
10176240,12,84
101767772,1,148
101769985,11,23
101807531,0,66
101808120,5,40
102025276,12,84
1020639,12,84
102083576,5,40
102180889,2,652
102216161,8,85
102268227,7,215
10230369,4,30
1023109,28,71
10232128,8,85
102343794,7,215
102390943,2,652
10247874,0,66
102534028,0,66
102601749,27,116
10262364,4,30
102692863,18,234
10270722,2,652
102726009,3,170
102765966,3,170
10277647,3,170
102792138,7,215
1028340,3,170
102969245,0,66
10302694,0,66
103115020,2,652
103172419,21,36
10319059,2,652
103195470,11,23
10320116,2,652
10323585,13,132
103275720,1,148
103506984,4,30
103530053,2,652
103603776,8,85
103619486,9,46
10364381,25,23
103706410,10,852
103940483,0,66
10394615,6,232
103980089,0,66
104061241,9,46
104064722,9,46
104110775,3,170
10416648,3,170
104231541,3,170
104327447,3,170
104354828,30,25
10437688,6,232
1045976,3,170
105066063,5,40
105069363,3,170
105088940,5,40
1050944,4,30
105195750,0,66
10522120,3,170
105262714,2,652
105300706,11,23
105379569,1,148
105672026,4,30
105711679,2,652
105712749,10,852
105769029,19,819
1059430,4,30
105944401,11,23
105963253,14,11
106016020,0,66
106024057,0,66
106060031,11,23
10610797,4,30
106192858,2,652
106239956,2,652
1062572,26,263
1062897,9,46
106310,1,148
10637893,4,30
10637896,4,30
106402526,0,66
1064563,4,30
106481151,3,170
10649374,5,40
106520420,0,66
106698888,7,215
106737290,7,215
106805892,4,30
106898220,19,819
10691398,21,36
10744183,10,852
10746583,3,170
107505869,1,148
10757154,14,11
107708884,2,652
107775870,0,66
107914493,0,66
108050,4,30
10805187,4,30
108110,2,652
108110706,0,66
108169607,4,30
108187130,26,263
108306129,8,85
10835647,2,652
10854028,5,40
108761645,12,84
108764455,12,84
10885469,20,40
108883568,2,652
108883966,14,11
108908685,8,85
108920680,0,66
108979839,2,652
109145553,1,148
109162639,2,652
109330128,2,652
109401999,0,66
109404010,1,148
109404123,3,170
109480449,3,170
109711622,0,66
109803086,13,132
10985948,34,161
1099265,0,66
109997238,11,23
110020935,0,66
11002815,3,170
11006053,0,66
11008207,14,11
110100447,6,232
11031412,7,215
1103607,5,40
