project_id,community_id,community_size
100060912,3,5
100649664,5,86
100758341,5,86
101767772,2,3
102216161,4,4
10230369,0,35
102343794,6,28
10262364,0,35
102969245,3,5
10320116,1,134
10416648,0,35
104231541,4,4
105088940,9,186
1050944,0,35
105379569,5,86
105711679,1,134
105944401,11,17
10610797,0,35
1062572,8,13
106310,2,3
10637896,0,35
1064563,0,35
10746583,4,4
108050,0,35
108110,8,13
108979839,1,134
109162639,1,134
109330128,1,134
109480449,4,4
1099265,3,5
11006053,3,5
11008207,6,28
11061773,10,169
11125589,6,28
111431261,6,28
11171548,6,28
111860063,6,28
11208890,1,134
11225014,1,134
11225909,7,165
11233996,0,35
1123727,0,35
1126087,8,13
112655189,1,134
11309795,7,165
113100288,15,153
113106184,5,86
113677956,0,35
113677984,0,35
113678060,0,35
113678093,0,35
113678112,0,35
113678133,0,35
113678153,0,35
113678275,0,35
113678351,0,35
113678408,0,35
113678772,0,35
113678857,0,35
113678874,0,35
11380094,19,9
11403699,8,13
114187903,8,13
11452538,1,134
114619105,4,4
114705611,5,86
114735865,5,86
11481074,6,28
11486644,0,35
1148753,0,35
11599760,2,3
116140523,2,3
11654790,4,4
116641240,0,35
11695619,0,35
116995448,3,5
117965972,2,3
118105436,2,3
118668940,6,28
1187853,0,35
11939484,8,13
119439276,0,35
120538653,2,3
120606279,6,28
121587063,5,86
121663790,0,35
124802455,5,86
12488647,0,35
12499251,2,3
125234630,3,5
125266328,8,13
12574344,12,28
125824259,2,3
126238614,1,134
126412363,4,4
12682522,9,186
127420809,5,86
1287669,4,4
129072319,1,134
129717717,1,134
129883659,0,35
129954828,4,4
1303538,3,5
130688011,13,27
13078968,0,35
13124802,2,3
132145189,1,134
13273703,4,4
13310527,6,28
133431470,3,5
133442384,4,4
13404515,0,35
1341324,10,169
135060366,5,86
1357199,2,3
1357796,8,13
1361792,4,4
13624859,10,169
1362490,8,13
13628513,1,134
136494223,1,134
136510559,2,3
13655949,3,5
137362393,2,3
1374129,0,35
137869753,2,3
138411034,6,28
13855476,1,134
138754790,2,3
1388495,0,35
139314347,3,5
139914932,0,35
139969620,0,35
140609832,2,3
14076122,0,35
14125254,1,134
141339868,6,28
141376301,4,4
14173176,0,35
14212940,0,35
