project_id,community_id,community_size
1050944,3,7
105944401,4,13
108110,9,13
11008207,0,19
11225014,5,2
114187903,0,19
114619105,1,19
11695619,2,4
124315604,11,9
125234630,3,7
125824259,4,13
130688011,8,27
13124802,10,7
138754790,6,8
141376301,3,7
143436277,7,15
146459443,7,15
150013328,0,19
150954997,10,7
156018,3,7
160999,0,19
16563587,4,13
166515022,1,19
168712350,3,7
17165658,1,19
17224514,2,4
176278485,9,13
182849188,1,19
184981,10,7
1917262,9,13
19257422,12,13
195619075,5,2
19816070,0,19
198466472,3,7
198683574,0,19
19961085,1,19
20089857,1,19
20473418,1,19
20587599,1,19
206403,2,4
206424,3,7
206444,1,19
207663235,6,8
208728772,5,2
220186120,1,19
23247808,5,2
23405758,0,19
24494032,0,19
2524488,2,4
2649214,7,15
268163609,7,15
276293034,0,19
28738447,2,4
291675222,6,8
2944302,9,13
298763623,6,8
302827809,6,8
30449481,3,7
30753733,0,19
31006158,1,19
321853986,7,15
334274271,2,4
33745913,2,4
339993112,5,2
341631350,2,4
34533675,1,19
346976717,0,19
34839383,1,19
349627612,0,19
351806852,4,13
357707809,8,27
358917318,6,8
372536760,0,19
3786237,2,4
3788366,2,4
385634291,10,7
388946490,1,19
393235957,6,8
39519916,9,13
396856161,4,13
396867188,3,7
41349039,5,2
41986369,11,9
420965027,6,8
422821402,9,13
432844875,8,27
4407129,0,19
442441933,6,8
44781140,4,13
449924556,0,19
453068084,4,13
453191009,5,2
456549280,0,19
462329984,7,15
473235285,4,13
478288303,8,27
47973088,2,4
480217156,6,8
48833910,11,9
49401416,7,15
49412556,8,27
49670957,2,4
496817075,6,8
49876476,0,19
50229487,2,4
50594316,0,19
50647838,1,19
507775,2,4
507829396,10,7
50874442,4,13
510375115,6,8
510607652,0,19
52507351,3,7
528766495,0,19
5349565,1,19
54005538,5,2
542714,5,2
546206616,6,8
55072677,5,2
551374215,0,19
56128733,1,19
5683653,2,4
574588439,0,19
581145740,0,19
60246359,0,19
60377070,12,13
606433492,0,19
607441698,8,27
61153677,10,7
6358188,1,19
644742603,4,13
660776503,8,27
6650539,3,7
678214856,0,19
6838921,10,7
6934395,7,15
7083240,3,7
722854801,7,15
73235061,3,7
7502247,2,4
7561862,11,9
77385607,3,7
79317191,8,27
80087836,5,2
8039659,2,4
84240850,4,13
84458512,3,7
90541149,0,19
9074548,2,4
911980,5,2
92329433,9,13
927442,4,13
9342529,2,4
94593596,5,2
95817032,4,13
99919302,1,19
