source_entity_type,quotient_eligibility,count,overall_share,within_row_share,within_status_share
CommitComment,NOT_QUOTIENT_ELIGIBLE,20680,0.00551767122256973,0.5327425421196352,0.00956561116530699
CommitComment,QUOTIENT_ELIGIBLE,18138,0.004839435233799312,0.46725745788036477,0.01143597888334961
Issue,NOT_QUOTIENT_ELIGIBLE,58441,0.015592757442852882,0.3460586465809233,0.0270321026166202
Issue,QUOTIENT_ELIGIBLE,110435,0.029465378213950105,0.6539413534190767,0.06962908413180693
IssueComment,NOT_QUOTIENT_ELIGIBLE,1368576,0.36515243767406147,0.753332423256285,0.6330399355015077
IssueComment,QUOTIENT_ELIGIBLE,448120,0.1195637731265932,0.24666757674371495,0.2825389159337649
PullRequest,NOT_QUOTIENT_ELIGIBLE,186307,0.049708934838650805,0.5552618245760439,0.0861769980355343
PullRequest,QUOTIENT_ELIGIBLE,149223,0.03981448031167905,0.4447381754239561,0.0940848537275377
PullRequestReview,NOT_QUOTIENT_ELIGIBLE,46171,0.012318974759055464,0.6359904679256718,0.02135656833236891
PullRequestReview,QUOTIENT_ELIGIBLE,26426,0.007050772714101919,0.3640095320743281,0.01666154912181039
PullRequestReviewComment,NOT_QUOTIENT_ELIGIBLE,25451,0.006790631058298946,0.4823828206440363,0.011772455017806006
PullRequestReviewComment,QUOTIENT_ELIGIBLE,27310,0.007286634482029948,0.5176171793559636,0.017218909654001427
Push,NOT_QUOTIENT_ELIGIBLE,415295,0.11080567071455977,0.35617372361684063,0.1920962518808591
Push,QUOTIENT_ELIGIBLE,750695,0.20029440031078258,0.6438262763831594,0.47331195103297696
Release,NOT_QUOTIENT_ELIGIBLE,40990,0.010936622021911665,0.4239321543075809,0.018960077449996785
Release,QUOTIENT_ELIGIBLE,55700,0.014861425875103189,0.5760678456924191,0.03511875751475208
