target_entity_type,quotient_eligibility,count,overall_share,within_row_share,within_status_share
Actor,NOT_QUOTIENT_ELIGIBLE,475651,0.12690937305060515,1.0,0.22001414489310614
Branch,QUOTIENT_ELIGIBLE,581,0.00015501774566310507,1.0,0.0003663195352975038
Branch_Tag_GHDir,NOT_QUOTIENT_ELIGIBLE,26,6.93711082141262e-06,0.0010787486515641855,1.2026397016343412e-05
Branch_Tag_GHDir,QUOTIENT_ELIGIBLE,24076,0.006423764620628086,0.9989212513484358,0.015179878023791225
Commit,NOT_QUOTIENT_ELIGIBLE,143,3.815410951776941e-05,0.0005607645220364771,6.614518358988876e-05
Commit,QUOTIENT_ELIGIBLE,254866,0.06800129563885188,0.9994392354779635,0.1606925898160647
CommitComment,QUOTIENT_ELIGIBLE,5,1.3340597733485807e-06,1.0,3.1524916979131135e-06
GitHub_Files_FileChanges,NOT_QUOTIENT_ELIGIBLE,262,6.990473212346563e-05,0.0013547683191048186,0.00012118907762622975
GitHub_Files_FileChanges,QUOTIENT_ELIGIBLE,193129,0.05152912599340761,0.9986452316808951,0.12176751382525235
GitHub_GenSer_Other_Links,NOT_QUOTIENT_ELIGIBLE,6563,0.001751086858497347,0.10477163519100909,0.0030357401391639155
GitHub_GenSer_Other_Links,QUOTIENT_ELIGIBLE,56078,0.014962280793968342,0.8952283648089909,0.035357085887114316
GitHub_Other_Service,NOT_QUOTIENT_ELIGIBLE,32788,0.008748230369710654,1.0,0.015166211745071836
GitHub_Service_External_Links,NOT_QUOTIENT_ELIGIBLE,1629327,0.4347239216661446,1.0,0.7536512835172215
Gollum,NOT_QUOTIENT_ELIGIBLE,84,2.2412204192256157e-05,0.01453538674511161,3.885451343741717e-05
Gollum,QUOTIENT_ELIGIBLE,5695,0.0015194940818440334,0.9854646132548884,0.0035906880439230365
Issue,NOT_QUOTIENT_ELIGIBLE,2495,0.0006656958269009418,0.008858575242856331,0.0011540715598375695
Issue,QUOTIENT_ELIGIBLE,279153,0.07448135758191528,0.9911414247571436,0.17600550298950787
IssueComment,NOT_QUOTIENT_ELIGIBLE,125,3.335149433371452e-05,0.009359790340696368,5.7819216424727935e-05
IssueComment,QUOTIENT_ELIGIBLE,13230,0.0035299221602803446,0.9906402096593037,0.008341493032678098
PullRequest,NOT_QUOTIENT_ELIGIBLE,809,0.00021585087132780037,0.00120389412874673,0.00037420596870083923
PullRequest,QUOTIENT_ELIGIBLE,671177,0.17907804729935609,0.9987961058712532,0.42317598406604595
PullRequestReview,NOT_QUOTIENT_ELIGIBLE,2,5.336239093394323e-07,0.00024764735017335313,9.25107462795647e-07
PullRequestReview,QUOTIENT_ELIGIBLE,8074,0.0021542397220032884,0.9997523526498266,0.005090643593790096
PullRequestReviewComment,NOT_QUOTIENT_ELIGIBLE,30,8.004358640091485e-06,0.007947019867549669,1.3876611941934705e-05
PullRequestReviewComment,QUOTIENT_ELIGIBLE,3745,0.000999210770238087,0.9920529801324504,0.002361216281736922
Release,NOT_QUOTIENT_ELIGIBLE,1,2.6681195466971617e-07,0.0005128205128205128,4.625537313978235e-07
Release,QUOTIENT_ELIGIBLE,1949,0.0005200164996512767,0.9994871794871795,0.0012288412638465317
Repo,NOT_QUOTIENT_ELIGIBLE,479,0.00012780292628679403,0.006432293065477789,0.00022156323733955746
Repo,QUOTIENT_ELIGIBLE,73989,0.01974114971405763,0.9935677069345222,0.04664994164737867
SHA,NOT_QUOTIENT_ELIGIBLE,13126,0.003502173716994694,1.0,0.006071480278327831
Tag,QUOTIENT_ELIGIBLE,300,8.004358640091484e-05,1.0,0.00018914950187478682
