target_entity_type,target_membership_status,count,overall_share,within_row_share,within_status_share
Actor,NON_PROJECT,469,0.00012513480674009687,0.0009860170587258305,0.000278052965236265
Actor,UNRESOLVED,475182,0.12678423824386506,0.9990139829412742,1.0
Branch,PROJECT_MAPPABLE,581,0.00015501774566310507,1.0,0.0003663195352975038
Branch_Tag_GHDir,NON_PROJECT,26,6.93711082141262e-06,0.0010787486515641855,1.5414450098385692e-05
Branch_Tag_GHDir,PROJECT_MAPPABLE,24076,0.006423764620628086,0.9989212513484358,0.015179878023791225
Commit,NON_PROJECT,143,3.815410951776941e-05,0.0005607645220364771,8.47794755411213e-05
Commit,PROJECT_MAPPABLE,254866,0.06800129563885188,0.9994392354779635,0.1606925898160647
CommitComment,PROJECT_MAPPABLE,5,1.3340597733485807e-06,1.0,3.1524916979131135e-06
GitHub_Files_FileChanges,NON_PROJECT,262,6.990473212346563e-05,0.0013547683191048186,0.000155330227914502
GitHub_Files_FileChanges,PROJECT_MAPPABLE,193129,0.05152912599340761,0.9986452316808951,0.12176751382525235
GitHub_GenSer_Other_Links,NON_PROJECT,6563,0.001751086858497347,0.10477163519100909,0.0038909629229117422
GitHub_GenSer_Other_Links,PROJECT_MAPPABLE,56078,0.014962280793968342,0.8952283648089909,0.035357085887114316
GitHub_Other_Service,NON_PROJECT,32788,0.008748230369710654,1.0,0.019438807300995002
GitHub_Service_External_Links,NON_PROJECT,1629327,0.4347239216661446,1.0,0.9659684513635564
Gollum,NON_PROJECT,84,2.2412204192256157e-05,0.01453538674511161,4.9800531087092236e-05
Gollum,PROJECT_MAPPABLE,5695,0.0015194940818440334,0.9854646132548884,0.0035906880439230365
Issue,NON_PROJECT,2495,0.0006656958269009418,0.008858575242856331,0.001479194345979704
Issue,PROJECT_MAPPABLE,279153,0.07448135758191528,0.9911414247571436,0.17600550298950787
IssueComment,NON_PROJECT,125,3.335149433371452e-05,0.009359790340696368,7.410793316531583e-05
IssueComment,PROJECT_MAPPABLE,13230,0.0035299221602803446,0.9906402096593037,0.008341493032678098
PullRequest,NON_PROJECT,809,0.00021585087132780037,0.00120389412874673,0.00047962654344592404
PullRequest,PROJECT_MAPPABLE,671177,0.17907804729935609,0.9987961058712532,0.42317598406604595
PullRequestReview,NON_PROJECT,2,5.336239093394323e-07,0.00024764735017335313,1.1857269306450533e-06
PullRequestReview,PROJECT_MAPPABLE,8074,0.0021542397220032884,0.9997523526498266,0.005090643593790096
PullRequestReviewComment,NON_PROJECT,30,8.004358640091485e-06,0.007947019867549669,1.77859039596758e-05
PullRequestReviewComment,PROJECT_MAPPABLE,3745,0.000999210770238087,0.9920529801324504,0.002361216281736922
Release,NON_PROJECT,1,2.6681195466971617e-07,0.0005128205128205128,5.928634653225266e-07
Release,PROJECT_MAPPABLE,1949,0.0005200164996512767,0.9994871794871795,0.0012288412638465317
Repo,NON_PROJECT,479,0.00012780292628679403,0.006432293065477789,0.00028398159988949023
Repo,PROJECT_MAPPABLE,73989,0.01974114971405763,0.9935677069345222,0.04664994164737867
SHA,NON_PROJECT,13126,0.003502173716994694,1.0,0.0077819258458234845
Tag,PROJECT_MAPPABLE,300,8.004358640091484e-05,1.0,0.00018914950187478682
