project_id,community_id,community_size
100060912,0,852
100285497,2,788
100470837,18,71
100649664,1,819
100656827,29,23
100683024,4,529
100728550,0,852
100758341,1,819
10080335,0,852
100921897,6,234
10095297,3,652
100982449,2,788
101107622,7,232
101325844,0,852
101408117,5,263
10160141,0,852
101664763,11,161
10166531,2,788
10176240,12,148
101767772,1,819
101769985,11,161
101807531,0,852
101808120,5,263
102025276,12,148
1020639,12,148
102083576,5,263
102180889,2,788
102216161,8,215
102268227,7,232
10230369,4,529
1023109,28,24
10232128,8,215
102343794,7,232
102390943,2,788
10247874,0,852
102534028,0,852
102601749,27,25
10262364,4,529
102692863,18,71
10270722,2,788
102726009,3,652
102765966,3,652
10277647,3,652
102792138,7,232
1028340,3,652
102969245,0,852
10302694,0,852
103115020,2,788
103172419,21,46
10319059,2,788
103195470,11,161
10320116,2,788
10323585,13,134
103275720,1,819
103506984,4,529
103530053,2,788
103603776,8,215
103619486,9,185
10364381,25,32
103706410,10,170
103940483,0,852
10394615,6,234
103980089,0,852
104061241,9,185
104064722,9,185
104110775,3,652
10416648,3,652
104231541,3,652
104327447,3,652
104354828,30,23
10437688,6,234
1045976,3,652
105066063,5,263
105069363,3,652
105088940,5,263
1050944,4,529
105195750,0,852
10522120,3,652
105262714,2,788
105300706,11,161
105379569,1,819
105672026,4,529
105711679,2,788
105712749,10,170
105769029,19,66
1059430,4,529
105944401,11,161
105963253,14,132
106016020,0,852
106024057,0,852
106060031,11,161
10610797,4,529
106192858,2,788
106239956,2,788
1062572,26,30
1062897,9,185
106310,1,819
10637893,4,529
10637896,4,529
106402526,0,852
1064563,4,529
106481151,3,652
10649374,5,263
106520420,0,852
106698888,7,232
106737290,7,232
106805892,4,529
106898220,19,66
10691398,21,46
10744183,10,170
10746583,3,652
107505869,1,819
10757154,14,132
107708884,2,788
107775870,0,852
107914493,0,852
108050,4,529
10805187,4,529
108110,2,788
108110706,0,852
108169607,4,529
108187130,26,30
108306129,8,215
10835647,2,788
10854028,5,263
108761645,12,148
108764455,12,148
10885469,20,66
108883568,2,788
108883966,14,132
108908685,8,215
108920680,0,852
108979839,2,788
109145553,1,819
109162639,2,788
109330128,2,788
109401999,0,852
109404010,1,819
109404123,3,652
109480449,3,652
109711622,0,852
109803086,13,134
10985948,34,9
1099265,0,852
109997238,11,161
110020935,0,852
11002815,3,652
11006053,0,852
11008207,14,132
110100447,6,234
11031412,7,232
1103607,5,263
110613089,17,84
11061773,13,134
110772190,2,788
110902512,1,819
11125589,4,529
11131631,8,215
111364256,7,232
111431261,2,788
111465030,2,788
111510376,3,652
11162159,2,788
111641659,2,788
11171548,0,852
111860063,0,852
11203131,4,529
11206255,7,232
11208105,4,529
11208890,2,788
112100818,12,148
112219764,2,788
11225014,2,788
11225909,6,234
112302758,1,819
11233996,4,529
1123727,4,529
11247824,3,652
112504288,2,788
1126087,12,148
11262602,9,185
112638589,2,788
112655189,2,788
112736538,5,263
11293703,13,134
113089820,2,788
11309795,5,263
113100288,20,66
113106184,2,788
113111202,0,852
113455762,0,852
113512596,2,788
11362278,3,652
113677956,4,529
113677984,4,529
113678060,4,529
113678093,4,529
113678112,4,529
113678133,4,529
113678153,4,529
113678275,4,529
113678303,4,529
113678351,4,529
113678408,4,529
113678674,4,529
113678772,4,529
113678857,4,529
113678874,4,529
11369509,4,529
113701924,13,134
11380094,29,23
11384368,4,529
113912678,3,652
113918130,2,788
11393110,2,788
114023960,3,652
11403699,12,148
11408729,4,529
114187903,12,148
114312965,3,652
114363116,0,852
11445479,4,529
11452538,2,788
11452676,0,852
114577229,1,819
114619105,3,652
114682244,0,852
114705574,1,819
114705611,1,819
114735865,1,819
11481074,7,232
11482978,3,652
11486644,3,652
1148753,4,529
114948816,8,215
115039706,1,819
115191628,4,529
115316912,7,232
115575640,25,32
115740402,5,263
115758461,17,84
115969499,19,66
11597120,2,788
11599760,10,170
116038660,3,652
11608365,9,185
116140523,1,819
116165188,3,652
116259506,2,788
11633363,9,185
11654790,13,134
116585275,22,40
116641240,4,529
116659368,0,852
11676453,2,788
116867981,8,215
116871310,9,185
116955501,3,652
11695619,4,529
11696086,4,529
11696117,4,529
116995448,13,134
11708465,4,529
11726616,1,819
117380983,1,819
11753735,4,529
117701523,4,529
117906003,9,185
117965972,1,819
118105436,1,819
118498743,20,66
118517813,1,819
118649335,0,852
118668940,0,852
118764574,0,852
1187853,4,529
11892534,11,161
119205516,1,819
119272629,20,66
11939484,12,148
1194027,11,161
119419195,10,170
119439276,4,529
119460813,1,819
119590498,19,66
11966919,4,529
11974348,5,263
119818775,12,148
120011481,16,85
120157734,19,66
120325908,3,652
1204125,3,652
120511966,1,819
120538653,1,819
120606279,19,66
1207300,2,788
12079212,9,185
12080551,12,148
120894,0,852
120938309,9,185
1210290,9,185
121086193,14,132
121236494,5,263
121337784,11,161
12140830,3,652
121554427,4,529
121587063,1,819
121663790,3,652
121676470,0,852
12179494,3,652
121834895,11,161
121870635,7,232
121898717,7,232
12191244,13,134
122193808,5,263
122235145,11,161
122282812,4,529
122505634,4,529
122508361,14,132
122782022,0,852
123020983,4,529
123068215,17,84
123148813,14,132
123303402,20,66
123345344,3,652
123410,4,529
12344532,3,652
123475536,0,852
123518148,0,852
123590537,0,852
123649788,17,84
123684665,0,852
123690489,3,652
12390121,13,134
123986201,1,819
123993596,18,71
124042164,11,161
12421065,4,529
12426527,5,263
124275922,13,134
124290783,8,215
124315604,2,788
12440855,2,788
124409889,0,852
124417205,1,819
124564425,3,652
124602093,2,788
124657854,14,132
124701774,3,652
124802455,1,819
12488647,4,529
12488845,14,132
12499251,1,819
125234630,13,134
125238132,7,232
125266328,12,148
125366028,0,852
12550138,12,148
1257070,0,852
12574344,18,71
125824259,22,40
12584841,4,529
125863507,13,134
126215645,2,788
126238614,2,788
126250425,21,46
126382836,11,161
126412363,8,215
126465227,0,852
12682522,5,263
126914245,10,170
127026401,13,134
127101557,2,788
12711522,2,788
12712630,23,40
127201711,2,788
127224346,0,852
127268366,2,788
127420809,1,819
127425805,14,132
12791642,4,529
128089774,1,819
128096570,11,161
128529416,10,170
128693525,10,170
1287669,8,215
128778692,13,134
128842710,8,215
128887107,2,788
129072319,2,788
129137599,4,529
12920091,16,85
129449094,4,529
129549229,8,215
1295612,4,529
129563456,1,819
129640825,4,529
129648001,2,788
129717717,2,788
12974177,4,529
129883659,4,529
129954828,3,652
130013,1,819
130040931,6,234
130084383,0,852
130107902,0,852
130140573,13,134
130237506,29,23
1303538,0,852
130370449,14,132
130386123,3,652
130546049,3,652
13057937,0,852
130688011,16,85
130727736,0,852
13078968,4,529
130865762,17,84
13092745,8,215
131014812,28,24
13124802,1,819
131339601,2,788
131347954,8,215
131364545,9,185
131389850,1,819
131403312,3,652
13150250,0,852
131584258,0,852
131738270,0,852
13191344,3,652
132057885,5,263
132145189,2,788
13222351,4,529
132232698,2,788
132313422,2,788
13238459,10,170
132518310,2,788
1325587,10,170
13258039,10,170
13273703,3,652
132776693,18,71
133067498,2,788
133092972,30,23
13310527,7,232
133134007,15,116
133238084,2,788
133275023,14,132
133411492,7,232
133431470,0,852
133442384,34,9
1334607,4,529
133491254,3,652
13379995,13,134
134018330,17,84
13404515,4,529
1341324,13,134
134603838,7,232
134683798,5,263
134862372,0,852
135060366,1,819
135175513,11,161
135201145,1,819
13524719,15,116
