project_id,community_id,community_size
100060912,3,153
100649664,5,101
100758341,5,101
101767772,2,165
102216161,4,134
10230369,0,186
102343794,6,86
10262364,0,186
102969245,3,153
10320116,1,169
10416648,0,186
104231541,4,134
105088940,9,28
1050944,0,186
105379569,5,101
105711679,1,169
105944401,11,27
10610797,0,186
1062572,8,35
106310,2,165
10637896,0,186
1064563,0,186
10746583,4,134
108050,0,186
108110,8,35
108979839,1,169
109162639,1,169
109330128,1,169
109480449,4,134
1099265,3,153
11006053,3,153
11008207,6,86
11061773,10,28
11125589,6,86
111431261,6,86
11171548,6,86
111860063,6,86
11208890,1,169
11225014,1,169
11225909,7,49
11233996,0,186
1123727,0,186
1126087,8,35
112655189,1,169
11309795,7,49
113100288,15,9
113106184,5,101
113677956,0,186
113677984,0,186
113678060,0,186
113678093,0,186
113678112,0,186
113678133,0,186
113678153,0,186
113678275,0,186
113678351,0,186
113678408,0,186
113678772,0,186
113678857,0,186
113678874,0,186
11380094,19,3
11403699,8,35
114187903,8,35
11452538,1,169
114619105,4,134
114705611,5,101
114735865,5,101
11481074,6,86
11486644,0,186
1148753,0,186
11599760,2,165
116140523,2,165
11654790,4,134
116641240,0,186
11695619,0,186
116995448,3,153
117965972,2,165
118105436,2,165
118668940,6,86
1187853,0,186
11939484,8,35
119439276,0,186
120538653,2,165
120606279,6,86
121587063,5,101
121663790,0,186
124802455,5,101
12488647,0,186
12499251,2,165
125234630,3,153
125266328,8,35
12574344,12,20
125824259,2,165
126238614,1,169
126412363,4,134
12682522,9,28
127420809,5,101
1287669,4,134
129072319,1,169
129717717,1,169
129883659,0,186
129954828,4,134
1303538,3,153
130688011,13,17
13078968,0,186
13124802,2,165
132145189,1,169
13273703,4,134
13310527,6,86
133431470,3,153
133442384,4,134
13404515,0,186
1341324,10,28
135060366,5,101
1357199,2,165
1357796,8,35
1361792,4,134
13624859,10,28
1362490,8,35
13628513,1,169
136494223,1,169
136510559,2,165
13655949,3,153
137362393,2,165
1374129,0,186
137869753,2,165
138411034,6,86
13855476,1,169
138754790,2,165
1388495,0,186
139314347,3,153
