project_id,community_id,community_size
1050944,3,15
105944401,4,13
108110,9,7
11008207,0,27
11225014,5,13
114187903,0,27
114619105,1,19
11695619,2,19
124315604,11,4
125234630,3,15
125824259,4,13
130688011,8,8
13124802,10,7
138754790,6,13
141376301,3,15
143436277,7,9
146459443,7,9
150013328,0,27
150954997,10,7
156018,3,15
160999,0,27
16563587,4,13
166515022,1,19
168712350,3,15
17165658,1,19
17224514,2,19
176278485,9,7
182849188,1,19
184981,10,7
1917262,9,7
19257422,12,2
195619075,5,13
19816070,0,27
198466472,3,15
198683574,0,27
19961085,1,19
20089857,1,19
20473418,1,19
20587599,1,19
206403,2,19
206424,3,15
206444,1,19
207663235,6,13
208728772,5,13
220186120,1,19
23247808,5,13
23405758,0,27
24494032,0,27
2524488,2,19
2649214,7,9
268163609,7,9
276293034,0,27
28738447,2,19
291675222,6,13
2944302,9,7
298763623,6,13
302827809,6,13
30449481,3,15
30753733,0,27
31006158,1,19
321853986,7,9
334274271,2,19
33745913,2,19
339993112,5,13
341631350,2,19
34533675,1,19
346976717,0,27
34839383,1,19
349627612,0,27
351806852,4,13
357707809,8,8
358917318,6,13
372536760,0,27
3786237,2,19
3788366,2,19
385634291,10,7
388946490,1,19
393235957,6,13
39519916,9,7
396856161,4,13
396867188,3,15
41349039,5,13
41986369,11,4
420965027,6,13
422821402,9,7
432844875,8,8
4407129,0,27
442441933,6,13
44781140,4,13
449924556,0,27
453068084,4,13
453191009,5,13
456549280,0,27
462329984,7,9
473235285,4,13
478288303,8,8
47973088,2,19
480217156,6,13
48833910,11,4
49401416,7,9
49412556,8,8
49670957,2,19
496817075,6,13
49876476,0,27
50229487,2,19
50594316,0,27
50647838,1,19
507775,2,19
507829396,10,7
50874442,4,13
510375115,6,13
510607652,0,27
52507351,3,15
528766495,0,27
5349565,1,19
54005538,5,13
542714,5,13
546206616,6,13
55072677,5,13
551374215,0,27
56128733,1,19
5683653,2,19
574588439,0,27
581145740,0,27
60246359,0,27
60377070,12,2
606433492,0,27
607441698,8,8
61153677,10,7
6358188,1,19
644742603,4,13
660776503,8,8
6650539,3,15
678214856,0,27
6838921,10,7
6934395,7,9
7083240,3,15
722854801,7,9
73235061,3,15
7502247,2,19
7561862,11,4
77385607,3,15
79317191,8,8
80087836,5,13
8039659,2,19
84240850,4,13
84458512,3,15
90541149,0,27
9074548,2,19
911980,5,13
92329433,9,7
927442,4,13
9342529,2,19
94593596,5,13
95817032,4,13
99919302,1,19
