node_u,node_v,weight,directed_edge_count
1050944,156018,1,1
1050944,33745913,1,1
105944401,125824259,1,1
105944401,13124802,1,1
105944401,16563587,1,1
105944401,346976717,1,1
105944401,372536760,1,1
105944401,4407129,1,1
105944401,456549280,1,1
105944401,50647838,3,1
105944401,606433492,1,1
105944401,660776503,1,1
105944401,678214856,1,1
105944401,6934395,8,1
105944401,90541149,1,1
105944401,927442,48,1
108110,1917262,1,1
108110,2944302,6,1
108110,39519916,2,1
108110,422821402,9,1
11008207,11225014,2,1
11008207,130688011,1,1
11008207,24494032,1,1
11008207,30753733,1,1
11225014,160999,2,1
11225014,16563587,11,2
11225014,208728772,9,2
11225014,339993112,1,1
11225014,41349039,3,1
11225014,480217156,1,1
11225014,911980,2,1
11225014,94593596,97,2
114187903,13124802,1,1
114187903,346976717,1,1
114187903,372536760,1,1
114187903,449924556,2,1
114187903,456549280,1,1
114187903,50594316,1,1
114187903,551374215,1,1
114187903,581145740,4,1
114187903,606433492,1,1
114187903,660776503,1,1
114187903,678214856,1,1
114187903,90541149,1,1
114619105,141376301,5,1
114619105,166515022,4,1
114619105,17165658,102,2
114619105,182849188,12,1
114619105,20587599,3,1
114619105,206444,30,1
114619105,34839383,1,1
11654790,639434928,2,1
11654790,75425073,1,1
11695619,33745913,9,1
124315604,7561862,1,1
125234630,156018,1,1
125824259,16563587,1,1
125824259,33745913,1,1
125824259,927442,1,1
130688011,268163609,1,1
130688011,357707809,6,1
130688011,60246359,1,1
130688011,79317191,1,1
13124802,150954997,2,1
13124802,166515022,1,1
13124802,24494032,1,1
13124802,358917318,5,1
13124802,6838921,17,2
138754790,19257422,2,1
138754790,207663235,1,1
138754790,298763623,16,1
138754790,302827809,5,2
138754790,358917318,12,1
138754790,388946490,20,2
138754790,393235957,1,1
138754790,442441933,16,1
138754790,453068084,1,1
138754790,480217156,12,1
138754790,5349565,1,1
138754790,546206616,3,1
138754790,60246359,8,2
138754790,606433492,2,1
138754790,927442,2,1
141376301,30449481,1,1
141376301,6934395,1,1
141376301,77385607,5,1
143436277,6934395,2,1
146459443,6934395,1,1
150013328,23405758,1,1
150013328,349627612,1,1
150013328,48833910,1,1
150013328,551374215,3,2
150954997,385634291,2,1
150954997,41986369,1,1
150954997,507775,1,1
