k,seed,spearman_to_canonical,top10_overlap,top20_overlap,top50_overlap,canonical_score_match
250,20260731,0.999954589795518,0.9,0.85,0.96,False
250,20260732,0.9998563613307432,0.9,0.85,0.84,False
250,20260733,0.9998506363259262,0.9,0.9,0.84,False
250,20260734,0.9998641810717712,0.8,0.85,0.86,False
250,20260735,0.9998673266629756,0.9,0.85,0.92,False
250,20260736,0.9998798772738686,0.9,0.8,0.86,False
250,20260737,0.9998339514284217,0.9,0.8,0.84,False
250,20260738,0.9998618842355443,0.8,0.9,0.88,False
250,20260739,0.9998703977742571,0.9,0.8,0.88,False
250,20260740,0.9998674153229089,0.8,0.85,0.82,False
250,20260741,0.9998549287312757,0.9,0.75,0.86,False
250,20260742,0.9998691703432666,0.8,0.8,0.92,False
250,20260743,0.9998854371396804,0.9,0.85,0.86,False
250,20260744,0.999847311741149,0.8,0.75,0.84,False
250,20260745,0.9998514927985487,0.9,0.8,0.88,False
250,20260746,0.9998855322154871,0.8,0.85,0.86,False
250,20260747,0.999859415472504,0.9,0.65,0.9,False
250,20260748,0.9998365002504054,0.9,0.85,0.88,False
250,20260749,0.9998641404379056,1.0,0.85,0.88,False
250,20260750,0.9998667156672528,0.9,0.75,0.9,False
500,20260731,1.0,1.0,1.0,1.0,True
500,20260732,0.9998787884350444,0.9,0.8,0.86,False
500,20260733,0.9998753842562422,0.9,0.9,0.9,False
500,20260734,0.999883819549193,0.8,0.85,0.96,False
500,20260735,0.9999007046870398,0.9,0.9,0.94,False
500,20260736,0.9998889323494995,0.9,0.85,0.94,False
500,20260737,0.9998697639045504,1.0,0.8,0.88,False
500,20260738,0.9998983424832901,0.9,0.9,0.9,False
500,20260739,0.999886294681615,0.8,0.85,0.94,False
500,20260740,0.9998827951945469,0.9,0.85,0.9,False
500,20260741,0.999892229736552,0.9,0.85,0.86,False
500,20260742,0.9998951914060489,0.9,0.8,0.9,False
500,20260743,0.9998901092438631,0.9,0.9,0.92,False
500,20260744,0.999885970819478,0.9,0.8,0.94,False
500,20260745,0.9998799657943264,0.9,0.8,0.88,False
500,20260746,0.9998948671254854,0.8,0.85,0.94,False
500,20260747,0.999895736383363,0.8,0.8,0.92,False
500,20260748,0.9998751845273102,0.9,0.8,0.9,False
500,20260749,0.9998910579097986,1.0,0.9,0.92,False
500,20260750,0.9998968810588836,0.9,0.85,0.92,False
1000,20260731,0.9999627397680648,1.0,0.9,0.94,False
1000,20260732,0.9999175239459536,0.9,0.9,0.92,False
1000,20260733,0.9998882383658475,0.9,0.9,0.88,False
1000,20260734,0.9999004377309114,0.9,0.85,0.92,False
1000,20260735,0.9999144776613131,0.9,0.95,0.9,False
1000,20260736,0.9999104521656003,1.0,0.85,0.94,False
1000,20260737,0.9998969465193902,1.0,0.8,0.92,False
1000,20260738,0.999916700017617,0.9,0.9,0.94,False
1000,20260739,0.9998970781842728,0.8,0.9,0.92,False
1000,20260740,0.9999121846839087,0.8,0.9,0.92,False
1000,20260741,0.9998998588145562,0.9,0.85,0.9,False
1000,20260742,0.9999127516518619,0.9,0.9,0.94,False
1000,20260743,0.9998988196755059,0.9,0.9,0.9,False
1000,20260744,0.9999222296637346,0.9,0.9,0.96,False
1000,20260745,0.9999058704415488,0.9,0.85,0.92,False
1000,20260746,0.9999176232060257,0.8,0.85,0.96,False
1000,20260747,0.9999154190280302,0.9,0.85,0.94,False
1000,20260748,0.9999052713477362,0.9,0.85,0.9,False
1000,20260749,0.9999085562749763,0.9,0.9,0.92,False
1000,20260750,0.9999083372984238,0.9,0.9,0.94,False
