referenced_entity_type,count,share
GitHub_Service_External_Links,1629327,0.4347239216661446
PullRequest,671986,0.1792938981706838
Actor,475651,0.1269093730506051
Issue,281648,0.0751470534088162
Commit,255009,0.0680394497483696
GitHub_Files_FileChanges,193391,0.051599030725531
Repo,74468,0.0198689526403444
GitHub_GenSer_Other_Links,62641,0.0167133676524656
GitHub_Other_Service,32788,0.0087482303697106
Branch_Tag_GHDir,24102,0.0064307017314494
IssueComment,13355,0.003563273654614
SHA,13126,0.0035021737169946
PullRequestReview,8076,0.0021547733459126
Gollum,5779,0.0015419062860362
PullRequestReviewComment,3775,0.0010072151288781
Release,1950,0.0005202833116059
Branch,581,0.0001550177456631
Tag,300,8.004358640091484e-05
CommitComment,5,1.3340597733485809e-06
