metric,quantile,value
out_degree,min,0.0
out_degree,q25,3.0
out_degree,median,11.0
out_degree,q75,39.0
out_degree,max,352.0
out_strength,min,0.0
out_strength,q25,5.0
out_strength,median,26.5
out_strength,q75,192.75
out_strength,max,43574.0
seed_to_seed_weight,min,0.0
seed_to_seed_weight,q25,0.0
seed_to_seed_weight,median,0.0
seed_to_seed_weight,q75,5.0
seed_to_seed_weight,max,1835.0
seed_to_expanded_weight,min,0.0
seed_to_expanded_weight,q25,4.25
seed_to_expanded_weight,median,24.0
seed_to_expanded_weight,q75,183.75
seed_to_expanded_weight,max,43321.0
source_concentration_hhi,min,0.0
source_concentration_hhi,q25,0.0563150235817672
source_concentration_hhi,median,0.15887888046749427
source_concentration_hhi,q75,0.3585416666666667
source_concentration_hhi,max,1.0
top_target_weight_share,min,0.0
top_target_weight_share,q25,0.14455011437770054
top_target_weight_share,median,0.2845238095238095
top_target_weight_share,q75,0.5
top_target_weight_share,max,1.0
