target_project_id,in_degree,in_strength,target_coverage,target_role,target_category_label,target_category_source,cumulative_weight_share
290227969,3,3430,0.010204081632653,expanded_target_project,not_in_dbms_metadata,unavailable,0.0246808755594571
71133469,4,2335,0.0136054421768707,expanded_target_project,not_in_dbms_metadata,unavailable,0.0414825794752975
927442,18,2188,0.0612244897959183,seed_project,"Object Oriented,Relational",seed_manifest,0.0572265315814468
168736310,1,2177,0.0034013605442176,expanded_target_project,not_in_dbms_metadata,unavailable,0.0728913321916329
354090893,3,2043,0.010204081632653,expanded_target_project,not_in_dbms_metadata,unavailable,0.0875919236691755
354129853,1,2017,0.0034013605442176,expanded_target_project,not_in_dbms_metadata,unavailable,0.102105429792623
383875967,1,2014,0.0034013605442176,expanded_target_project,not_in_dbms_metadata,unavailable,0.1165973491444442
540262346,1,2012,0.0034013605442176,expanded_target_project,not_in_dbms_metadata,unavailable,0.1310748773151812
355030559,1,2009,0.0034013605442176,expanded_target_project,not_in_dbms_metadata,unavailable,0.1455308187142918
355035157,1,2009,0.0034013605442176,expanded_target_project,not_in_dbms_metadata,unavailable,0.1599867601134025
354126484,1,2008,0.0034013605442176,expanded_target_project,not_in_dbms_metadata,unavailable,0.174435505921971
354094562,1,2007,0.0034013605442176,expanded_target_project,not_in_dbms_metadata,unavailable,0.1888770561399974
354125784,1,2006,0.0034013605442176,expanded_target_project,not_in_dbms_metadata,unavailable,0.2033114107674817
355032495,1,2006,0.0034013605442176,expanded_target_project,not_in_dbms_metadata,unavailable,0.2177457653949659
354136133,1,2005,0.0034013605442176,expanded_target_project,not_in_dbms_metadata,unavailable,0.2321729244319081
490557661,1,2005,0.0034013605442176,expanded_target_project,not_in_dbms_metadata,unavailable,0.2466000834688503
355015152,1,2004,0.0034013605442176,expanded_target_project,not_in_dbms_metadata,unavailable,0.2610200469152503
323830219,2,2003,0.0068027210884353,expanded_target_project,not_in_dbms_metadata,unavailable,0.2754328147711082
355033263,1,2002,0.0034013605442176,expanded_target_project,not_in_dbms_metadata,unavailable,0.289838387036424
354080507,1,2000,0.0034013605442176,expanded_target_project,not_in_dbms_metadata,unavailable,0.3042295681206556
354123935,1,1999,0.0034013605442176,expanded_target_project,not_in_dbms_metadata,unavailable,0.3186135536143451
355027797,1,1997,0.0034013605442176,expanded_target_project,not_in_dbms_metadata,unavailable,0.3329831479269504
457577836,1,1431,0.0034013605442176,expanded_target_project,not_in_dbms_metadata,unavailable,0.343280037992718
