metric,quantile,value
in_degree,min,1.0
in_degree,q25,1.0
in_degree,median,1.0
in_degree,q75,1.0
in_degree,max,42.0
in_strength,min,1.0
in_strength,q25,1.0
in_strength,median,2.0
in_strength,q75,5.0
in_strength,max,3430.0
target_coverage,min,0.0034013605442176
target_coverage,q25,0.0034013605442176
target_coverage,median,0.0034013605442176
target_coverage,q75,0.0034013605442176
target_coverage,max,0.1428571428571428
cumulative_weight_share,min,0.0246808755594571
cumulative_weight_share,q25,0.9440632780232273
cumulative_weight_share,median,0.9756645127865643
cumulative_weight_share,q75,0.9886291680458216
cumulative_weight_share,max,1.0
